alias_address,alias_city,georeferencingString,polygonKey,type
P.LE V. VENETO,TOLMEZZO,TOLMEZZO P.LE V. VENETO,,POINT
PORTA DI SOTTO,TOLMEZZO,TOLMEZZO PORTA DI SOTTO,,POINT
P.ZZA CASSETTI,TOLMEZZO,TOLMEZZO P.ZZA CASSETTI,,POINT
P.ZZA CENTA,TOLMEZZO,TOLMEZZO P.ZZA CENTA,,POINT
P.ZZA MAZZINI,TOLMEZZO,TOLMEZZO P.ZZA MAZZINI,,POINT
SALITA DELLA GUARDIA,TOLMEZZO,TOLMEZZO SALITA DELLA GUARDIA,,POINT
SALITA SABIDE,TOLMEZZO,TOLMEZZO SALITA SABIDE,,POINT
STRADA VICINALE DAL CRIST,TOLMEZZO,TOLMEZZO STRADA VICINALE DAL CRIST,,POINT
VIA A. GRAMSCI,TOLMEZZO,TOLMEZZO VIA A. GRAMSCI,,POINT
VIA A.CANDONI,TOLMEZZO,TOLMEZZO VIA A.CANDONI,,POINT
VIA ADA,TOLMEZZO,TOLMEZZO VIA ADA,,POINT
VIA ADUA,TOLMEZZO,TOLMEZZO VIA ADUA,,POINT
VIA AITA MENOTTI,TOLMEZZO,TOLMEZZO VIA AITA MENOTTI,,POINT
VIA ALBINO CANDONI,TOLMEZZO,TOLMEZZO VIA ALBINO CANDONI,,POINT
VIA AMPEZZO,TOLMEZZO,TOLMEZZO VIA AMPEZZO,,POINT
VIA ANTONIO GRAMSCI,TOLMEZZO,TOLMEZZO VIA ANTONIO GRAMSCI,,POINT
VIA A.P. CANDONI,TOLMEZZO,TOLMEZZO VIA A.P. CANDONI,,POINT
VIA A.PETSALYS,TOLMEZZO,TOLMEZZO VIA A.PETSALYS,,POINT
VIA APOLLO CANDONI,TOLMEZZO,TOLMEZZO VIA APOLLO CANDONI,,POINT
VIA APOLLO PROMETEO CANDONI,TOLMEZZO,TOLMEZZO VIA APOLLO PROMETEO CANDONI,,POINT
VIA AQUILEIA,TOLMEZZO,TOLMEZZO VIA AQUILEIA,,POINT
VIA ARISTIDE PETSALYS,TOLMEZZO,TOLMEZZO VIA ARISTIDE PETSALYS,,POINT
VIA ARTIGIANI,TOLMEZZO,TOLMEZZO VIA ARTIGIANI,,POINT
VIA ARTURO ZARDINI,TOLMEZZO,TOLMEZZO VIA ARTURO ZARDINI,,POINT
VIA ASSENTE XXX,TOLMEZZO,TOLMEZZO VIA ASSENTE XXX,,POINT
VIA B. BONANNI,TOLMEZZO,TOLMEZZO VIA B. BONANNI,,POINT
VIA BANDIERA,TOLMEZZO,TOLMEZZO VIA BANDIERA,,POINT
VIA BARACCA F,TOLMEZZO,TOLMEZZO VIA BARACCA F,,POINT
VIA BATTISTI,TOLMEZZO,TOLMEZZO VIA BATTISTI,,POINT
VIA BAVIERA,TOLMEZZO,TOLMEZZO VIA BAVIERA,,POINT
VIA BEROCHIA,TOLMEZZO,TOLMEZZO VIA BEROCHIA,,POINT
VIA BERSAGLIO VECCHIO,TOLMEZZO,TOLMEZZO VIA BERSAGLIO VECCHIO,,POINT
VIA BETANIA,TOLMEZZO,TOLMEZZO VIA BETANIA,,POINT
VIA BETANIA 2,TOLMEZZO,TOLMEZZO VIA BETANIA 2,,POINT
VIA BONORA MARIA AGATA VIDONI,TOLMEZZO,TOLMEZZO VIA BONORA MARIA AGATA VIDONI,,POINT
VIA BOSCO NERO,TOLMEZZO,TOLMEZZO VIA BOSCO NERO,,POINT
VIA BRASIL,TOLMEZZO,TOLMEZZO VIA BRASIL,,POINT
VIA BUT,TOLMEZZO,TOLMEZZO VIA BUT,,POINT
VIA CALE,TOLMEZZO,TOLMEZZO VIA CALE,,POINT
VIA CAMARIN,TOLMEZZO,TOLMEZZO VIA CAMARIN,,POINT
VIA CAMILLO BENSO DI CAVOUR,TOLMEZZO,TOLMEZZO VIA CAMILLO BENSO DI CAVOUR,,POINT
VIA CANDONDONI A.,TOLMEZZO,TOLMEZZO VIA CANDONDONI A.,,POINT
VIA CANDONI  - FRAZ. IMPONZO,TOLMEZZO,TOLMEZZO VIA CANDONI  - FRAZ. IMPONZO,,POINT
VIA CANONICA,TOLMEZZO,TOLMEZZO VIA CANONICA,,POINT
VIA CARNIA LIBERA,TOLMEZZO,TOLMEZZO VIA CARNIA LIBERA,,POINT
VIA CARNIA LIBERA 1944,TOLMEZZO,TOLMEZZO VIA CARNIA LIBERA 1944,,POINT
"VIA CARNIA, VIA NAZIONALE",TOLMEZZO,"TOLMEZZO VIA CARNIA, VIA NAZIONALE",,POINT
VIA CARREGGIATA,TOLMEZZO,TOLMEZZO VIA CARREGGIATA,,POINT
VIA CARSO,TOLMEZZO,TOLMEZZO VIA CARSO,,POINT
VIA CARSO - FRAZ. ILLEGIO,TOLMEZZO,TOLMEZZO VIA CARSO - FRAZ. ILLEGIO,,POINT
VIA CARTOTECNICA,TOLMEZZO,TOLMEZZO VIA CARTOTECNICA,,POINT
VIA CASANOVA,TOLMEZZO,TOLMEZZO VIA CASANOVA,,POINT
VIA CASCINA,TOLMEZZO,TOLMEZZO VIA CASCINA,,POINT
VIA CASTELLO,TOLMEZZO,TOLMEZZO VIA CASTELLO,,POINT
VIA CATERINA PERCOTO,TOLMEZZO,TOLMEZZO VIA CATERINA PERCOTO,,POINT
VIA CAZZASO NUOVO,TOLMEZZO,TOLMEZZO VIA CAZZASO NUOVO,,POINT
VIA C.BATTISTI,TOLMEZZO,TOLMEZZO VIA C.BATTISTI,,POINT
VIA CELLA,TOLMEZZO,TOLMEZZO VIA CELLA,,POINT
VIA CESARE BATTISTI,TOLMEZZO,TOLMEZZO VIA CESARE BATTISTI,,POINT
VIA CHIABIE DAL CUC,TOLMEZZO,TOLMEZZO VIA CHIABIE DAL CUC,,POINT
VIA CHIABIE DAL CUCH,TOLMEZZO,TOLMEZZO VIA CHIABIE DAL CUCH,,POINT
VIA CHIAMUE,TOLMEZZO,TOLMEZZO VIA CHIAMUE,,POINT
VIA CHIAVRIS,TOLMEZZO,TOLMEZZO VIA CHIAVRIS,,POINT
VIA CIVIDALE,TOLMEZZO,TOLMEZZO VIA CIVIDALE,,POINT
VIA CLAUDIO BEORCHIA,TOLMEZZO,TOLMEZZO VIA CLAUDIO BEORCHIA,,POINT
VIA CLEMENTE LEQUIO,TOLMEZZO,TOLMEZZO VIA CLEMENTE LEQUIO,,POINT
VIA C.LEQUIO,TOLMEZZO,TOLMEZZO VIA C.LEQUIO,,POINT
VIA COL DI LANA,TOLMEZZO,TOLMEZZO VIA COL DI LANA,,POINT
VIA CONCERIE,TOLMEZZO,TOLMEZZO VIA CONCERIE,,POINT
VIA CRISTOFORO COLOMBO,TOLMEZZO,TOLMEZZO VIA CRISTOFORO COLOMBO,,POINT
VIA CURIEDI,TOLMEZZO,TOLMEZZO VIA CURIEDI,,POINT
VIA D. CAUFIN,TOLMEZZO,TOLMEZZO VIA D. CAUFIN,,POINT
VIA DAL CRIST,TOLMEZZO,TOLMEZZO VIA DAL CRIST,,POINT
VIA DAMARIE,TOLMEZZO,TOLMEZZO VIA DAMARIE,,POINT
VIA DANIELE CAUFIN,TOLMEZZO,TOLMEZZO VIA DANIELE CAUFIN,,POINT
VIA DANIELE MANIN,TOLMEZZO,TOLMEZZO VIA DANIELE MANIN,,POINT
VIA DANTE ALIGHIERI,TOLMEZZO,TOLMEZZO VIA DANTE ALIGHIERI,,POINT
VIA DE VISIANI,TOLMEZZO,TOLMEZZO VIA DE VISIANI,,POINT
VIA DEGLI ALPINI,TOLMEZZO,TOLMEZZO VIA DEGLI ALPINI,,POINT
VIA DEGLI ARTIGIANI,TOLMEZZO,TOLMEZZO VIA DEGLI ARTIGIANI,,POINT
VIA DEI COMBATTENTI,TOLMEZZO,TOLMEZZO VIA DEI COMBATTENTI,,POINT
VIA DEL CAMPO SPORTIVO,TOLMEZZO,TOLMEZZO VIA DEL CAMPO SPORTIVO,,POINT
VIA DEL FANTE,TOLMEZZO,TOLMEZZO VIA DEL FANTE,,POINT
VIA DEL FORAME,TOLMEZZO,TOLMEZZO VIA DEL FORAME,,POINT
VIA DEL LAVATOIO,TOLMEZZO,TOLMEZZO VIA DEL LAVATOIO,,POINT
VIA DEL PIOPPETO,TOLMEZZO,TOLMEZZO VIA DEL PIOPPETO,,POINT
VIA DEL TINTORE,TOLMEZZO,TOLMEZZO VIA DEL TINTORE,,POINT
VIA DELL' ASILO,TOLMEZZO,TOLMEZZO VIA DELL' ASILO,,POINT
VIA DELL AVITTORIA,TOLMEZZO,TOLMEZZO VIA DELL AVITTORIA,,POINT
VIA DELL' INDUSTRIA,TOLMEZZO,TOLMEZZO VIA DELL' INDUSTRIA,,POINT
VIA DELLA CARTOTECNICA,TOLMEZZO,TOLMEZZO VIA DELLA CARTOTECNICA,,POINT
VIA DELLA CHIESA,TOLMEZZO,TOLMEZZO VIA DELLA CHIESA,,POINT
VIA DELLA CONCERIA,TOLMEZZO,TOLMEZZO VIA DELLA CONCERIA,,POINT
VIA DELLA CONCILIAZIONE,TOLMEZZO,TOLMEZZO VIA DELLA CONCILIAZIONE,,POINT
VIA DELLA COOPERATIVA,TOLMEZZO,TOLMEZZO VIA DELLA COOPERATIVA,,POINT
VIA DELLA FONTANA,TOLMEZZO,TOLMEZZO VIA DELLA FONTANA,,POINT
VIA DELLA PIEVE,TOLMEZZO,TOLMEZZO VIA DELLA PIEVE,,POINT
VIA DELLA RIVIERA,TOLMEZZO,TOLMEZZO VIA DELLA RIVIERA,,POINT
VIA DELLA VITTORIA,TOLMEZZO,TOLMEZZO VIA DELLA VITTORIA,,POINT
VIA DELLE MURA,TOLMEZZO,TOLMEZZO VIA DELLE MURA,,POINT
VIA DELLE SCUOLE,TOLMEZZO,TOLMEZZO VIA DELLE SCUOLE,,POINT
VIA DELL'INDUSTRA,TOLMEZZO,TOLMEZZO VIA DELL'INDUSTRA,,POINT
VIA DIVISIONE GARIBALDI,TOLMEZZO,TOLMEZZO VIA DIVISIONE GARIBALDI,,POINT
VIA DIVISIONE JULIA,TOLMEZZO,TOLMEZZO VIA DIVISIONE JULIA,,POINT
VIA DIVISIONE OSOPPO,TOLMEZZO,TOLMEZZO VIA DIVISIONE OSOPPO,,POINT
VIA DOMENICO SCHIAVI,TOLMEZZO,TOLMEZZO VIA DOMENICO SCHIAVI,,POINT
VIA DON GIUSEPPE MARCHETTI,TOLMEZZO,TOLMEZZO VIA DON GIUSEPPE MARCHETTI,,POINT
VIA DORTIS,TOLMEZZO,TOLMEZZO VIA DORTIS,,POINT
VIA DOV. JULIA,TOLMEZZO,TOLMEZZO VIA DOV. JULIA,,POINT
VIA DUOMO,TOLMEZZO,TOLMEZZO VIA DUOMO,,POINT
VIA E. FERMI,TOLMEZZO,TOLMEZZO VIA E. FERMI,,POINT
VIA E.FRUCH,TOLMEZZO,TOLMEZZO VIA E.FRUCH,,POINT
VIA ENFRETEZ,TOLMEZZO,TOLMEZZO VIA ENFRETEZ,,POINT
VIA ENFRETEZ - FRAZ.FUSEA,TOLMEZZO,TOLMEZZO VIA ENFRETEZ - FRAZ.FUSEA,,POINT
VIA ENRICO DANDOLO,TOLMEZZO,TOLMEZZO VIA ENRICO DANDOLO,,POINT
VIA ENRICO FRUCH,TOLMEZZO,TOLMEZZO VIA ENRICO FRUCH,,POINT
VIA ERMACORA QUINTILIANO,TOLMEZZO,TOLMEZZO VIA ERMACORA QUINTILIANO,,POINT
VIA ERMCORA,TOLMEZZO,TOLMEZZO VIA ERMCORA,,POINT
VIA FARIE,TOLMEZZO,TOLMEZZO VIA FARIE,,POINT
VIA FORMI DI SOTTO,TOLMEZZO,TOLMEZZO VIA FORMI DI SOTTO,,POINT
VIA FORNI DI SOTTO,TOLMEZZO,TOLMEZZO VIA FORNI DI SOTTO,,POINT
VIA FOSCARI,TOLMEZZO,TOLMEZZO VIA FOSCARI,,POINT
VIA FRANCESCO BARACCA,TOLMEZZO,TOLMEZZO VIA FRANCESCO BARACCA,,POINT
VIA FRANCESCO IANESI,TOLMEZZO,TOLMEZZO VIA FRANCESCO IANESI,,POINT
VIA G. GORTANI,TOLMEZZO,TOLMEZZO VIA G. GORTANI,,POINT
VIA G. MATTEOTTI,TOLMEZZO,TOLMEZZO VIA G. MATTEOTTI,,POINT
VIA G.B. MORGAGNI,TOLMEZZO,TOLMEZZO VIA G.B. MORGAGNI,,POINT
VIA GEMONA,TOLMEZZO,TOLMEZZO VIA GEMONA,,POINT
VIA GEN. CANTORE,TOLMEZZO,TOLMEZZO VIA GEN. CANTORE,,POINT
VIA GEN. LEQUIO,TOLMEZZO,TOLMEZZO VIA GEN. LEQUIO,,POINT
VIA GENERALE CANTORE,TOLMEZZO,TOLMEZZO VIA GENERALE CANTORE,,POINT
VIA GIACOMO MATTEOTTI,TOLMEZZO,TOLMEZZO VIA GIACOMO MATTEOTTI,,POINT
VIA GIAVALEGN,TOLMEZZO,TOLMEZZO VIA GIAVALEGN,,POINT
VIA GIAVALEN,TOLMEZZO,TOLMEZZO VIA GIAVALEN,,POINT
VIA GIO BATTA DE MARCHI,TOLMEZZO,TOLMEZZO VIA GIO BATTA DE MARCHI,,POINT
VIA GIO BATTA MORGAGNI,TOLMEZZO,TOLMEZZO VIA GIO BATTA MORGAGNI,,POINT
VIA GIOSUE' CARDUCCI,TOLMEZZO,TOLMEZZO VIA GIOSUE' CARDUCCI,,POINT
VIA GIOVANNI,TOLMEZZO,TOLMEZZO VIA GIOVANNI,,POINT
VIA GIOVANNI  XXII,TOLMEZZO,TOLMEZZO VIA GIOVANNI  XXII,,POINT
VIA GIOVANNI DA MORAVIA,TOLMEZZO,TOLMEZZO VIA GIOVANNI DA MORAVIA,,POINT
VIA GIOVANNI DA TOLMEZZO,TOLMEZZO,TOLMEZZO VIA GIOVANNI DA TOLMEZZO,,POINT
VIA GIOVANNI GORTANI,TOLMEZZO,TOLMEZZO VIA GIOVANNI GORTANI,,POINT
VIA GIOVANNI MARINELLI,TOLMEZZO,TOLMEZZO VIA GIOVANNI MARINELLI,,POINT
VIA GIOVANNI XIII,TOLMEZZO,TOLMEZZO VIA GIOVANNI XIII,,POINT
VIA GIOVANNI XXII,TOLMEZZO,TOLMEZZO VIA GIOVANNI XXII,,POINT
VIA GIOVANNI XXIII,TOLMEZZO,TOLMEZZO VIA GIOVANNI XXIII,,POINT
VIA GIULIANO BONANNI,TOLMEZZO,TOLMEZZO VIA GIULIANO BONANNI,,POINT
VIA GIUSEPPE MARCHI,TOLMEZZO,TOLMEZZO VIA GIUSEPPE MARCHI,,POINT
VIA G.N. GRASSI,TOLMEZZO,TOLMEZZO VIA G.N. GRASSI,,POINT
VIA GORIZIA,TOLMEZZO,TOLMEZZO VIA GORIZIA,,POINT
"VIA GORIZIA,15 E",TOLMEZZO,"TOLMEZZO VIA GORIZIA,15 E",,POINT
VIA GORTANI,TOLMEZZO,TOLMEZZO VIA GORTANI,,POINT
VIA GRADO,TOLMEZZO,TOLMEZZO VIA GRADO,,POINT
VIA GREGORIO DA MONTELONGO,TOLMEZZO,TOLMEZZO VIA GREGORIO DA MONTELONGO,,POINT
VIA GRIALBA,TOLMEZZO,TOLMEZZO VIA GRIALBA,,POINT
VIA GUGLIELMO OBERDAN,TOLMEZZO,TOLMEZZO VIA GUGLIELMO OBERDAN,,POINT
VIA I MAGGIO,TOLMEZZO,TOLMEZZO VIA I MAGGIO,,POINT
VIA II GIUGNO,TOLMEZZO,TOLMEZZO VIA II GIUGNO,,POINT
VIA ILLEGIO,TOLMEZZO,TOLMEZZO VIA ILLEGIO,,POINT
VIA ILLEGIO 24,TOLMEZZO,TOLMEZZO VIA ILLEGIO 24,,POINT
VIA INDUSTRIA,TOLMEZZO,TOLMEZZO VIA INDUSTRIA,,POINT
VIA IV NOVEMBRE,TOLMEZZO,TOLMEZZO VIA IV NOVEMBRE,,POINT
VIA J LINUSSIO,TOLMEZZO,TOLMEZZO VIA J LINUSSIO,,POINT
VIA JACOPO LINUSSIO,TOLMEZZO,TOLMEZZO VIA JACOPO LINUSSIO,,POINT
VIA JANESI 6,TOLMEZZO,TOLMEZZO VIA JANESI 6,,POINT
VIA J.LENNON,TOLMEZZO,TOLMEZZO VIA J.LENNON,,POINT
VIA JOHN LENNON,TOLMEZZO,TOLMEZZO VIA JOHN LENNON,,POINT
VIA JULIUM CARNICUM,TOLMEZZO,TOLMEZZO VIA JULIUM CARNICUM,,POINT
VIA LATTERIA,TOLMEZZO,TOLMEZZO VIA LATTERIA,,POINT
VIA LIGNANO,TOLMEZZO,TOLMEZZO VIA LIGNANO,,POINT
VIA LOVEA,TOLMEZZO,TOLMEZZO VIA LOVEA,,POINT
VIA LUCHIAT,TOLMEZZO,TOLMEZZO VIA LUCHIAT,,POINT
VIA LUIGI GORTANI,TOLMEZZO,TOLMEZZO VIA LUIGI GORTANI,,POINT
VIA LUTISEIT,TOLMEZZO,TOLMEZZO VIA LUTISEIT,,POINT
VIA LUTISET,TOLMEZZO,TOLMEZZO VIA LUTISET,,POINT
VIA M.  AITA,TOLMEZZO,TOLMEZZO VIA M.  AITA,,POINT
VIA M. AITA,TOLMEZZO,TOLMEZZO VIA M. AITA,,POINT
VIA M. FESTA,TOLMEZZO,TOLMEZZO VIA M. FESTA,,POINT
VIA M. SERNIO,TOLMEZZO,TOLMEZZO VIA M. SERNIO,,POINT
VIA MACILES,TOLMEZZO,TOLMEZZO VIA MACILES,,POINT
VIA MARCHETTI,TOLMEZZO,TOLMEZZO VIA MARCHETTI,,POINT
VIA MARCHETTI DON GIUSEPPE,TOLMEZZO,TOLMEZZO VIA MARCHETTI DON GIUSEPPE,,POINT
VIA MARCHI,TOLMEZZO,TOLMEZZO VIA MARCHI,,POINT
VIA MARCO D' AVANZO,TOLMEZZO,TOLMEZZO VIA MARCO D' AVANZO,,POINT
VIA MARESIE,TOLMEZZO,TOLMEZZO VIA MARESIE,,POINT
VIA MAZZINI,TOLMEZZO,TOLMEZZO VIA MAZZINI,,POINT
VIA METULLIO,TOLMEZZO,TOLMEZZO VIA METULLIO,,POINT
VIA METULLIO COMINOTTI,TOLMEZZO,TOLMEZZO VIA METULLIO COMINOTTI,,POINT
VIA M.FESTA,TOLMEZZO,TOLMEZZO VIA M.FESTA,,POINT
VIA MIGNEZZA,TOLMEZZO,TOLMEZZO VIA MIGNEZZA,,POINT
VIA MOGADISCIO,TOLMEZZO,TOLMEZZO VIA MOGADISCIO,,POINT
VIA MOGADSCIO,TOLMEZZO,TOLMEZZO VIA MOGADSCIO,,POINT
VIA MOGGIO UDINESE,TOLMEZZO,TOLMEZZO VIA MOGGIO UDINESE,,POINT
VIA MOLINO,TOLMEZZO,TOLMEZZO VIA MOLINO,,POINT
VIA MONTE  NERO,TOLMEZZO,TOLMEZZO VIA MONTE  NERO,,POINT
VIA MONTE AMARIANA,TOLMEZZO,TOLMEZZO VIA MONTE AMARIANA,,POINT
VIA MONTE ARVENIIS,TOLMEZZO,TOLMEZZO VIA MONTE ARVENIIS,,POINT
VIA MONTE ARVENIS,TOLMEZZO,TOLMEZZO VIA MONTE ARVENIS,,POINT
VIA MONTE CENGIO,TOLMEZZO,TOLMEZZO VIA MONTE CENGIO,,POINT
VIA MONTE COGLIANS,TOLMEZZO,TOLMEZZO VIA MONTE COGLIANS,,POINT
VIA MONTE CROCE CARNICO,TOLMEZZO,TOLMEZZO VIA MONTE CROCE CARNICO,,POINT
VIA MONTE DAUDA,TOLMEZZO,TOLMEZZO VIA MONTE DAUDA,,POINT
VIA MONTE DOBIS,TOLMEZZO,TOLMEZZO VIA MONTE DOBIS,,POINT
VIA MONTE FESTA,TOLMEZZO,TOLMEZZO VIA MONTE FESTA,,POINT
VIA MONTE GRAPPA,TOLMEZZO,TOLMEZZO VIA MONTE GRAPPA,,POINT
VIA MONTE NERO,TOLMEZZO,TOLMEZZO VIA MONTE NERO,,POINT
VIA MONTE PERALBA,TOLMEZZO,TOLMEZZO VIA MONTE PERALBA,,POINT
VIA MONTE PIANA,TOLMEZZO,TOLMEZZO VIA MONTE PIANA,,POINT
VIA MONTE PIANA IMPONZO,TOLMEZZO,TOLMEZZO VIA MONTE PIANA IMPONZO,,POINT
VIA MONTE PURA,TOLMEZZO,TOLMEZZO VIA MONTE PURA,,POINT
VIA MONTE RAUT,TOLMEZZO,TOLMEZZO VIA MONTE RAUT,,POINT
VIA MONTE SERNIO,TOLMEZZO,TOLMEZZO VIA MONTE SERNIO,,POINT
VIA MONTELLO,TOLMEZZO,TOLMEZZO VIA MONTELLO,,POINT
VIA MONTELONGO,TOLMEZZO,TOLMEZZO VIA MONTELONGO,,POINT
VIA MORGANI,TOLMEZZO,TOLMEZZO VIA MORGANI,,POINT
VIA M.PURA,TOLMEZZO,TOLMEZZO VIA M.PURA,,POINT
VIA M.TE ARVENIS,TOLMEZZO,TOLMEZZO VIA M.TE ARVENIS,,POINT
VIA M.TE CROCE,TOLMEZZO,TOLMEZZO VIA M.TE CROCE,,POINT
VIA M.TE PERALBA,TOLMEZZO,TOLMEZZO VIA M.TE PERALBA,,POINT
VIA M.TE PIANA,TOLMEZZO,TOLMEZZO VIA M.TE PIANA,,POINT
VIA MURA,TOLMEZZO,TOLMEZZO VIA MURA,,POINT
VIA NARBUSALES,TOLMEZZO,TOLMEZZO VIA NARBUSALES,,POINT
VIA NASSIVERA,TOLMEZZO,TOLMEZZO VIA NASSIVERA,,POINT
VIA NAZARIO SAURO,TOLMEZZO,TOLMEZZO VIA NAZARIO SAURO,,POINT
VIA NICOLA GRASSI,TOLMEZZO,TOLMEZZO VIA NICOLA GRASSI,,POINT
VIA NUOVA,TOLMEZZO,TOLMEZZO VIA NUOVA,,POINT
VIA OBERDAN,TOLMEZZO,TOLMEZZO VIA OBERDAN,,POINT
VIA OFF. ELETTRICA,TOLMEZZO,TOLMEZZO VIA OFF. ELETTRICA,,POINT
VIA OFF ELETTRICA,TOLMEZZO,TOLMEZZO VIA OFF ELETTRICA,,POINT
VIA OFFICINA ELETTRICA,TOLMEZZO,TOLMEZZO VIA OFFICINA ELETTRICA,,POINT
VIA OFFICINE ELETTRICHE,TOLMEZZO,TOLMEZZO VIA OFFICINE ELETTRICHE,,POINT
VIA ORTIGARA,TOLMEZZO,TOLMEZZO VIA ORTIGARA,,POINT
VIA OSCURA,TOLMEZZO,TOLMEZZO VIA OSCURA,,POINT
VIA OSOPPO,TOLMEZZO,TOLMEZZO VIA OSOPPO,,POINT
VIA P. CANDONI,TOLMEZZO,TOLMEZZO VIA P. CANDONI,,POINT
VIA PAL PESARINA,TOLMEZZO,TOLMEZZO VIA PAL PESARINA,,POINT
VIA PAL PICCOLO,TOLMEZZO,TOLMEZZO VIA PAL PICCOLO,,POINT
VIA PALMANOVA,TOLMEZZO,TOLMEZZO VIA PALMANOVA,,POINT
VIA PALUZZA,TOLMEZZO,TOLMEZZO VIA PALUZZA,,POINT
VIA PAPA GIOVANNI XXIII,TOLMEZZO,TOLMEZZO VIA PAPA GIOVANNI XXIII,,POINT
VIA PASSO MONTE CROCE,TOLMEZZO,TOLMEZZO VIA PASSO MONTE CROCE,,POINT
VIA PASSO MONTE CROCE CARNICO,TOLMEZZO,TOLMEZZO VIA PASSO MONTE CROCE CARNICO,,POINT
VIA PASSO M.TE CROCE,TOLMEZZO,TOLMEZZO VIA PASSO M.TE CROCE,,POINT
VIA PAULARO,TOLMEZZO,TOLMEZZO VIA PAULARO,,POINT
VIA PER TERZO,TOLMEZZO,TOLMEZZO VIA PER TERZO,,POINT
VIA PERUCH,TOLMEZZO,TOLMEZZO VIA PERUCH,,POINT
VIA PETZALYS,TOLMEZZO,TOLMEZZO VIA PETZALYS,,POINT
VIA PIAVE,TOLMEZZO,TOLMEZZO VIA PIAVE,,POINT
VIA PIAZZALE VITTORIO VENETO,TOLMEZZO,TOLMEZZO VIA PIAZZALE VITTORIO VENETO,,POINT
VIA PIER FORTUNATO CALVI,TOLMEZZO,TOLMEZZO VIA PIER FORTUNATO CALVI,,POINT
VIA PIETRO ZORUTTI,TOLMEZZO,TOLMEZZO VIA PIETRO ZORUTTI,,POINT
VIA PIO PASCHINI,TOLMEZZO,TOLMEZZO VIA PIO PASCHINI,,POINT
VIA PIRELLI,TOLMEZZO,TOLMEZZO VIA PIRELLI,,POINT
VIA PISEBUS,TOLMEZZO,TOLMEZZO VIA PISEBUS,,POINT
VIA PISSEBUS,TOLMEZZO,TOLMEZZO VIA PISSEBUS,,POINT
VIA P.MONTE CROCE,TOLMEZZO,TOLMEZZO VIA P.MONTE CROCE,,POINT
VIA P.M.TE CROCE CARNICO,TOLMEZZO,TOLMEZZO VIA P.M.TE CROCE CARNICO,,POINT
VIA PODGORA,TOLMEZZO,TOLMEZZO VIA PODGORA,,POINT
VIA POLA,TOLMEZZO,TOLMEZZO VIA POLA,,POINT
VIA POLA  25,TOLMEZZO,TOLMEZZO VIA POLA  25,,POINT
VIA POLA 25,TOLMEZZO,TOLMEZZO VIA POLA 25,,POINT
VIA PONTAIBA,TOLMEZZO,TOLMEZZO VIA PONTAIBA,,POINT
VIA PONTE VECCHIO,TOLMEZZO,TOLMEZZO VIA PONTE VECCHIO,,POINT
VIA PONTEBBA,TOLMEZZO,TOLMEZZO VIA PONTEBBA,,POINT
VIA PORDENONE,TOLMEZZO,TOLMEZZO VIA PORDENONE,,POINT
VIA PORTA DI SOTTO,TOLMEZZO,TOLMEZZO VIA PORTA DI SOTTO,,POINT
VIA P.PASCHINI,TOLMEZZO,TOLMEZZO VIA P.PASCHINI,,POINT
VIA PRINCIPALE,TOLMEZZO,TOLMEZZO VIA PRINCIPALE,,POINT
VIA P.SSO M.TE CROCE,TOLMEZZO,TOLMEZZO VIA P.SSO M.TE CROCE,,POINT
VIA P.ZORUTTI,TOLMEZZO,TOLMEZZO VIA P.ZORUTTI,,POINT
VIA R. SPINOTTI,TOLMEZZO,TOLMEZZO VIA R. SPINOTTI,,POINT
VIA RAIMONDO DELLA TORRE,TOLMEZZO,TOLMEZZO VIA RAIMONDO DELLA TORRE,,POINT
VIA REDEULIS,TOLMEZZO,TOLMEZZO VIA REDEULIS,,POINT
VIA RENATO DEL DIN,TOLMEZZO,TOLMEZZO VIA RENATO DEL DIN,,POINT
VIA RICCARDO SPINOTTI,TOLMEZZO,TOLMEZZO VIA RICCARDO SPINOTTI,,POINT
VIA RIVOLI BIANCHI,TOLMEZZO,TOLMEZZO VIA RIVOLI BIANCHI,,POINT
VIA ROMA,TOLMEZZO,TOLMEZZO VIA ROMA,,POINT
VIA ROMA 46 (EX ZEARO CIRO),TOLMEZZO,TOLMEZZO VIA ROMA 46 (EX ZEARO CIRO),,POINT
VIA ROMANA,TOLMEZZO,TOLMEZZO VIA ROMANA,,POINT
VIA ROSTA DEL PIEVANO,TOLMEZZO,TOLMEZZO VIA ROSTA DEL PIEVANO,,POINT
VIA ROSTA DEL PIEVANO 11,TOLMEZZO,TOLMEZZO VIA ROSTA DEL PIEVANO 11,,POINT
VIA ROSTAS,TOLMEZZO,TOLMEZZO VIA ROSTAS,,POINT
VIA S G BOSCO,TOLMEZZO,TOLMEZZO VIA S G BOSCO,,POINT
VIA S. GIOVANNI BOSCO 11,TOLMEZZO,TOLMEZZO VIA S. GIOVANNI BOSCO 11,,POINT
VIA SALARIS,TOLMEZZO,TOLMEZZO VIA SALARIS,,POINT
VIA SALITA DAGN,TOLMEZZO,TOLMEZZO VIA SALITA DAGN,,POINT
VIA SALITE DAGNE,TOLMEZZO,TOLMEZZO VIA SALITE DAGNE,,POINT
VIA SAN DANIELE,TOLMEZZO,TOLMEZZO VIA SAN DANIELE,,POINT
VIA SAN FLORIANO,TOLMEZZO,TOLMEZZO VIA SAN FLORIANO,,POINT
