alias_address,alias_city,georeferencingString,type
Via Pascoli (Angolo via Feltre) - Olgiate Olona,Olgiate Olona - colonna stradale,"Via Pascoli (Angolo via Feltre) - Olgiate Olona, Olgiate Olona - colonna stradale, Lombardia",POINT
Via Unità d'Italia - Olgiate Olona,Olgiate Olona - colonna stradale,"Via Unità d'Italia - Olgiate Olona, Olgiate Olona - colonna stradale, Lombardia",POINT
Via Maggiore - Osmate,Osmate - Cimitero,"Via Maggiore - Osmate, Osmate - Cimitero, Lombardia",POINT
Lungo Lago Dino Ciani - Ranco,Ranco,"Lungo Lago Dino Ciani - Ranco, Ranco, Lombardia",POINT
Via Roma - Ranco,Ranco,"Via Roma - Ranco, Ranco, Lombardia",POINT
Via Pola ang. Via Ferrini - Samarate,Samarate - Colonnina,"Via Pola ang. Via Ferrini - Samarate, Samarate - Colonnina, Lombardia",POINT
Via del Noce ang. Via Monteberico - Samarate,Samarate - Colonnina,"Via del Noce ang. Via Monteberico - Samarate, Samarate - Colonnina, Lombardia",POINT
Via Vittorio Veneto ang. Via Fiume - Samarate,Samarate - Colonnina,"Via Vittorio Veneto ang. Via Fiume - Samarate, Samarate - Colonnina, Lombardia",POINT
Viale Augusta ang. Via Bellini - Samarate,Samarate - Colonnina,"Viale Augusta ang. Via Bellini - Samarate, Samarate - Colonnina, Lombardia",POINT
Via Indipendenza ang. Via Locarno- Samarate,Samarate - Colonnina,"Via Indipendenza ang. Via Locarno- Samarate, Samarate - Colonnina, Lombardia",POINT
Via Oriano - Sesto Calende,Sesto Calende,"Via Oriano - Sesto Calende, Sesto Calende, Lombardia",POINT
Via Angera ang. Via Cucchino - Sesto Calende,Sesto Calende - Colonina,"Via Angera ang. Via Cucchino - Sesto Calende, Sesto Calende - Colonina, Lombardia",POINT
Via Risorgimento - Sesto Calende,Sesto Calende - Colonina,"Via Risorgimento - Sesto Calende, Sesto Calende - Colonina, Lombardia",POINT
Via Lentate ang. Via Grisoni- Sesto Calende,Sesto Calende - punto rete,"Via Lentate ang. Via Grisoni- Sesto Calende, Sesto Calende - punto rete, Lombardia",POINT
Via Aldo Moro - Solbiate Arno,Solbiate Arno,"Via Aldo Moro - Solbiate Arno, Solbiate Arno, Lombardia",POINT
Via Repubblica - Somma Lombardo,Somma Lombardo - Centro,"Via Repubblica - Somma Lombardo, Somma Lombardo - Centro, Lombardia",POINT
Via de Pinedo - Somma Lombardo,Somma Lombardo - Fraz. Case Nuove,"Via de Pinedo - Somma Lombardo, Somma Lombardo - Fraz. Case Nuove, Lombardia",POINT
Via Orsa - Somma Lombardo,Somma Lombardo - Fraz. Coarezza,"Via Orsa - Somma Lombardo, Somma Lombardo - Fraz. Coarezza, Lombardia",POINT
Via Papa Giovanni XXIII - Somma Lombardo,Somma Lombardo - Fraz. Maddalena,"Via Papa Giovanni XXIII - Somma Lombardo, Somma Lombardo - Fraz. Maddalena, Lombardia",POINT
Via Beltramolli - Somma Lombardo,Somma Lombardo - Fraz. Mezzana,"Via Beltramolli - Somma Lombardo, Somma Lombardo - Fraz. Mezzana, Lombardia",POINT
Sumirago,Sumirago - Casa dell'Acqua,"Sumirago, Sumirago - Casa dell'Acqua, Lombardia",POINT
Via Luigi Rossi - Sumirago,Sumirago - Cimitero,"Via Luigi Rossi - Sumirago, Sumirago - Cimitero, Lombardia",POINT
Via de Gasperi - Sumirago,Sumirago - Cimitero,"Via de Gasperi - Sumirago, Sumirago - Cimitero, Lombardia",POINT
Via Campagna - Sumirago,Sumirago - Cimitero,"Via Campagna - Sumirago, Sumirago - Cimitero, Lombardia",POINT
Via Carducci - Sumirago,Sumirago - Scuola Elementare Manzoni,"Via Carducci - Sumirago, Sumirago - Scuola Elementare Manzoni, Lombardia",POINT
Via Cesare Battisti - Taino,Taino - Asilo Nido,"Via Cesare Battisti - Taino, Taino - Asilo Nido, Lombardia",POINT
Piazza Pajetta 5 - Taino,Taino - Municipio,"Piazza Pajetta 5 - Taino, Taino - Municipio, Lombardia",POINT
Piazza della Repubblica - Travedona Monate,Travedona Monate - Fontanella,"Piazza della Repubblica - Travedona Monate, Travedona Monate - Fontanella, Lombardia",POINT
Via Don Luigi Sturzo 40 - Travedona Monate,Travedona Monate - Municipio,"Via Don Luigi Sturzo 40 - Travedona Monate, Travedona Monate - Municipio, Lombardia",POINT
Via A. Manzoni Varano Borghi,Varano Borghi - Cimitero,"Via A. Manzoni Varano Borghi, Varano Borghi - Cimitero, Lombardia",POINT
Via N. Sauro - Varano Borghi,Varano Borghi - Municipio,"Via N. Sauro - Varano Borghi, Varano Borghi - Municipio, Lombardia",POINT
"Via Damiano Chiesa, 26 - Venegono Inferiore",Venegono Inferiore - Municipio,"Via Damiano Chiesa, 26 - Venegono Inferiore, Venegono Inferiore - Municipio, Lombardia",POINT
Pianbosco - Venegono Inferiore,Venegono Inferiore - Rete Pianbosco,"Pianbosco - Venegono Inferiore, Venegono Inferiore - Rete Pianbosco, Lombardia",POINT
Via Pasubio - Venegono Superiore,Venegono Superiore - Parco Pratone,"Via Pasubio - Venegono Superiore, Venegono Superiore - Parco Pratone, Lombardia",POINT
Piazza Mauceri - Venegono Superiore,Venegono Superiore - punto rete Municipio,"Piazza Mauceri - Venegono Superiore, Venegono Superiore - punto rete Municipio, Lombardia",POINT
Via Cuirone - Vergiate,Vergiate - Cimitero De Amicis,"Via Cuirone - Vergiate, Vergiate - Cimitero De Amicis, Lombardia",POINT
Via per Sesto Calende - Vergiate,Vergiate - Cimitero Posorti,"Via per Sesto Calende - Vergiate, Vergiate - Cimitero Posorti, Lombardia",POINT
Via Fratelli Rosselli - Vergiate,Vergiate - Cimitero Rosselli,"Via Fratelli Rosselli - Vergiate, Vergiate - Cimitero Rosselli, Lombardia",POINT
Via Cavallotti - Vergiate,Vergiate - Municipio,"Via Cavallotti - Vergiate, Vergiate - Municipio, Lombardia",POINT
Piazza Marconi - Vizzola Ticino,Vizzola Ticino - Municipio,"Piazza Marconi - Vizzola Ticino, Vizzola Ticino - Municipio, Lombardia",POINT
Via al porto - Vizzola Ticino,Vizzola Ticino - rete al porto,"Via al porto - Vizzola Ticino, Vizzola Ticino - rete al porto, Lombardia",POINT
Via San Giulio Vizzola Ticino,Vizzola Ticino - rete San Giulio,"Via San Giulio Vizzola Ticino, Vizzola Ticino - rete San Giulio, Lombardia",POINT
