alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Via Corsini,PRESEGLIE,<0.05,<1,170,52.0,0.13,4,359,Dicembre 2019,20.5,<0.1,16.8,<5,4,<0.02,7.9,0.7,251,2.4,30
Via Nuova,PRESEGLIE,<0.05,<1,226,59.6,0.09,3,410,Dicembre 2019,24.8,<0.1,28.0,<5,5,<0.02,7.8,0.5,287,1.3,12
Via San Rocco,PRESEGLIE,<0.05,<1,171,59.6,0.09,4,357,Dicembre 2019,20.7,<0.1,17.1,<5,4,<0.02,7.8,0.8,250,2.6,29
Strada Provinciale 59,PROVAGLIO VAL SABBIA,<0.05,<1,207,51.6,0.12,3,377,Dicembre 2019,22.2,<0.1,23.2,<5,6,<0.02,7.9,0.9,264,2.1,7
Via Milano,PROVAGLIO VAL SABBIA,<0.05,<1,207,51.6,0.12,3,377,Dicembre 2019,22.2,<0.1,23.2,<5,6,<0.02,7.9,0.9,264,2.1,7
Via Roma,PROVAGLIO VAL SABBIA,<0.05,<1,209,49.7,0.11,3,378,Dicembre 2019,22.2,<0.1,22.5,<5,6,<0.02,8.0,0.9,265,2.0,7
Via VII Brigata Matteotti,PROVAGLIO VAL SABBIA,<0.05,<1,207,51.4,0.11,3,379,Dicembre 2019,22.2,<0.1,22.9,<5,7,<0.02,7.8,0.9,265,2.1,7
Via F. Braga,Paitone,<0.05,<1,262,82.4,<0.05,11,535,Dicembre 2019,30.2,0.1,25.8,<5,17,<0.02,7.9,1.1,375,6.7,30
Via Trieste,Pavone del Mella,0.08,5,246,64.9,<0.05,2,454,Dicembre 2019,25.8,<0.1,23.0,<5,<2,<0.02,8.2,1.1,318,6.5,19
via Petrarca (Gombio),Polaveno,0.06,<1,182,76.5,0.08,6,362,Dicembre 2019,20.7,<0.1,1.7,18,16,0.03,6.9,0.8,253,1.9,6
Via Pietro Nenni,Pontevico,<0.05,2,252,70.7,<0.05,9,465,Dicembre 2019,24.9,<0.1,16.2,<5,2,<0.02,8.1,1.3,326,10.6,7
