alias_city,alias_address,georeferencingString,type
GAVARDO,Piazza Moro,"Piazza Moro, GAVARDO, BS, Lombardia",POINT
GAVARDO,Piazza Pesa,"Piazza Pesa, GAVARDO, BS, Lombardia",POINT
GAVARDO,Via Marzatica,"Via Marzatica, GAVARDO, BS, Lombardia",POINT
GAVARDO,Via S. Pellegrino,"Via S. Pellegrino, GAVARDO, BS, Lombardia",POINT
GAVARDO,Via Sant'Antonio,"Via Sant'Antonio, GAVARDO, BS, Lombardia",POINT
GOTTOLENGO,Piazza Martiri della Libertà,"Piazza Martiri della Libertà, GOTTOLENGO, BS, Lombardia",POINT
GOTTOLENGO,Via Alberini,"Via Alberini, GOTTOLENGO, BS, Lombardia",POINT
GOTTOLENGO,Via Roma,"Via Roma, GOTTOLENGO, BS, Lombardia",POINT
GUSSAGO,Piazza San Lorenzo,"Piazza San Lorenzo, GUSSAGO, BS, Lombardia",POINT
GUSSAGO,Via Carrebbio,"Via Carrebbio, GUSSAGO, BS, Lombardia",POINT
GUSSAGO,Via Civine,"Via Civine, GUSSAGO, BS, Lombardia",POINT
GUSSAGO,Via Kennedy,"Via Kennedy, GUSSAGO, BS, Lombardia",POINT
GUSSAGO,Via San Zenone,"Via San Zenone, GUSSAGO, BS, Lombardia",POINT
GUSSAGO,Via Seriola,"Via Seriola, GUSSAGO, BS, Lombardia",POINT
GUSSAGO,Via Trieste,"Via Trieste, GUSSAGO, BS, Lombardia",POINT
Gambara,Via Lamarmora,"Via Lamarmora, Gambara, BS, Lombardia",POINT
Gottolengo,Via Cavour,"Via Cavour, Gottolengo, BS, Lombardia",POINT
Gussago,Via Sale,"Via Sale, Gussago, BS, Lombardia",POINT
IDRO,Strada Provinciale 58 per Capovalle,"Strada Provinciale 58 per Capovalle, IDRO, BS, Lombardia",POINT
IDRO,Via San Michele,"Via San Michele, IDRO, BS, Lombardia",POINT
IDRO,Via Sasse,"Via Sasse, IDRO, BS, Lombardia",POINT
IDRO,Via Trento,"Via Trento, IDRO, BS, Lombardia",POINT
IDRO,Via Treviso Bresciano,"Via Treviso Bresciano, IDRO, BS, Lombardia",POINT
ISORELLA,Piazza Castello angolo Via Marconi,"Piazza Castello angolo Via Marconi, ISORELLA, BS, Lombardia",POINT
ISORELLA,Piazza Roma,"Piazza Roma, ISORELLA, BS, Lombardia",POINT
ISORELLA,Via De Gasperi angolo via Berardo Maggi,"Via De Gasperi angolo via Berardo Maggi, ISORELLA, BS, Lombardia",POINT
Isorella,Via de Gasperi,"Via de Gasperi, Isorella, BS, Lombardia",POINT
LAVENONE,Bisenzio,"Bisenzio, LAVENONE, BS, Lombardia",POINT
LAVENONE,Piazza Santo Stefano,"Piazza Santo Stefano, LAVENONE, BS, Lombardia",POINT
LAVENONE,Via Pileca,"Via Pileca, LAVENONE, BS, Lombardia",POINT
LONATO,Campagna,"Campagna, LONATO, BS, Lombardia",POINT
LONATO,Madonna della Scoperta,"Madonna della Scoperta, LONATO, BS, Lombardia",POINT
LONATO,Piazza Corlo,"Piazza Corlo, LONATO, BS, Lombardia",POINT
LONATO,Piazzale Gramsci,"Piazzale Gramsci, LONATO, BS, Lombardia",POINT
LONATO,Via Arriga Alta,"Via Arriga Alta, LONATO, BS, Lombardia",POINT
LONATO,Via Centenaro,"Via Centenaro, LONATO, BS, Lombardia",POINT
LONATO,Via Ceruti,"Via Ceruti, LONATO, BS, Lombardia",POINT
LONATO,Via Galilei,"Via Galilei, LONATO, BS, Lombardia",POINT
LONATO,Via Maguzzano,"Via Maguzzano, LONATO, BS, Lombardia",POINT
LONATO,Via Mancino,"Via Mancino, LONATO, BS, Lombardia",POINT
LONATO,Via Tito Speri,"Via Tito Speri, LONATO, BS, Lombardia",POINT
LONATO,Via XXIV Maggio,"Via XXIV Maggio, LONATO, BS, Lombardia",POINT
LONGHENA,Piazza della Chiesa,"Piazza della Chiesa, LONGHENA, BS, Lombardia",POINT
Lavenone,Via per Presegno,"Via per Presegno, Lavenone, BS, Lombardia",POINT
Lonato del Garda,Via Colombere Pozze,"Via Colombere Pozze, Lonato del Garda, BS, Lombardia",POINT
Longhena,Via Chiesa,"Via Chiesa, Longhena, BS, Lombardia",POINT
MAIRANO,Piazza Calini,"Piazza Calini, MAIRANO, BS, Lombardia",POINT
MAIRANO,Via Mazzini,"Via Mazzini, MAIRANO, BS, Lombardia",POINT
MANERBIO,Piazza Italia,"Piazza Italia, MANERBIO, BS, Lombardia",POINT
MANERBIO,Via Donatori del Sangue,"Via Donatori del Sangue, MANERBIO, BS, Lombardia",POINT
MANERBIO,Via Lombardia,"Via Lombardia, MANERBIO, BS, Lombardia",POINT
MANERBIO,Via Morandi angolo Via Boccaccio,"Via Morandi angolo Via Boccaccio, MANERBIO, BS, Lombardia",POINT
MANERBIO,Via Offlaga,"Via Offlaga, MANERBIO, BS, Lombardia",POINT
MANERBIO,Via Roncagnani,"Via Roncagnani, MANERBIO, BS, Lombardia",POINT
MARMENTINO,Dosso,"Dosso, MARMENTINO, BS, Lombardia",POINT
MARMENTINO,Ombriano,"Ombriano, MARMENTINO, BS, Lombardia",POINT
MARMENTINO,Ville,"Ville, MARMENTINO, BS, Lombardia",POINT
MAZZANO,Rotonda Paolo VI,"Rotonda Paolo VI, MAZZANO, BS, Lombardia",POINT
MAZZANO,Via Conciliazione,"Via Conciliazione, MAZZANO, BS, Lombardia",POINT
MAZZANO,Via Conti Emili,"Via Conti Emili, MAZZANO, BS, Lombardia",POINT
MAZZANO,Via Garibaldi,"Via Garibaldi, MAZZANO, BS, Lombardia",POINT
MILZANO,Via Battisti angolo Vicolo Magenta,"Via Battisti angolo Vicolo Magenta, MILZANO, BS, Lombardia",POINT
MILZANO,Via Dott. Galli angolo Via Maestà,"Via Dott. Galli angolo Via Maestà, MILZANO, BS, Lombardia",POINT
MILZANO,Via Europa angolo Via Gramsci,"Via Europa angolo Via Gramsci, MILZANO, BS, Lombardia",POINT
MONTICHIARI,Via Allende,"Via Allende, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Arrighini,"Via Arrighini, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Bernardino,"Via Bernardino, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Boschetti di Mezzo,"Via Boschetti di Mezzo, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Campagnoli,"Via Campagnoli, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Dugali,"Via Dugali, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Fascia d'Oro,"Via Fascia d'Oro, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Lame,"Via Lame, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Marconi,"Via Marconi, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Monsignor Quaranta,"Via Monsignor Quaranta, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Rampina di San Giorgio,"Via Rampina di San Giorgio, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via San Giovanni,"Via San Giovanni, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via Sant'Eurosia,"Via Sant'Eurosia, MONTICHIARI, BS, Lombardia",POINT
MONTICHIARI,Via dell'Artigianato,"Via dell'Artigianato, MONTICHIARI, BS, Lombardia",POINT
MONTIRONE,Piazza Risorgimento,"Piazza Risorgimento, MONTIRONE, BS, Lombardia",POINT
MONTIRONE,Via Campagna,"Via Campagna, MONTIRONE, BS, Lombardia",POINT
MONTIRONE,Via Puccini,"Via Puccini, MONTIRONE, BS, Lombardia",POINT
MURA,Piazza Cavour,"Piazza Cavour, MURA, BS, Lombardia",POINT
MURA,Veriano,"Veriano, MURA, BS, Lombardia",POINT
MURA,Via Castello,"Via Castello, MURA, BS, Lombardia",POINT
MURA,Via San Domenico,"Via San Domenico, MURA, BS, Lombardia",POINT
Mairano,Via Cabrino da Mairano,"Via Cabrino da Mairano, Mairano, BS, Lombardia",POINT
Manerbio,Piazzale Ospedale,"Piazzale Ospedale, Manerbio, BS, Lombardia",POINT
Marmentino,Strada Provinciale 50,"Strada Provinciale 50, Marmentino, BS, Lombardia",POINT
Mazzano,Viale della Resistenza (Molinetto),"Viale della Resistenza (Molinetto), Mazzano, BS, Lombardia",POINT
Milzano,via Fratelli Bandiera,"via Fratelli Bandiera, Milzano, BS, Lombardia",POINT
Montichiari,Via C. Inico,"Via C. Inico, Montichiari, BS, Lombardia",POINT
Montichiari,Via Carlo Cattaneo (Novagli),"Via Carlo Cattaneo (Novagli), Montichiari, BS, Lombardia",POINT
Montichiari,Via San Giovanni (Vighizzolo),"Via San Giovanni (Vighizzolo), Montichiari, BS, Lombardia",POINT
Montirone,Via F. Corridoni,"Via F. Corridoni, Montirone, BS, Lombardia",POINT
Mura,Via V. Trainini,"Via V. Trainini, Mura, BS, Lombardia",POINT
NAVE,Piazza Martiri della Libertà,"Piazza Martiri della Libertà, NAVE, BS, Lombardia",POINT
NAVE,Trento,"Trento, NAVE, BS, Lombardia",POINT
NAVE,Via Belcolle,"Via Belcolle, NAVE, BS, Lombardia",POINT
NAVE,Via Dernago,"Via Dernago, NAVE, BS, Lombardia",POINT
NAVE,Via Monteclana alta,"Via Monteclana alta, NAVE, BS, Lombardia",POINT
NAVE,Via Monteclana bassa,"Via Monteclana bassa, NAVE, BS, Lombardia",POINT
NAVE,Via San Francesco,"Via San Francesco, NAVE, BS, Lombardia",POINT
NAVE,Via San Marco,"Via San Marco, NAVE, BS, Lombardia",POINT
NUVOLERA,Via Livelli,"Via Livelli, NUVOLERA, BS, Lombardia",POINT
NUVOLERA,Via Roma,"Via Roma, NUVOLERA, BS, Lombardia",POINT
NUVOLERA,Via Soldo,"Via Soldo, NUVOLERA, BS, Lombardia",POINT
NUVOLERA,Via Valle,"Via Valle, NUVOLERA, BS, Lombardia",POINT
Nave,Via Campanile,"Via Campanile, Nave, BS, Lombardia",POINT
Nuvolera,Via Camprelle,"Via Camprelle, Nuvolera, BS, Lombardia",POINT
ODOLO,Piazza Santa Maria Bambina,"Piazza Santa Maria Bambina, ODOLO, BS, Lombardia",POINT
ODOLO,Via Brescia,"Via Brescia, ODOLO, BS, Lombardia",POINT
ODOLO,Via Fratelli Scalvini,"Via Fratelli Scalvini, ODOLO, BS, Lombardia",POINT
OFFLAGA,Piazza Vittoria,"Piazza Vittoria, OFFLAGA, BS, Lombardia",POINT
OFFLAGA,Via Conte Fè d'Ostiani,"Via Conte Fè d'Ostiani, OFFLAGA, BS, Lombardia",POINT
OFFLAGA,Via Roma,"Via Roma, OFFLAGA, BS, Lombardia",POINT
OME,Piazza Aldo Moro,"Piazza Aldo Moro, OME, BS, Lombardia",POINT
OME,Via Battola,"Via Battola, OME, BS, Lombardia",POINT
OME,Via Goiane angolo via San Michele,"Via Goiane angolo via San Michele, OME, BS, Lombardia",POINT
ORZINUOVI,Via Crispi angolo Via Galilei,"Via Crispi angolo Via Galilei, ORZINUOVI, BS, Lombardia",POINT
ORZINUOVI,Via Don Mazzolari,"Via Don Mazzolari, ORZINUOVI, BS, Lombardia",POINT
ORZINUOVI,Via Ferraroli,"Via Ferraroli, ORZINUOVI, BS, Lombardia",POINT
ORZINUOVI,Via IV Novembre,"Via IV Novembre, ORZINUOVI, BS, Lombardia",POINT
ORZINUOVI,Via Milano,"Via Milano, ORZINUOVI, BS, Lombardia",POINT
ORZINUOVI,Via Prebenda,"Via Prebenda, ORZINUOVI, BS, Lombardia",POINT
ORZINUOVI,Via Tasso,"Via Tasso, ORZINUOVI, BS, Lombardia",POINT
OSPITALETTO,Via IV Novembre,"Via IV Novembre, OSPITALETTO, BS, Lombardia",POINT
OSPITALETTO,Via Leopardi,"Via Leopardi, OSPITALETTO, BS, Lombardia",POINT
OSPITALETTO,Via Martiri della Libertà,"Via Martiri della Libertà, OSPITALETTO, BS, Lombardia",POINT
Odolo,Via Praes,"Via Praes, Odolo, BS, Lombardia",POINT
Ome,Piazza del Mercato,"Piazza del Mercato, Ome, BS, Lombardia",POINT
Orzinuovi,Via Giotto,"Via Giotto, Orzinuovi, BS, Lombardia",POINT
Ospitaletto,Via Sant'Antonio,"Via Sant'Antonio, Ospitaletto, BS, Lombardia",POINT
PAITONE,Via Chiosetto,"Via Chiosetto, PAITONE, BS, Lombardia",POINT
PAITONE,Via Pospesio,"Via Pospesio, PAITONE, BS, Lombardia",POINT
