alias_address,alias_city,geocode,geometry,georeferencingString,type
Via Roda angolo Via Aldo Moro,SENIGA,,,"Via Roda angolo Via Aldo Moro, SENIGA, BS, Lombardia",POINT
Via Leopardi,SERLE,,,"Via Leopardi, SERLE, BS, Lombardia",POINT
Via Caduti,Sabbio Chiese,,,"Via Caduti, Sabbio Chiese, BS, Lombardia",POINT
Piazza G. Marconi,San Zeno Naviglio,,,"Piazza G. Marconi, San Zeno Naviglio, BS, Lombardia",POINT
Via Fobbia,TREVISO BRESCIANO,,,"Via Fobbia, TREVISO BRESCIANO, BS, Lombardia",POINT
Via Valledrane,TREVISO BRESCIANO,,,"Via Valledrane, TREVISO BRESCIANO, BS, Lombardia",POINT
Via Suor S. Bodei,VALLIO TERME,,,"Via Suor S. Bodei, VALLIO TERME, BS, Lombardia",POINT
Via Puccini,VEROLANUOVA,,,"Via Puccini, VEROLANUOVA, BS, Lombardia",POINT
Via Volta,VEROLANUOVA,,,"Via Volta, VEROLANUOVA, BS, Lombardia",POINT
Piazza Mercato,VESTONE,,,"Piazza Mercato, VESTONE, BS, Lombardia",POINT
Via Toccabelli,VESTONE,,,"Via Toccabelli, VESTONE, BS, Lombardia",POINT
Via Ponte Chiese,VILLANUOVA SUL CLISI,,,"Via Ponte Chiese, VILLANUOVA SUL CLISI, BS, Lombardia",POINT
Via Ponte Pier,VILLANUOVA SUL CLISI,,,"Via Ponte Pier, VILLANUOVA SUL CLISI, BS, Lombardia",POINT
Via XXIV Maggio,VILLANUOVA SUL CLISI,,,"Via XXIV Maggio, VILLANUOVA SUL CLISI, BS, Lombardia",POINT
Piazza Chiesa,VOBARNO,,,"Piazza Chiesa, VOBARNO, BS, Lombardia",POINT
Via San Zenone,VOBARNO,,,"Via San Zenone, VOBARNO, BS, Lombardia",POINT
Via Verdi,Verolanuova,,,"Via Verdi, Verolanuova, BS, Lombardia",POINT
Via M. Bettinzoli,Vestone,,,"Via M. Bettinzoli, Vestone, BS, Lombardia",POINT
Via G. Matteotti,Visano,,,"Via G. Matteotti, Visano, BS, Lombardia",POINT
Via Regona,SENIGA,"Regona, Seniga, Brescia, Lombardia, 26032, Italia","{'type': 'Point', 'coordinates': [10.2060461, 45.2408556]}","Via Regona, SENIGA, BS, Lombardia",POINT
Binzago,AGNOSINE,"Binzago, Agnosine, Comunità montana della valle Sabbia, Brescia, Lombardia, 25071, Italia","{'type': 'Point', 'coordinates': [10.3523566, 45.6367491]}","Binzago, AGNOSINE, BS, Lombardia",POINT
Casale,AGNOSINE,"Casale, Agnosine, Comunità montana della valle Sabbia, Brescia, Lombardia, 25071, Italia","{'type': 'Point', 'coordinates': [10.3394147, 45.6479564]}","Casale, AGNOSINE, BS, Lombardia",POINT
Via Roma,AGNOSINE,"Via Roma, Sant'Andrea, Agnosine, Comunità montana della valle Sabbia, Brescia, Lombardia, 25071, Italia","{'type': 'Point', 'coordinates': [10.345868, 45.655603]}","Via Roma, AGNOSINE, BS, Lombardia",POINT
"Via Roma, 47",AGNOSINE,"Via Roma, Sant'Andrea, Agnosine, Comunità montana della valle Sabbia, Brescia, Lombardia, 25071, Italia","{'type': 'Point', 'coordinates': [10.345868, 45.655603]}","Via Roma, 47, AGNOSINE, BS, Lombardia",POINT
Via Santella Mora,AGNOSINE,"Via Santella Mora, Sant'Andrea, Agnosine, Comunità montana della valle Sabbia, Brescia, Lombardia, 25071, Italia","{'type': 'Point', 'coordinates': [10.3422882, 45.6577671]}","Via Santella Mora, AGNOSINE, BS, Lombardia",POINT
Baremone,ANFO,"Passo del Baremone, Anfo, Comunità montana della valle Sabbia, Brescia, Lombardia, 25072, Italia","{'type': 'Point', 'coordinates': [10.4652696, 45.7919706]}","Baremone, ANFO, BS, Lombardia",POINT
Via Circonvallazione,Agnosine,"Via Circonvallazione, Trebbio, Agnosine, Comunità montana della valle Sabbia, Brescia, Lombardia, 25071, Italia","{'type': 'Point', 'coordinates': [10.348998, 45.651875]}","Via Circonvallazione, Agnosine, BS, Lombardia",POINT
Via Roma,BAGNOLO MELLA,"Bagnolo Mella, Brescia, Lombardia, Italia","{'type': 'Point', 'coordinates': [10.18437, 45.429079]}","Via Roma, BAGNOLO MELLA, BS, Lombardia",POINT
Via Urne di sotto,BAGNOLO MELLA,"Via Urne di Sotto, Revolto, Bagnolo Mella, Brescia, Lombardia, 25021, Italia","{'type': 'Point', 'coordinates': [10.1915403, 45.4183081]}","Via Urne di sotto, BAGNOLO MELLA, BS, Lombardia",POINT
Viale Europa,BAGNOLO MELLA,"Viale Europa, Revolto, Bagnolo Mella, Brescia, Lombardia, 25021, Italia","{'type': 'Point', 'coordinates': [10.1856833, 45.4364511]}","Viale Europa, BAGNOLO MELLA, BS, Lombardia",POINT
Via Forno,BAGOLINO,"Via Forno, Fontana, Bagolino, Comunità montana della valle Sabbia, Brescia, Lombardia, 25072, Italia","{'type': 'Point', 'coordinates': [10.4546651, 45.8312213]}","Via Forno, BAGOLINO, BS, Lombardia",POINT
Via Mignano,BAGOLINO,"Via Mignano, Fontana, Bagolino, Comunità montana della valle Sabbia, Brescia, Lombardia, 25072, Italia","{'type': 'Point', 'coordinates': [10.4576036, 45.8253169]}","Via Mignano, BAGOLINO, BS, Lombardia",POINT
Via San Giorgio,BAGOLINO,"Via San Giorgio, Bagolino, Comunità montana della valle Sabbia, Brescia, Lombardia, 25072, Italia","{'type': 'Point', 'coordinates': [10.4640109, 45.8219617]}","Via San Giorgio, BAGOLINO, BS, Lombardia",POINT
Via Brescia,BASSANO BRESCIANO,"Via Brescia, Bassano Bresciano, Brescia, Lombardia, 25025, Italia","{'type': 'Point', 'coordinates': [10.1294973, 45.3347184]}","Via Brescia, BASSANO BRESCIANO, BS, Lombardia",POINT
Via Lusignolo,BASSANO BRESCIANO,"Via Lusignolo, Bassano Bresciano, Brescia, Lombardia, 25025, Italia","{'type': 'Point', 'coordinates': [10.1248266, 45.328111]}","Via Lusignolo, BASSANO BRESCIANO, BS, Lombardia",POINT
Via Martinengo,BASSANO BRESCIANO,"Via Martinengo, Bassano Bresciano, Brescia, Lombardia, 25025, Italia","{'type': 'Point', 'coordinates': [10.1271076, 45.3262746]}","Via Martinengo, BASSANO BRESCIANO, BS, Lombardia",POINT
