alias_address,alias_city,geocode,geometry,georeferencingString,tyoe
Territorio comunale,MORIMONDO,"Morimondo, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.9548111, 45.3524418]}",MORIMONDO MI,POINT
Territorio comunale,MOTTA VISCONTI,"Motta Visconti, Milano, Lombardia, 20086, Italia","{'type': 'Point', 'coordinates': [8.9924871, 45.288179]}",MOTTA VISCONTI MI,POINT
Territorio comunale,NERVIANO,"Nerviano, Milano, Lombardia, 20014, Italia","{'type': 'Point', 'coordinates': [8.970719, 45.5536472]}",NERVIANO MI,POINT
Territorio comunale,NOSATE,"Nosate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.726535, 45.550869]}",NOSATE MI,POINT
Territorio comunale,NOVATE MILANESE,"Novate Milanese, Milano, Lombardia, 20026, Italia","{'type': 'Point', 'coordinates': [9.1347535, 45.5309732]}",NOVATE MILANESE MI,POINT
Territorio comunale,NOVIGLIO,"Noviglio, Milano, Lombardia, 20082, Italia","{'type': 'Point', 'coordinates': [9.0503748, 45.3601594]}",NOVIGLIO MI,POINT
Territorio comunale,OPERA,"Opera, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.211149, 45.373069]}",OPERA MI,POINT
Territorio comunale,OSSONA,"Ossona, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.9012659, 45.5062108]}",OSSONA MI,POINT
Territorio comunale,OZZERO,"Ozzero, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.9245144, 45.3658483]}",OZZERO MI,POINT
Territorio comunale,PADERNO DUGNANO,"Paderno Dugnano, Milano, Lombardia, 20037, Italia","{'type': 'Point', 'coordinates': [9.1655747, 45.5684961]}",PADERNO DUGNANO MI,POINT
Territorio comunale,PANTIGLIATE,"Pantigliate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.352631, 45.439548]}",PANTIGLIATE MI,POINT
Territorio comunale,PARABIAGO,"Parabiago, Milano, Lombardia, 20015, Italia","{'type': 'Point', 'coordinates': [8.9478877, 45.5586107]}",PARABIAGO MI,POINT
Territorio comunale,PAULLO,"Paullo, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.3982408, 45.4167873]}",PAULLO MI,POINT
Territorio comunale,PERO,"Pero, Milano, Lombardia, 20016, Italia","{'type': 'Point', 'coordinates': [9.0855243, 45.5087345]}",PERO MI,POINT
Territorio comunale,PESCHIERA BORROMEO,"Peschiera Borromeo, Milano, Lombardia, 20068, Italia","{'type': 'Point', 'coordinates': [9.3109026, 45.4310304]}",PESCHIERA BORROMEO MI,POINT
Territorio comunale,PESSANO CON BORNAGO,"Pessano con Bornago, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.3818421, 45.5495374]}",PESSANO CON BORNAGO MI,POINT
Territorio comunale,PIEVE EMANUELE,"Pieve Emanuele, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.2020722, 45.3559126]}",PIEVE EMANUELE MI,POINT
Territorio comunale,PIOLTELLO,"Pioltello, Milano, Lombardia, 20096, Italia","{'type': 'Point', 'coordinates': [9.3286576, 45.497331]}",PIOLTELLO MI,POINT
Territorio comunale,POGLIANO MILANESE,"Pogliano Milanese, Milano, Lombardia, 20010, Italia","{'type': 'Point', 'coordinates': [8.991417, 45.5373049]}",POGLIANO MILANESE MI,POINT
Territorio comunale,POZZO D'ADDA,"Pozzo d'Adda, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.5003771, 45.5756656]}",POZZO D'ADDA MI,POINT
Territorio comunale,POZZUOLO MARTESANA,"Pozzuolo Martesana, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.456252, 45.513975]}",POZZUOLO MARTESANA MI,POINT
Territorio comunale,PREGNANA MILANESE,"Pregnana Milanese, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0080123, 45.5158489]}",PREGNANA MILANESE MI,POINT
Territorio comunale,RESCALDINA,"Rescaldina, Milano, Lombardia, 20027, Italia","{'type': 'Point', 'coordinates': [8.9489311, 45.6159737]}",RESCALDINA MI,POINT
Territorio comunale,RHO,"Rho, Milano, Lombardia, 20017, Italia","{'type': 'Point', 'coordinates': [9.0437554, 45.5239372]}",RHO MI,POINT
Territorio comunale,ROBECCHETTO CON INDUNO,"Robecchetto con Induno, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.7645584, 45.5324806]}",ROBECCHETTO CON INDUNO MI,POINT
Territorio comunale,ROBECCO SUL NAVIGLIO,"Robecco sul Naviglio, Milano, Lombardia, 20087, Italia","{'type': 'Point', 'coordinates': [8.8855409, 45.4390669]}",ROBECCO SUL NAVIGLIO MI,POINT
Territorio comunale,RODANO,"Rodano, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.3534606, 45.4776576]}",RODANO MI,POINT
Territorio comunale,ROSATE,"Rosate, Milano, Lombardia, 20088, Italia","{'type': 'Point', 'coordinates': [9.0174784, 45.3519922]}",ROSATE MI,POINT
Territorio comunale,ROZZANO,"Rozzano, Milano, Lombardia, 20089, Italia","{'type': 'Point', 'coordinates': [9.1541309, 45.3832366]}",ROZZANO MI,POINT
Territorio comunale,SAN COLOMBANO AL LAMBRO,"San Colombano al Lambro, Milano, Lombardia, 20078, Italia","{'type': 'Point', 'coordinates': [9.488578, 45.1817156]}",SAN COLOMBANO AL LAMBRO MI,POINT
Territorio comunale,SAN DONATO MILANESE,"San Donato Milanese, Milano, Lombardia, 20097, Italia","{'type': 'Point', 'coordinates': [9.27165, 45.41807]}",SAN DONATO MILANESE MI,POINT
Territorio comunale,SAN GIORGIO SU LEGNANO,"San Giorgio su Legnano, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.913739, 45.573771]}",SAN GIORGIO SU LEGNANO MI,POINT
Territorio comunale,SAN GIULIANO MILANESE,"San Giuliano Milanese, Milano, Lombardia, 20098, Italia","{'type': 'Point', 'coordinates': [9.291851, 45.39427]}",SAN GIULIANO MILANESE MI,POINT
Territorio comunale,SAN VITTORE OLONA,"San Vittore Olona, Milano, Lombardia, 20028, Italia","{'type': 'Point', 'coordinates': [8.941339, 45.585772]}",SAN VITTORE OLONA MI,POINT
Territorio comunale,SAN ZENONE AL LAMBRO,"San Zenone al Lambro, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.355253, 45.327269]}",SAN ZENONE AL LAMBRO MI,POINT
Territorio comunale,SANTO STEFANO TICINO,"Santo Stefano Ticino, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.9186265, 45.4872627]}",SANTO STEFANO TICINO MI,POINT
Territorio comunale,SEDRIANO,"Sedriano, Milano, Lombardia, 20018, Italia","{'type': 'Point', 'coordinates': [8.9687313, 45.4883326]}",SEDRIANO MI,POINT
Territorio comunale,SEGRATE,"Segrate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.2948204, 45.4907352]}",SEGRATE MI,POINT
Territorio comunale,SENAGO,"Senago, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.1245482, 45.5762722]}",SENAGO MI,POINT
Territorio comunale,SESTO SAN GIOVANNI,"Sesto San Giovanni, Milano, Lombardia, 20099, Italia","{'type': 'Point', 'coordinates': [9.2376549, 45.5357218]}",SESTO SAN GIOVANNI MI,POINT
Territorio comunale,SETTALA,"Settala, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.3867659, 45.4544127]}",SETTALA MI,POINT
Territorio comunale,SETTIMO MILANESE,"Settimo Milanese, Milano, Lombardia, 20019, Italia","{'type': 'Point', 'coordinates': [9.0553555, 45.4803094]}",SETTIMO MILANESE MI,POINT
Territorio comunale,SOLARO,"Solaro, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0815195, 45.6157554]}",SOLARO MI,POINT
Territorio comunale,TREZZANO ROSA,"Trezzano Rosa, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.486652, 45.582777]}",TREZZANO ROSA MI,POINT
Territorio comunale,TREZZANO SUL NAVIGLIO,"Trezzano sul Naviglio, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0691165, 45.4179878]}",TREZZANO SUL NAVIGLIO MI,POINT
Territorio comunale,TREZZO SULL'ADDA,"Trezzo sull'Adda, Milano, Lombardia, 20056, Italia","{'type': 'Point', 'coordinates': [9.5070742, 45.5978495]}",TREZZO SULL'ADDA MI,POINT
Territorio comunale,TRIBIANO,"Tribiano, Milano, Lombardia, 20067, Italia","{'type': 'Point', 'coordinates': [9.378952, 45.413371]}",TRIBIANO MI,POINT
Territorio comunale,TRUCCAZZANO,"Truccazzano, Milano, Lombardia, 20660, Italia","{'type': 'Point', 'coordinates': [9.468553, 45.483874]}",TRUCCAZZANO MI,POINT
Territorio comunale,TURBIGO,"Turbigo, Milano, Lombardia, 20029, Italia","{'type': 'Point', 'coordinates': [8.7366656, 45.5291504]}",TURBIGO MI,POINT
Territorio comunale,VANZAGHELLO,"Vanzaghello, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.7823717, 45.5792526]}",VANZAGHELLO MI,POINT
Territorio comunale,VANZAGO,"Vanzago, Milano, Lombardia, 20010, Italia","{'type': 'Point', 'coordinates': [8.9949548, 45.5268256]}",VANZAGO MI,POINT
Territorio comunale,VAPRIO D'ADDA,"Vaprio d'Adda, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.5291744, 45.5765762]}",VAPRIO D'ADDA MI,POINT
Territorio comunale,VERMEZZO,"Vermezzo, Milano, Lombardia, 20080, Italia","{'type': 'Point', 'coordinates': [8.9810625, 45.394647]}",VERMEZZO MI,POINT
Territorio comunale,VERNATE,"Vernate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0609682, 45.3161472]}",VERNATE MI,POINT
Territorio comunale,VIGNATE,"Vignate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.376651, 45.496573]}",VIGNATE MI,POINT
Territorio comunale,VILLA CORTESE,"Villa Cortese, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8889031, 45.5667519]}",VILLA CORTESE MI,POINT
Territorio comunale,VIMODRONE,"Vimodrone, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.2846717, 45.5128319]}",VIMODRONE MI,POINT
Territorio comunale,VITTUONE,"Vittuone, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.952442, 45.487969]}",VITTUONE MI,POINT
Territorio comunale,VIZZOLO PREDABISSI,"Vizzolo Predabissi, Milano, Lombardia, 20070, Italia","{'type': 'Point', 'coordinates': [9.3497623, 45.35636]}",VIZZOLO PREDABISSI MI,POINT
Territorio comunale,ZELO SURRIGONE,"Zelo Surrigone, Milano, Lombardia, 20080, Italia","{'type': 'Point', 'coordinates': [8.985546, 45.3884221]}",ZELO SURRIGONE MI,POINT
Territorio comunale,ZIBIDO SAN GIACOMO,"Zibido San Giacomo, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.1060279, 45.3600002]}",ZIBIDO SAN GIACOMO MI,POINT
