Ammoniaca (NH4+),Attività ioni idrogeno,Bicarbonati,Calcio,Cloro residuo,Cloruri,Conduc. elettrica specifica a 20 °C,Durezza totale in gradi francesi,Ferro totale,Fluoruri,Magnesio,Manganese,Nitrati,Nitriti,Potassio,Sodio,Solfati,alias_address,alias_city,data_report
"< 0,05",8,194,56.4,,2,258,16,19.1,"< 0,2",4.6,< 1,4,"< 0,1",0.3,0.7,3,VIA GIACONI,Lastebasse,06/12/2019
"< 0,05",8.1,154,43.2,,3,239,13.2,15.3,"< 0,2",5.9,< 1,4,"< 0,1",0.4,2.2,2,VIA MONTEPIANO,Lastebasse,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,PIAZZA GARZADORI DA SCHIO,Longare,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,PIAZZA LUIGI MAZZARETTO,Longare,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,PIAZZA VALAUGURIE,Longare,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,PIAZZETTA MONSIGOR CANEUS,Longare,06/12/2019
"< 0,05",7.7,219,56.5,,2,304,18.1,,"< 0,2",9.8,,5,"< 0,1",0.5,1.3,3,PIAZZA 25 APRILE,Lugo di Vicenza,06/12/2019
"< 0,05",7.7,219,56.5,,2,304,18.1,,"< 0,2",9.8,,5,"< 0,1",0.5,1.3,3,VIA BELLINI,Lugo di Vicenza,06/12/2019
"< 0,05",7.7,219,56.5,,2,304,18.1,,"< 0,2",9.8,,5,"< 0,1",0.5,1.3,3,VIA BERNARDI,Lugo di Vicenza,06/12/2019
"< 0,05",7.7,219,56.5,,2,304,18.1,,"< 0,2",9.8,,5,"< 0,1",0.5,1.3,3,VIA BOSCHETTI,Lugo di Vicenza,06/12/2019
"< 0,05",7.9,193,39,,2,287,17.3,< 5,"< 0,2",18.4,< 1,4,"< 0,1",0.6,1.6,7,CORTE FILANDA CORIELI,Malo,06/12/2019
"< 0,05",7.9,193,39,,2,287,17.3,< 5,"< 0,2",18.4,< 1,4,"< 0,1",0.6,1.6,7,CORTE MADDALENA,Malo,06/12/2019
"< 0,05",7.9,193,39,,2,287,17.3,< 5,"< 0,2",18.4,< 1,4,"< 0,1",0.6,1.6,7,LARGO 25 MARZO,Malo,06/12/2019
"< 0,05",7.9,193,39,,2,287,17.3,< 5,"< 0,2",18.4,< 1,4,"< 0,1",0.6,1.6,7,LARGO BOLIVIA,Malo,06/12/2019
"< 0,05",7.9,198,37.9,,2,291,16.8,< 5,"< 0,2",17.9,< 1,4,"< 0,1",0.7,3,7,PIAZZA SILVA,Marano Vic.,06/12/2019
"< 0,05",7.9,198,37.9,,2,291,16.8,< 5,"< 0,2",17.9,< 1,4,"< 0,1",0.7,3,7,VIA 1 MAGGIO,Marano Vic.,06/12/2019
"< 0,05",7.9,198,37.9,,2,291,16.8,< 5,"< 0,2",17.9,< 1,4,"< 0,1",0.7,3,7,VIA 25 APRILE,Marano Vic.,06/12/2019
"< 0,05",7.9,198,37.9,,2,291,16.8,< 5,"< 0,2",17.9,< 1,4,"< 0,1",0.7,3,7,VIA 4 NOVEMBRE,Marano Vic.,06/12/2019
"< 0,05",7.8,188,58.1,,4,292,16.6,,"< 0,2",5,,7,"< 0,1",1.1,3.5,7,PIAZZA DON MONTANARO,Monte di Malo,06/12/2019
"< 0,05",7.6,,59.7,,3,283,16.3,7.5,"< 0,2",3.4,< 1,6,"< 0,1",0.7,2.4,6,VIA 1 MAGGIO,Monte di Malo,06/12/2019
"< 0,05",7.8,,61.7,,3,286,16.7,9.3,"< 0,2",3.2,< 1,6,"< 0,1",0.6,2.1,7,VIA ACCADEMIA,Monte di Malo,06/12/2019
"< 0,05",7.6,,59.7,,3,283,16.3,7.5,"< 0,2",3.4,< 1,6,"< 0,1",0.7,2.4,6,VIA ANTONELLA,Monte di Malo,06/12/2019
"< 0,05",7.7,260,63.3,,4,385,23.1,8.2,"< 0,2",18.3,< 1,8,"< 0,1",1,3,7,CORTE MILLEARTE,Montecchio Precalcino,06/12/2019
"< 0,05",7.9,260,46,0.1,3,304,18.3,< 5,"< 0,2",18.8,< 1,6,"< 0,1",1,3,6,VIA ALESSANDRO MAGANZA,Montecchio Precalcino,06/12/2019
"< 0,05",7.9,260,46,0.1,3,304,18.3,< 5,"< 0,2",18.8,< 1,6,"< 0,1",1,3,6,VIA ANDREA PALLADIO,Montecchio Precalcino,06/12/2019
"< 0,05",7.9,260,46,0.1,3,304,18.3,< 5,"< 0,2",18.8,< 1,6,"< 0,1",1,3,6,VIA ARTIGIANATO,Montecchio Precalcino,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA GUGLIELMO MARCONI,Montegalda,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA ANTONIO FOGAZZARO,Montegalda,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA ANTONIO VIVALDI,Montegalda,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA BORGO,Montegalda,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA GUGLIELMO MARCONI,Montegaldella,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA AMERIGO VESPUCCI,Montegaldella,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA BERNARDE,Montegaldella,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA BERTONIERA,Montegaldella,06/12/2019
