alias_city,alias_address,georeferencingString,urlReport
Clauzetto,Orton,Località Orton Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Clauzetto,Fraspedane,Località Fraspedane Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Clauzetto,Tunulins,Località Tunulins Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Clauzetto,Paludon,Località Paludon Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Clauzetto,Raunia,Località Raunia Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Erto e Casso,Stei de Conte,Casera di Conte Erto,https://www.hydrogea-pn.it/download/mappa/Erto%20Casso%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Erto e Casso,Prada,Casera Prada Erto,https://www.hydrogea-pn.it/download/mappa/Erto%20Casso%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Erto e Casso,Pineda,Località Pineda Erto,https://www.hydrogea-pn.it/download/mappa/Erto%20Casso%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Erto e Casso,#Casso,Casso Erto e Casso,https://www.hydrogea-pn.it/download/mappa/Erto%20Casso%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Monterale Valcellina,Ravedis,Lago di Ravedis,https://www.hydrogea-pn.it/download/mappa/Montereale%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Monterale Valcellina,Monte Spia,Monte Spia,https://www.hydrogea-pn.it/download/mappa/Montereale%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
