alias_address,alias_city,aqueduct,geocode,geometry,georeferencingString,type
Maso Roveri,Tenna,Tenna,"Via Maso Rovera, 38050, Tenna, TN","{'type': 'Point', 'coordinates': [11.257722917430623, 46.02864953612411]}","Maso Roveri, Tenna, TN, Trentino",POINT
Alberè,Tenna,Tenna,"Via Alberé, 38050, Tenna, TN","{'type': 'Point', 'coordinates': [11.265711865530356, 46.01553259801128]}","Alberè, Tenna, TN, Trentino",POINT
Valdagni,Tenna,Tenna,"Via Valdagni, 38050, Tenna, TN","{'type': 'Point', 'coordinates': [11.251591104282726, 46.02421873718575]}","Valdagni, Tenna, TN, Trentino",POINT
Serafini,Tenna,Tenna,"Serafini, Grigno, TN","{'type': 'Point', 'coordinates': [11.660270000000025, 46.00422000000003]}","Serafini, Tenna, TN, Trentino",POINT
Feghini,Tenna,Tenna,"Tenna, TN","{'type': 'Point', 'coordinates': [11.268520000000024, 46.012830000000065]}","Feghini, Tenna, TN, Trentino",POINT
Campolongo,Tenna,Tenna,"Campolongo, Tenna, TN","{'type': 'Point', 'coordinates': [11.252590000000055, 46.02243000000004]}","Campolongo, Tenna, TN, Trentino",POINT
Terrazze,Tenna,Tenna,"Tenna, TN","{'type': 'Point', 'coordinates': [11.268520000000024, 46.012830000000065]}","Terrazze, Tenna, TN, Trentino",POINT
Borgo Valsugana centro,Borgo Valsugana,Borgo Valsugana,Borgo Valsugana Centro,"{'type': 'Point', 'coordinates': [11.454340000000059, 46.051420000000064]}","Borgo Valsugana centro, Borgo Valsugana, TN, Trentino",POINT
Val di Sella,Borgo Valsugana,Borgo Valsugana,"Strada Provinciale della Valle di Sella, 38051, Borgo Valsugana, TN","{'type': 'Point', 'coordinates': [11.451376560873062, 46.03518347928102]}","Val di Sella, Borgo Valsugana, TN, Trentino",POINT
Località Cave',Borgo Valsugana,Intercomunale Val Cave',"Borgo Valsugana, TN","{'type': 'Point', 'coordinates': [11.454510000000028, 46.053450000000055]}","Località Cave', Borgo Valsugana, TN, Trentino",POINT
Località Prae,Borgo Valsugana,Loc.Prae,"Pra', 38051, Borgo Valsugana, TN","{'type': 'Point', 'coordinates': [11.437417615117866, 46.06111746779831]}","Località Prae, Borgo Valsugana, TN, Trentino",POINT
Malga Costa,Borgo Valsugana,Malga Costa,"Borgo Valsugana, TN","{'type': 'Point', 'coordinates': [11.454510000000028, 46.053450000000055]}","Malga Costa, Borgo Valsugana, TN, Trentino",POINT
Olle,Borgo Valsugana,Olle,"Olle, Borgo Valsugana, TN","{'type': 'Point', 'coordinates': [11.465560000000039, 46.04072000000008]}","Olle, Borgo Valsugana, TN, Trentino",POINT
Barricata,Grigno,Barricata,"Grigno, TN","{'type': 'Point', 'coordinates': [11.631340000000023, 46.01538000000005]}","Barricata, Grigno, TN, Trentino",POINT
Grigno,Grigno,Grigno,"Grigno, TN","{'type': 'Point', 'coordinates': [11.631340000000023, 46.01538000000005]}","Grigno, Grigno, TN, Trentino",POINT
Selva,Grigno,Grigno,"Selva, Grigno, TN","{'type': 'Point', 'coordinates': [11.595500000000072, 46.01523000000003]}","Selva, Grigno, TN, Trentino",POINT
Palù,Grigno,Grigno,"Palu, Grigno, TN","{'type': 'Point', 'coordinates': [11.655290000000036, 46.00688000000008]}","Palù, Grigno, TN, Trentino",POINT
Martincelli,Grigno,Martincelli,"Martincelli, Grigno, TN","{'type': 'Point', 'coordinates': [11.679620000000057, 45.97901000000007]}","Martincelli, Grigno, TN, Trentino",POINT
Pianello di Sopra,Grigno,Martincelli,"Pianello di Sopra, Grigno, TN","{'type': 'Point', 'coordinates': [11.680570000000046, 45.97271000000006]}","Pianello di Sopra, Grigno, TN, Trentino",POINT
Pianello - Vallon,Grigno,Martincelli,"Grigno, TN","{'type': 'Point', 'coordinates': [11.631340000000023, 46.01538000000005]}","Pianello - Vallon, Grigno, TN, Trentino",POINT
Puele,Grigno,Puele,"Località Puele, 38055, Grigno, TN","{'type': 'Point', 'coordinates': [11.594378083914926, 46.02503780081261]}","Puele, Grigno, TN, Trentino",POINT
Tezze,Grigno,Tezze,"Tezze, Grigno, TN","{'type': 'Point', 'coordinates': [11.668310000000076, 45.991910000000075]}","Tezze, Grigno, TN, Trentino",POINT
Masi Ornè,Grigno,Tezze,"Masi Orné, Grigno, TN","{'type': 'Point', 'coordinates': [11.661160000000052, 45.994800000000055]}","Masi Ornè, Grigno, TN, Trentino",POINT
Laghetto,Grigno,Tezze,"Via Laghetto, 38055, Grigno, TN","{'type': 'Point', 'coordinates': [11.670479184780758, 45.99018309113917]}","Laghetto, Grigno, TN, Trentino",POINT
Borghetto,Grigno,Tezze,"Via Borghetto, 38055, Grigno, TN","{'type': 'Point', 'coordinates': [11.671990761001377, 45.98952820185707]}","Borghetto, Grigno, TN, Trentino",POINT
Valcoperta,Grigno,Valcoperta,"Grigno, TN","{'type': 'Point', 'coordinates': [11.631340000000023, 46.01538000000005]}","Valcoperta, Grigno, TN, Trentino",POINT
Albiano,Albiano,Albiano,"Albiano, TN","{'type': 'Point', 'coordinates': [11.193470000000048, 46.14470000000006]}","Albiano, Albiano, TN, Trentino",POINT
Zona cave,Albiano,Zona cave,"Albiano, TN","{'type': 'Point', 'coordinates': [11.193470000000048, 46.14470000000006]}","Zona cave, Albiano, TN, Trentino",POINT
Novaledo centro,Novaledo,Novaledo,"Novaledo, TN","{'type': 'Point', 'coordinates': [11.363720000000058, 46.02119000000005]}","Novaledo centro, Novaledo, TN, Trentino",POINT
Oltrebrenta,Novaledo,Novaledo,"Via Oltrebrenta, 38050, Novaledo, TN","{'type': 'Point', 'coordinates': [11.376276658650331, 46.0194158653828]}","Oltrebrenta, Novaledo, TN, Trentino",POINT
Malga Masi,Novaledo,Novaledo,"Novaledo, TN","{'type': 'Point', 'coordinates': [11.363720000000058, 46.02119000000005]}","Malga Masi, Novaledo, TN, Trentino",POINT
Malga Broi,Novaledo,Novaledo,"Novaledo, TN","{'type': 'Point', 'coordinates': [11.363720000000058, 46.02119000000005]}","Malga Broi, Novaledo, TN, Trentino",POINT
