alias_city,alias_address,aqueduct,urlPage,georeferencingString,type
Pergine Valsugana,Maso Braito,"Zava, Ischia, Assizzi Alta",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Braito, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Assizzi (alta),"Zava, Ischia, Assizzi Alta",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Assizzi (alta), Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Doss dei Masetti,"Zava, Ischia, Assizzi Alta",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Doss dei Masetti, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Castello di Pergine,"Zava, Ischia, Assizzi Alta",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Castello di Pergine, Pergine Valsugana, TN, Trentino",POINT
Levico Terme,Barco,Barco,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Barco, Levico Terme, TN, Trentino",POINT
Levico Terme,Campiello,Campiello,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Campiello, Levico Terme, TN, Trentino",POINT
Levico Terme,Levico Nord/Est - Selva - Gocciadoro - Valdrana,Levico Nord / Est - Selva,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Levico Nord/Est - Selva - Gocciadoro - Valdrana, Levico Terme, TN, Trentino",POINT
Levico Terme,Castagneto,Levico zona Castagneto,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Castagneto, Levico Terme, TN, Trentino",POINT
Levico Terme,San Biagio,Levico zona Castagneto,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"San Biagio, Levico Terme, TN, Trentino",POINT
Levico Terme,Quaere,Quaere,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Quaere, Levico Terme, TN, Trentino",POINT
Levico Terme,Santa Giuliana,Santa Giuliana,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Santa Giuliana, Levico Terme, TN, Trentino",POINT
Levico Terme,Levico Centro / Sud (Lido,Sorgente Fontanelle Levico Centro / Sud,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Levico Centro / Sud (Lido, Levico Terme, TN, Trentino",POINT
Levico Terme,Borba,Sorgente Fontanelle Levico Centro / Sud,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Borba, Levico Terme, TN, Trentino",POINT
Levico Terme,Somearo),Sorgente Fontanelle Levico Centro / Sud,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Somearo), Levico Terme, TN, Trentino",POINT
Levico Terme,Vetriolo,Vetriolo,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Vetriolo, Levico Terme, TN, Trentino",POINT
Levico Terme,Basson di Sopra - Basson di Sotto,Vezzena,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Basson di Sopra - Basson di Sotto, Levico Terme, TN, Trentino",POINT
Levico Terme,Vezzena,Vezzena,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/levico-terme,"Vezzena, Levico Terme, TN, Trentino",POINT
Caldonazzo,Caldonazzo,Caldonazzo,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/caldonazzo,"Caldonazzo, Caldonazzo, TN, Trentino",POINT
Caldonazzo,Brenta,Caldonazzo,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/caldonazzo,"Brenta, Caldonazzo, TN, Trentino",POINT
Caldonazzo,Lochere,Lochere,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/caldonazzo,"Lochere, Caldonazzo, TN, Trentino",POINT
Caldonazzo,Monterovere,Monterovere,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/caldonazzo,"Monterovere, Caldonazzo, TN, Trentino",POINT
Tenna,Tenna centro,Tenna,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/tenna,"Tenna centro, Tenna, TN, Trentino",POINT
Tenna,Maso Roveri,Tenna,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/tenna,"Maso Roveri, Tenna, TN, Trentino",POINT
Tenna,Alberè,Tenna,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/tenna,"Alberè, Tenna, TN, Trentino",POINT
Tenna,Valdagni,Tenna,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/tenna,"Valdagni, Tenna, TN, Trentino",POINT
Tenna,Serafini,Tenna,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/tenna,"Serafini, Tenna, TN, Trentino",POINT
Tenna,Feghini,Tenna,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/tenna,"Feghini, Tenna, TN, Trentino",POINT
Tenna,Campolongo,Tenna,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/tenna,"Campolongo, Tenna, TN, Trentino",POINT
Tenna,Terrazze,Tenna,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/tenna,"Terrazze, Tenna, TN, Trentino",POINT
Borgo Valsugana,Borgo Valsugana centro,Borgo Valsugana,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/borgo-valsugana,"Borgo Valsugana centro, Borgo Valsugana, TN, Trentino",POINT
Borgo Valsugana,Val di Sella,Borgo Valsugana,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/borgo-valsugana,"Val di Sella, Borgo Valsugana, TN, Trentino",POINT
Borgo Valsugana,Località Cave',Intercomunale Val Cave',https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/borgo-valsugana,"Località Cave', Borgo Valsugana, TN, Trentino",POINT
Borgo Valsugana,Località Prae,Loc.Prae,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/borgo-valsugana,"Località Prae, Borgo Valsugana, TN, Trentino",POINT
Borgo Valsugana,Malga Costa,Malga Costa,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/borgo-valsugana,"Malga Costa, Borgo Valsugana, TN, Trentino",POINT
Borgo Valsugana,Olle,Olle,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/borgo-valsugana,"Olle, Borgo Valsugana, TN, Trentino",POINT
Grigno,Barricata,Barricata,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Barricata, Grigno, TN, Trentino",POINT
Grigno,Grigno,Grigno,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Grigno, Grigno, TN, Trentino",POINT
Grigno,Selva,Grigno,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Selva, Grigno, TN, Trentino",POINT
Grigno,Palù,Grigno,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Palù, Grigno, TN, Trentino",POINT
Grigno,Martincelli,Martincelli,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Martincelli, Grigno, TN, Trentino",POINT
Grigno,Pianello di Sopra,Martincelli,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Pianello di Sopra, Grigno, TN, Trentino",POINT
Grigno,Pianello - Vallon,Martincelli,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Pianello - Vallon, Grigno, TN, Trentino",POINT
Grigno,Puele,Puele,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Puele, Grigno, TN, Trentino",POINT
Grigno,Tezze,Tezze,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Tezze, Grigno, TN, Trentino",POINT
Grigno,Masi Ornè,Tezze,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Masi Ornè, Grigno, TN, Trentino",POINT
Grigno,Laghetto,Tezze,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Laghetto, Grigno, TN, Trentino",POINT
Grigno,Borghetto,Tezze,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Borghetto, Grigno, TN, Trentino",POINT
Grigno,Valcoperta,Valcoperta,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/grigno,"Valcoperta, Grigno, TN, Trentino",POINT
Albiano,Albiano,Albiano,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/albiano,"Albiano, Albiano, TN, Trentino",POINT
Albiano,Zona cave,Zona cave,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/albiano,"Zona cave, Albiano, TN, Trentino",POINT
Novaledo,Novaledo centro,Novaledo,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/novaledo,"Novaledo centro, Novaledo, TN, Trentino",POINT
Novaledo,Oltrebrenta,Novaledo,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/novaledo,"Oltrebrenta, Novaledo, TN, Trentino",POINT
Novaledo,Malga Masi,Novaledo,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/novaledo,"Malga Masi, Novaledo, TN, Trentino",POINT
Novaledo,Malga Broi,Novaledo,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/novaledo,"Malga Broi, Novaledo, TN, Trentino",POINT
