alias_address,alias_address_value,alias_city,alias_province,geocode,geometry,georeferencingString,type
Tutte Le Zone,94,ZIANO PIACENTINO,PC,"Ziano Piacentino, PC","{'type': 'Point', 'coordinates': [9.405280000000062, 45.00348000000008]}",", ZIANO PIACENTINO, PC, Emilia Romagna",POINT
Albinea Tutte Le Altre Zone,174,ALBINEA,RE,"Albinea, RE","{'type': 'Point', 'coordinates': [10.606020000000058, 44.628040000000055]}","Albinea Tutte Le Altre Zone, ALBINEA, RE, Emilia Romagna",POINT
"Capriolo, Caselline, La Razza",380,ALBINEA,RE,"Caselline, Albinea, RE","{'type': 'Point', 'coordinates': [10.606050000000039, 44.63623000000007]}","Capriolo, Caselline, La Razza, ALBINEA, RE, Emilia Romagna",POINT
Bagnolo In Piano,176,BAGNOLO IN PIANO,RE,"Bagnolo in Piano, RE","{'type': 'Point', 'coordinates': [10.67408000000006, 44.763280000000066]}","Bagnolo In Piano, BAGNOLO IN PIANO, RE, Emilia Romagna",POINT
Baiso,177,BAISO,RE,"Baiso, RE","{'type': 'Point', 'coordinates': [10.60265000000004, 44.49738000000008]}","Baiso, BAISO, RE, Emilia Romagna",POINT
Piazzola,178,BIBBIANO,RE,"Piazzola, Bibbiano, RE","{'type': 'Point', 'coordinates': [10.448820000000069, 44.64294000000007]}","Piazzola, BIBBIANO, RE, Emilia Romagna",POINT
Ghiardo E Zona Industriale,179,BIBBIANO,RE,Zona Industriale Ghiardo,"{'type': 'Point', 'coordinates': [10.504030000000057, 44.66792000000004]}","Ghiardo E Zona Industriale, BIBBIANO, RE, Emilia Romagna",POINT
Bibbiano Centro,180,BIBBIANO,RE,"Bibbiano, RE","{'type': 'Point', 'coordinates': [10.473190000000045, 44.66378000000003]}","Bibbiano Centro, BIBBIANO, RE, Emilia Romagna",POINT
Corniano,181,BIBBIANO,RE,"Corniano, Bibbiano, RE","{'type': 'Point', 'coordinates': [10.458260000000053, 44.65198000000004]}","Corniano, BIBBIANO, RE, Emilia Romagna",POINT
Fossa Di Barco,182,BIBBIANO,RE,"Barco, Bibbiano, RE","{'type': 'Point', 'coordinates': [10.49374000000006, 44.68874000000005]}","Fossa Di Barco, BIBBIANO, RE, Emilia Romagna",POINT
Barco E Zona Ind. Barco,183,BIBBIANO,RE,"Barco, Bibbiano, RE","{'type': 'Point', 'coordinates': [10.49374000000006, 44.68874000000005]}","Barco E Zona Ind. Barco, BIBBIANO, RE, Emilia Romagna",POINT
Boretto,184,BORETTO,RE,"Boretto, RE","{'type': 'Point', 'coordinates': [10.553050000000042, 44.90500000000003]}","Boretto, BORETTO, RE, Emilia Romagna",POINT
Brescello,185,BRESCELLO,RE,"Brescello, RE","{'type': 'Point', 'coordinates': [10.514180000000067, 44.89691000000005]}","Brescello, BRESCELLO, RE, Emilia Romagna",POINT
"Campeggio, Tavernetta E Hotel Ilton",187,BUSANA,RE,"Busana, Ventasso, RE","{'type': 'Point', 'coordinates': [10.319260000000043, 44.36949000000004]}","Campeggio, Tavernetta E Hotel Ilton, BUSANA, RE, Emilia Romagna",POINT
"Cervarezza, Frassinedolo, C&Agrave; De Ferrari, Casale Di Talada",188,BUSANA,RE,"Busana, Ventasso, RE","{'type': 'Point', 'coordinates': [10.319260000000043, 44.36949000000004]}","Cervarezza, Frassinedolo, C&Agrave; De Ferrari, Casale Di Talada, BUSANA, RE, Emilia Romagna",POINT
Cadelbosco Sopra,189,CADELBOSCO DI SOPRA,RE,"Cadelbosco di Sopra, RE","{'type': 'Point', 'coordinates': [10.596480000000042, 44.763090000000034]}","Cadelbosco Sanpra, CADELBOSCO DI SOPRA, RE, Emilia Romagna",POINT
Campagnola Emilia,190,CAMPAGNOLA EMILIA,RE,"Campagnola Emilia, RE","{'type': 'Point', 'coordinates': [10.75941000000006, 44.84104000000008]}","Campagnola Emilia, CAMPAGNOLA EMILIA, RE, Emilia Romagna",POINT
Campegine,191,CAMPEGINE,RE,"Campegine, RE","{'type': 'Point', 'coordinates': [10.530610000000024, 44.785420000000045]}","Campegine, CAMPEGINE, RE, Emilia Romagna",POINT
Carbonizzo,192,CANOSSA,RE,"Carbonizzo, Canossa, RE","{'type': 'Point', 'coordinates': [10.407080000000065, 44.604430000000036]}","Carbonizzo, CANOSSA, RE, Emilia Romagna",POINT
Cerezzola,193,CANOSSA,RE,"Cerezzola, Canossa, RE","{'type': 'Point', 'coordinates': [10.40632000000005, 44.57217000000003]}","Cerezzola, CANOSSA, RE, Emilia Romagna",POINT
Ciano D'Enza,194,CANOSSA,RE,"Ciano d'Enza, Canossa, RE","{'type': 'Point', 'coordinates': [10.41226000000006, 44.59989000000007]}","Ciano D'Enza, CANOSSA, RE, Emilia Romagna",POINT
Vico,195,CANOSSA,RE,"Via Vico, 42026, Canossa, RE","{'type': 'Point', 'coordinates': [10.413896497344252, 44.59979211555304]}","Vico, CANOSSA, RE, Emilia Romagna",POINT
Canossa Tutte Le Altre Zone,196,CANOSSA,RE,"Canossa, RE","{'type': 'Point', 'coordinates': [10.41226000000006, 44.59989000000007]}","Canossa Tutte Le Altre Zone, CANOSSA, RE, Emilia Romagna",POINT
Carpineti,197,CARPINETI,RE,"Carpineti, RE","{'type': 'Point', 'coordinates': [10.52096000000006, 44.45515000000006]}","Carpineti, CARPINETI, RE, Emilia Romagna",POINT
S. Donnino,198,CASALGRANDE,RE,"San Donnino di Liguria, Casalgrande, RE","{'type': 'Point', 'coordinates': [10.748710000000074, 44.625920000000065]}","San Donnino, CASALGRANDE, RE, Emilia Romagna",POINT
Casalgrande Tutte Le Altre Zone,199,CASALGRANDE,RE,"Casalgrande, RE","{'type': 'Point', 'coordinates': [10.731550000000027, 44.58037000000007]}","Casalgrande Tutte Le Altre Zone, CASALGRANDE, RE, Emilia Romagna",POINT
Via Statuaria Dal Rio Riazzone A Piazza Spinelli,401,CASALGRANDE,RE,"Casalgrande, RE","{'type': 'Point', 'coordinates': [10.731550000000027, 44.58037000000007]}","Via Sanatuaria Dal Rio Riazzone A Piazza Saninelli, CASALGRANDE, RE, Emilia Romagna",POINT
Casina,200,CASINA,RE,"Casina, RE","{'type': 'Point', 'coordinates': [10.500610000000052, 44.51141000000007]}","Casina, CASINA, RE, Emilia Romagna",POINT
Roteglia,201,CASTELLARANO,RE,"Roteglia, Castellarano, RE","{'type': 'Point', 'coordinates': [10.687400000000025, 44.48618000000005]}","Roteglia, CASTELLARANO, RE, Emilia Romagna",POINT
Castellarano Tutte Le Altre Zone,202,CASTELLARANO,RE,"Castellarano, RE","{'type': 'Point', 'coordinates': [10.736920000000055, 44.519670000000076]}","Castellarano Tutte Le Altre Zone, CASTELLARANO, RE, Emilia Romagna",POINT
Castelnovo Sotto,204,CASTELNOVO DI SOTTO,RE,"Castelnovo di Sotto, RE","{'type': 'Point', 'coordinates': [10.565570000000037, 44.809480000000065]}","Castelnovo Santto, CASTELNOVO DI SOTTO, RE, Emilia Romagna",POINT
Castelnovo Ne' Monti,203,CASTELNOVO NE' MONTI,RE,"Castelnovo Ne' Monti, RE","{'type': 'Point', 'coordinates': [10.406540000000064, 44.43401000000006]}","Castelnovo Ne' Monti, CASTELNOVO NE' MONTI, RE, Emilia Romagna",POINT
Corte Tegge,205,CAVRIAGO,RE,"Corte Tegge, Cavriago, RE","{'type': 'Point', 'coordinates': [10.556120000000021, 44.71448000000004]}","Corte Tegge, CAVRIAGO, RE, Emilia Romagna",POINT
Zona Ind. Corte Tegge,206,CAVRIAGO,RE,"Corte Tegge, Cavriago, RE","{'type': 'Point', 'coordinates': [10.556120000000021, 44.71448000000004]}","Zona Ind. Corte Tegge, CAVRIAGO, RE, Emilia Romagna",POINT
Cavriago Tutte Le Altre Zone,207,CAVRIAGO,RE,"Cavriago, RE","{'type': 'Point', 'coordinates': [10.524890000000028, 44.69382000000007]}","Cavriago Tutte Le Altre Zone, CAVRIAGO, RE, Emilia Romagna",POINT
Cerreto Alpi,208,COLLAGNA,RE,"Collagna, Ventasso, RE","{'type': 'Point', 'coordinates': [10.275480000000073, 44.347410000000025]}","Cerreto Alpi, COLLAGNA, RE, Emilia Romagna",POINT
Cerreto Lago,209,COLLAGNA,RE,"Collagna, Ventasso, RE","{'type': 'Point', 'coordinates': [10.275480000000073, 44.347410000000025]}","Cerreto Lago, COLLAGNA, RE, Emilia Romagna",POINT
Cerreto Passo,210,COLLAGNA,RE,"Collagna, Ventasso, RE","{'type': 'Point', 'coordinates': [10.275480000000073, 44.347410000000025]}","Cerreto Passo, COLLAGNA, RE, Emilia Romagna",POINT
Collagna Centro,211,COLLAGNA,RE,"Collagna, Ventasso, RE","{'type': 'Point', 'coordinates': [10.275480000000073, 44.347410000000025]}","Collagna Centro, COLLAGNA, RE, Emilia Romagna",POINT
Oratorio,212,COLLAGNA,RE,"Collagna, Ventasso, RE","{'type': 'Point', 'coordinates': [10.275480000000073, 44.347410000000025]}","Oratorio, COLLAGNA, RE, Emilia Romagna",POINT
Ponte Del Barone,213,COLLAGNA,RE,"Collagna, Ventasso, RE","{'type': 'Point', 'coordinates': [10.275480000000073, 44.347410000000025]}","Ponte Del Barone, COLLAGNA, RE, Emilia Romagna",POINT
Valbona,214,COLLAGNA,RE,"Via Valbona, 42032, Ventasso, RE","{'type': 'Point', 'coordinates': [10.265199059328786, 44.34856622074977]}","Valbona, COLLAGNA, RE, Emilia Romagna",POINT
Vallisnera Di Sopra,215,COLLAGNA,RE,"Vallisnera, Ventasso, RE","{'type': 'Point', 'coordinates': [10.269400000000076, 44.36101000000008]}","Vallisnera Di Sanpra, COLLAGNA, RE, Emilia Romagna",POINT
Vallisnera Di Sotto,216,COLLAGNA,RE,"Vallisnera, Ventasso, RE","{'type': 'Point', 'coordinates': [10.269400000000076, 44.36101000000008]}","Vallisnera Di Santto, COLLAGNA, RE, Emilia Romagna",POINT
Cavallerina,217,CORREGGIO,RE,"Correggio, RE","{'type': 'Point', 'coordinates': [10.782750000000021, 44.770440000000065]}","Cavallerina, CORREGGIO, RE, Emilia Romagna",POINT
Colombarone,218,CORREGGIO,RE,"Correggio, RE","{'type': 'Point', 'coordinates': [10.782750000000021, 44.770440000000065]}","Colombarone, CORREGGIO, RE, Emilia Romagna",POINT
Correggio Centro,219,CORREGGIO,RE,"Correggio, RE","{'type': 'Point', 'coordinates': [10.782750000000021, 44.770440000000065]}","Correggio Centro, CORREGGIO, RE, Emilia Romagna",POINT
Ponte Dell'Agrato,220,CORREGGIO,RE,"Via Agrato, 42015, Correggio, RE","{'type': 'Point', 'coordinates': [10.743245192911248, 44.71081989626859]}","Ponte Dell'Agrato, CORREGGIO, RE, Emilia Romagna",POINT
Prato,221,CORREGGIO,RE,"Prato, Correggio, RE","{'type': 'Point', 'coordinates': [10.74777000000006, 44.71705000000003]}","Prato, CORREGGIO, RE, Emilia Romagna",POINT
S. Biagio,222,CORREGGIO,RE,"San Biagio, Correggio, RE","{'type': 'Point', 'coordinates': [10.789320000000032, 44.74834000000004]}","San Biagio, CORREGGIO, RE, Emilia Romagna",POINT
Viazza,223,CORREGGIO,RE,"Correggio, RE","{'type': 'Point', 'coordinates': [10.782750000000021, 44.770440000000065]}","Viazza, CORREGGIO, RE, Emilia Romagna",POINT
Villaggio Artigiano,224,CORREGGIO,RE,"Villaggio Artigiano, Poviglio, RE","{'type': 'Point', 'coordinates': [10.508150000000057, 44.845060000000046]}","Villaggio Artigiano, CORREGGIO, RE, Emilia Romagna",POINT
Zona Industriale Correggio,225,CORREGGIO,RE,Zona Industriale Correggio Sud,"{'type': 'Point', 'coordinates': [10.786110000000065, 44.76045000000005]}","Zona Industriale Correggio, CORREGGIO, RE, Emilia Romagna",POINT
