alias_province,alias_city,alias_address,alias_address_value,georeferencingString,type
RE,CORREGGIO,Fazzano Fino Ai Civ 30 E 63 Di Via Fazzano,378,"Fazzano Fino Ai Civ 30 E 63 Di Via Fazzano, CORREGGIO, RE, Emilia Romagna",POINT
RE,CORREGGIO,Prato Zona Industriale,379,"Prato Zona Industriale, CORREGGIO, RE, Emilia Romagna",POINT
RE,CORREGGIO,Bernolda,381,"Bernolda, CORREGGIO, RE, Emilia Romagna",POINT
RE,CORREGGIO,Budrio,382,"Budrio, CORREGGIO, RE, Emilia Romagna",POINT
RE,CORREGGIO,Canolo,383,"Canolo, CORREGGIO, RE, Emilia Romagna",POINT
RE,CORREGGIO,Fosdondo,384,"Fosdondo, CORREGGIO, RE, Emilia Romagna",POINT
RE,CORREGGIO,Giardino,385,"Giardino, CORREGGIO, RE, Emilia Romagna",POINT
RE,CORREGGIO,Mandrio,386,"Mandrio, CORREGGIO, RE, Emilia Romagna",POINT
RE,CORREGGIO,Mandriolo,387,"Mandriolo, CORREGGIO, RE, Emilia Romagna",POINT
RE,FABBRICO,Tutte Le Zone,372,", FABBRICO, RE, Emilia Romagna",POINT
RE,GATTATICO,Zone A Nord Dell'Autostrada,227,"Zone A Nord Dell'Autostrada, GATTATICO, RE, Emilia Romagna",POINT
RE,GATTATICO,Zone A Sud Dell'Autostrada,228,"Zone A Sand Dell'Autostrada, GATTATICO, RE, Emilia Romagna",POINT
RE,GUALTIERI,Gualtieri E Tutte Le Altre Zone,229,"Gualtieri , GUALTIERI, RE, Emilia Romagna",POINT
RE,GUALTIERI,Santa Vittoria E Zona Industriale Di Gualtieri,373,"Sannta Vittoria E Zona Industriale Di Gualtieri, GUALTIERI, RE, Emilia Romagna",POINT
RE,GUASTALLA,Baccanello,230,"Baccanello, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,CÀ De Frati (S. Giacomo),231,"CÀ De Frati (San Giacomo), GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Carrobioli,232,"Carrobioli, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Case Fangaia (S. Giacomo),233,"Case Fangaia (San Giacomo), GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Cerchietto (S. Martino),234,"Cerchietto (San Martino), GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Guastalla Centro,235,"Guastalla Centro, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,La Madonnina,236,"La Madonnina, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Nizzola,237,"Nizzola, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,S. Giacomo E Zona Industriale Di S.Giacomo,238,"San Giacomo E Zona Industriale Di SanGiacomo, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,S. Giorgio,240,"San Giorgio, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,S. Girolamo,241,"San Girolamo, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,S. Martino,242,"San Martino, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,S. Rocco,243,"San Rocco, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Solarolo,244,"Sanlarolo, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Tagliata,245,"Tagliata, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Villa Pieve,246,"Villa Pieve, GUASTALLA, RE, Emilia Romagna",POINT
RE,GUASTALLA,Zone A Sud Del Cavo BPM,247,"Zone A Sand Del Cavo BPM, GUASTALLA, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Bracchi,248,"Bracchi, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Campo,249,"Campo, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Caprile,250,"Caprile, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Casalino,251,"Casalino, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Casenove,252,"Casenove, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Cinquecerri,253,"Cinquecerri, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Costa Di Piolo,254,"Costa Di Piolo, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Giarola,255,"Giarola, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Le Vaglie,256,"Le Vaglie, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Ligonchio Centro,257,"Ligonchio Centro, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Loggia,258,"Loggia, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Montecagno,259,"Montecagno, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Ospitaletto,260,"Ospitaletto, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Piazza Di Piolo,261,"Piazza Di Piolo, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LIGONCHIO,Piolo,262,"Piolo, LIGONCHIO, RE, Emilia Romagna",POINT
RE,LUZZARA,Luzzara,263,"Luzzara, LUZZARA, RE, Emilia Romagna",POINT
RE,MONTECCHIO EMILIA,Montecchio Emilia,264,"Montecchio Emilia, MONTECCHIO EMILIA, RE, Emilia Romagna",POINT
RE,MONTECCHIO EMILIA,"Zone A Sud Di Via A.Grandi E Via L.Landini, Comprese Vie Montale, Quasimodo E Battisti",389,"Zone A Sand Di Via A.Grandi E Via L.Landini, Comprese Vie Montale, Quasimodo E Battisti, MONTECCHIO EMILIA, RE, Emilia Romagna",POINT
RE,NOVELLARA,Novellara,265,"Novellara, NOVELLARA, RE, Emilia Romagna",POINT
RE,POVIGLIO,Poviglio,266,"Poviglio, POVIGLIO, RE, Emilia Romagna",POINT
RE,QUATTRO CASTELLA,"Bedogno, Bergonzano, Calinzano, Casa Valle, La Valle E Puianello (Nella Zona Compresa Fra L&#39;Incrocio Con Via Napoli E Il Confim&Igrave;Ne Con Il Comune Di Vezzano)",267,"Bedogno, Bergonzano, Calinzano, Casa Valle, La Valle E Puianello (Nella Zona Compresa Fra L&#39;Incrocio Con Via Napoli E Il Confim&Igrave;Ne Con Il Comune Di Vezzano), QUATTRO CASTELLA, RE, Emilia Romagna",POINT
RE,QUATTRO CASTELLA,Tutte Le Altre Zone,271,"Tutte Le Altre Zone, QUATTRO CASTELLA, RE, Emilia Romagna",POINT
RE,QUATTRO CASTELLA,Fornaci Di Quattro Castella,370,"Fornaci Di Quattro Castella, QUATTRO CASTELLA, RE, Emilia Romagna",POINT
RE,QUATTRO CASTELLA,Quattro Castella Capoluogo (Zona Nord),371,"Quattro Castella Capoluogo (Zona Nord), QUATTRO CASTELLA, RE, Emilia Romagna",POINT
RE,QUATTRO CASTELLA,Selvarola,390,"Sanlvarola, QUATTRO CASTELLA, RE, Emilia Romagna",POINT
RE,QUATTRO CASTELLA,Puianello Zone Rimaneneti,402,"Puianello Zone Rimaneneti, QUATTRO CASTELLA, RE, Emilia Romagna",POINT
RE,RAMISETO,Camporella,272,"Camporella, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Canova,273,"Canova, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Casalobbio,274,"Casalobbio, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Castagneto,275,"Castagneto, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Cecciola,276,"Cecciola, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Cerreggio,277,"Cerreggio, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,La Costa Ramiseto,278,"La Costa Ramiseto, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Le Teggie,279,"Le Teggie, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Lugolo,280,"Lugolo, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Montedello,281,"Montedello, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Nigone,282,"Nigone, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Ramiseto Centro,284,"Ramiseto Centro, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Storlo,285,"Sanorlo, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Succiso,286,"Sancciso, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Taviano,287,"Taviano, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Temporia,288,"Temporia, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Varvilla,289,"Varvilla, RAMISETO, RE, Emilia Romagna",POINT
RE,RAMISETO,Ventasso Laghi,290,"Ventasso Laghi, RAMISETO, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Reggio Emilia - Centro,97,"Reggio Emilia - Centro, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Bagno,102,"Bagno, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Baragalla,106,"Baragalla, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Bazzarola,107,"Bazzarola, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Buco Del Signore,108,"Buco Del Sangnore, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Buda (Modolena),109,"Buda (Modolena), REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,CadÈ,110,"CadÈ, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Calvetro (Masone),111,"Calvetro (Masone), REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Campo Gelsi (Massenzatico),112,"Campo Gelsi (Massenzatico), REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Canali,113,"Canali, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Casale Di Rivalta,114,"Casale Di Rivalta, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Castellazzo,117,"Castellazzo, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Castello Di Pratofontana,118,"Castello Di Pratofontana, REGGIO EMILIA, RE, Emilia Romagna",POINT
