alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
VIA BELVEDERE,Bulciago,0.0,5.81,92.48,31.78,,3.31,200.3,13/04/2020,10.21,0.0,0.1,5.52,0.0,2.95,0.01,8.6,1.16,154.23,2.86,27.19
VIA S. ROCCO,Calco,0.0,3.94,94.67,33.75,0.03,4.01,214.8,13/04/2020,11.0,41.7,0.09,6.22,0.0,3.42,0.0,8.36,1.17,165.4,3.3,26.7
C.SO DANTE,Calolziocorte,0.0,1.79,249.12,60.54,0.1,5.67,392.9,13/04/2020,22.1,0.0,0.1,16.95,0.0,11.9,0.0,7.83,1.01,282.89,6.21,16.79
FRAZIONE PERTUSINO,Carenno,0.0,7.3,194.0,73.16,0.25,4.52,400.0,13/04/2020,23.46,0.0,0.05,12.59,0.0,11.89,0.0,7.83,0.6,285.0,2.41,8.33
LOC. CHIARELLI,Casargo,0.0,2.94,31.96,6.61,0.02,2.02,60.3,13/04/2020,2.31,123.45,0.08,1.61,10.02,3.53,0.0,7.62,0.71,38.59,3.33,4.88
VIA PRIV. BELLE VILLE,Casatenovo,0.0,1.39,186.66,56.81,0.06,8.0,358.1,13/04/2020,19.35,15.27,0.07,12.53,0.0,23.26,0.0,7.46,1.08,257.83,4.34,21.59
P.ZA CANTELLO,Cassina Valsassina,0.0,0.0,200.81,34.36,0.06,1.29,273.0,13/04/2020,16.87,0.0,0.04,20.15,0.0,6.85,0.0,7.79,0.21,210.21,0.86,4.68
VIA ROMA,Castello Brianza,0.0,5.81,92.48,31.78,,3.31,200.3,13/04/2020,10.21,0.0,0.1,5.52,0.0,2.95,0.01,8.6,1.16,154.23,2.86,27.19
L.TA' ANDEGARDO,Cernusco Lombardone,0.0,0.0,355.75,96.06,0.0,14.12,590.1,13/04/2020,33.55,0.0,0.09,23.2,0.0,23.86,0.0,7.45,1.65,424.87,9.01,25.31
VIA A. MORO,Cesana Brianza,0.0,4.38,196.42,57.93,0.03,6.68,363.4,13/04/2020,18.78,0.0,0.14,10.44,0.0,4.55,0.0,7.77,1.59,261.65,12.7,43.09
VIA FIUME,Civate,0.0,0.0,306.95,58.76,0.12,1.31,441.8,13/04/2020,26.42,0.0,0.08,28.53,0.0,6.39,0.0,7.83,0.3,318.1,0.96,10.98
L.GO S. GIORGIO,Colico,0.0,1.93,19.52,6.41,0.1,0.7,67.5,13/04/2020,2.32,0.0,0.14,1.75,0.0,4.43,0.0,6.72,2.0,43.2,2.46,14.61
VIA LECCO,Colle Brianza,0.0,2.57,160.06,46.35,0.04,3.55,279.9,13/04/2020,15.18,13.52,0.1,8.73,0.0,5.14,0.0,7.91,1.09,215.52,2.86,20.65
LARGO DE' VECCHI,Cortenova,0.0,0.0,158.11,32.11,,0.82,236.2,13/04/2020,13.91,0.0,0.03,14.32,0.0,5.33,0.0,8.02,0.15,181.87,0.54,6.46
PZA GIUSEPPE COLOMBO,Costa Masnaga,0.0,3.5,346.24,83.82,0.03,15.41,613.8,13/04/2020,33.84,0.0,0.09,31.35,0.0,24.22,0.0,7.55,1.68,441.94,12.13,35.85
P.ZA FONTANA,Crandola Valsassina,0.0,1.1,163.24,24.27,0.08,0.79,235.1,13/04/2020,13.71,0.0,0.06,18.6,0.0,3.1,0.0,8.12,0.47,181.03,0.67,4.92
GIOVINEZZA,Cremella,0.0,5.81,92.48,31.78,,3.31,200.3,13/04/2020,10.21,0.0,0.1,5.52,0.0,2.95,0.01,8.6,1.16,154.23,2.86,27.19
CASALE ALLA PIAZZA,Cremeno,0.0,0.0,168.85,36.54,,1.1,257.8,13/04/2020,15.11,20.75,0.04,14.54,0.0,6.21,0.01,8.37,0.17,198.51,0.91,6.52
FRAZ. CASTELLO,Dervio,0.0,1.62,56.36,15.61,0.04,3.69,148.3,13/04/2020,6.23,0.0,0.07,5.66,0.0,11.38,0.0,6.94,2.66,94.91,5.38,18.38
CASCINA GORLA,Dolzago,0.0,0.0,279.87,69.46,0.0,11.49,459.7,13/04/2020,24.5,0.0,0.11,17.36,0.0,12.53,0.0,7.62,1.64,330.98,8.03,14.49
FRAZIONE TORCHIEDO,Dorio,0.0,12.3,28.79,9.52,0.04,1.36,96.5,13/04/2020,3.63,0.0,0.09,3.04,0.0,4.28,0.0,7.2,3.51,61.76,3.73,21.92
