alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
VIA CA' FRANCOSCIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA FUCINI R.,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA S. GIOVANNI BOSCO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA S. FILIPPO NERI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MAZZUCCONI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA BOIARDO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA ARRIGONI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA FRITSCH,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA S. MARTINO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
C.SO S. MICHELE DEL CARSO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MALAVEDO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DELLA ROGGIA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CREDEE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DEI MILLE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PRIMO MAGGIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DONEGA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA FALCK,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
P.ZA S.ANTONIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CAMPANELLA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CROCETTA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA BOLIS,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
