alias_address,alias_city,geocode,geometry,georeferencingString,type
C-Pavia via Montebello della Battaglia,PAVIA,"Montebello della Battaglia, Pavia","{'type': 'Point', 'coordinates': [9.10343000000006, 44.998950000000036]}","C-Pavia via Montebello della Battaglia, PV",POINT
C-Pavia via dei Mille PO0181109UIM09,PAVIA,"Via dei Mille 9, 27018, Vidigulfo, Pavia","{'type': 'Point', 'coordinates': [9.237325296958954, 45.29623406771888]}","C-Pavia via dei Mille PO0181109UIM09, PV",POINT
PIETRA DE’ GIORGI,PIETRA DE’ GIORGI,"Pietra de' Giorgi, PV","{'type': 'Point', 'coordinates': [9.230150000000037, 45.02072000000004]}","PIETRA DE’ GIORGI, PV",POINT
PIEVE ALBIGNOLA,PIEVE ALBIGNOLA,"Pieve Albignola, PV","{'type': 'Point', 'coordinates': [8.959560000000067, 45.11218000000008]}","PIEVE ALBIGNOLA, PV",POINT
PIEVE DEL CAIRO,PIEVE DEL CAIRO,"Pieve del Cairo, PV","{'type': 'Point', 'coordinates': [8.80373000000003, 45.05012000000005]}","PIEVE DEL CAIRO, PV",POINT
PIEVE PORTO MORONE,PIEVE PORTO MORONE,"Pieve Porto Morone, PV","{'type': 'Point', 'coordinates': [9.436680000000024, 45.11031000000003]}","PIEVE PORTO MORONE, PV",POINT
PINAROLO,PINAROLO PO,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
PIZZALE,PIZZALE,"Pizzale, PV","{'type': 'Point', 'coordinates': [9.047700000000077, 45.03553000000005]}","PIZZALE, PV",POINT
PONTENIZZA,PONTENIZZA,"Ponte Nizza, PV","{'type': 'Point', 'coordinates': [9.097010000000068, 44.851830000000064]}","PONTENIZZA, PV",POINT
PORTALBERA,PORTALBERA,"Portalbera, PV","{'type': 'Point', 'coordinates': [9.320630000000051, 45.10071000000005]}","PORTALBERA, PV",POINT
