alias_address,alias_city,ammoniaca,arsenico,calcio,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
C-Gravellona Lomellina - Via Marx -,GRAVELLONA LOMELLINA,<0.1,3.3,51,4,358,<0.2,03/02/2020,18,2,0.10,13.4,0,<1,<0.05,7.6,1.9,222,7,39
C-Gravellona Lomellina - via XX Settembre -,GRAVELLONA LOMELLINA,<0.1,0.9,25,1,188,<0.2,03/02/2020,9,14,0.09,7.2,0,<1,<0.05,7.8,0.91,117,8,8
C-Langosco - Via Garibaldi / v.lo Gambarana -,LANGOSCO,<0.1,0.6,74,10,469,0.2,03/02/2020,24,3,0.10,13.8,<0.1,<1,<0.05,7.4,1.6,291,8,40
C-Linarolo,LINAROLO,<0.1,7.7,29,3,251,<0.2,27/01/2020,10,1,0.08,6.2,1,<1,<0.05,7.9,0.80,156,19,<1
C-Lomello Piazza Castello - PO0180839UIM02,LOMELLO,<0.1,0.6,39,2,265,<0.2,13/01/2020,12,14.2,0.16,6.7,1.2,<1,<0.05,7.5,1.0,164,11,<1
C-Marcignago,MARCIGNAGO,<0.1,0.3,54,2,357,<0.2,27/01/2020,18,34,0.12,10.6,2,<1,<0.05,7.8,1.5,221,7,14
MEDE,MEDE,<0.1,0.5,86,13,529,0.9,03/02/2020,27,1,0.11,13.3,0,5,<0.05,7.8,1.3,328,11,36
C-Mede - Frazione Tortorolo,MEDE,<0.1,0.5,86,13,529,0.9,03/02/2020,27,1,0.12,13.4,0,5,<0.05,7.6,1.3,328,11,36
C-Mezzana Bigli v.lo Protti - PO0180909UIM04,MEZZANA BIGLI,<0.1,<0.1,49,2,311,<0.2,13/01/2020,16,9.6,0.16,8.9,0.5,<1,<0.05,7.5,1.1,193,7,5
C-Mezzana Bigli via Chiesa in Balossa Bigli -,MEZZANA BIGLI,<0.1,0.5,30,4,241,<0.2,13/01/2020,10,10.4,0.14,5.5,34.7,<1,<0.05,7.4,0.62,150,16,<1
