alias_city,alias_address,georeferencingString,type
TORRAZZA COSTE,TORRAZZA COSTE,"TORRAZZA COSTE, PV",POINT
TORRE BERETTI,TORRE BERETTI,"TORRE BERETTI, PV",POINT
TORRE DE’ NEGRI,C-Belgioioso,"C-Belgioioso, PV",POINT
TORRE D’ARESE,TORRE D’ARESE,"TORRE D’ARESE, PV",POINT
TORRE D’ISOLA,TORRE D’ISOLA,"TORRE D’ISOLA, PV",POINT
TORREVECCHIA PIA,TORREVECCHIA PIA,"TORREVECCHIA PIA, PV",POINT
TORRICELLA VERZATE,TORRICELLA VERZATE,"TORRICELLA VERZATE, PV",POINT
TRAVACO’ SICCOMARIO,TRAVACO’ SICCOMARIO,"TRAVACO’ SICCOMARIO, PV",POINT
TRIVOLZIO,TRIVOLZIO,"TRIVOLZIO, PV",POINT
TROMELLO,TROMELLO,"TROMELLO, PV",POINT
TROVO,TROVO,"TROVO, PV",POINT
VAL DI NIZZA,VAL DI NIZZA,"VAL DI NIZZA, PV",POINT
VALEGGIO,VALEGGIO,"VALEGGIO, PV",POINT
VALLE LOMELLINA,VALLE LOMELLINA,"VALLE LOMELLINA, PV",POINT
VALLE SALIMBENE,C-Valle Salimbene,"C-Valle Salimbene, PV",POINT
VALVERDE,VALVERDE,"VALVERDE, PV",POINT
VARZI,VARZI,"VARZI, PV",POINT
VELEZZO LOMELLINA,C-Velezzo Lomellina - via Roma -,"C-Velezzo Lomellina - via Roma -, PV",POINT
VELLEZZO BELLINI,"C-Vellezzo Bellini - Via Cesare Battisti, 24 -","C-Vellezzo Bellini - Via Cesare Battisti, 24 -, PV",POINT
VERRETTO,C-Verretto,"C-Verretto, PV",POINT
VERRUA PO,VERRUA PO,"VERRUA PO, PV",POINT
VIDIGULFO,C-Vidigulfo,"C-Vidigulfo, PV",POINT
VIGEVANO,VIGEVANO,"VIGEVANO, PV",POINT
VILLA BISCOSSI,VILLA BISCOSSI,"VILLA BISCOSSI, PV",POINT
VILLANOVA D’ARDENGHI,C-Villanova d'Ardenghi,"C-Villanova d'Ardenghi, PV",POINT
VILLANTERIO,VILLANTERIO,"VILLANTERIO, PV",POINT
VISTARINO,VISTARINO,"VISTARINO, PV",POINT
VOGHERA,VOGHERA,"VOGHERA, PV",POINT
VOLPARA,VOLPARA,"VOLPARA, PV",POINT
ZECCONE,"C-Zeccone - Via Italia, 25 - RE0181859U0015","C-Zeccone - Via Italia, 25 - RE0181859U0015, PV",POINT
ZEME,ZEME,"ZEME, PV",POINT
ZENEVREDO,ZENEVREDO,"ZENEVREDO, PV",POINT
ZERBO,ZERBO,"ZERBO, PV",POINT
ZERBOLO’,C-Zerbolò,"C-Zerbolò, PV",POINT
ZERBOLO’,"C-Zerbolò - Via Borgo San Siro, 112 -","C-Zerbolò - Via Borgo San Siro, 112 -, PV",POINT
ZINASCO,ZINASCO,"ZINASCO, PV",POINT
