Data prelievo / Entnahme Datum ,Codice Comune / Gemeindekodex,Comune / Gemeinde,Codice acquedotto / Kodex TWL,Denominazione acquedotto / TWL Benennung,Codice punto di prel. / Kodex Entnahmepunkt,Punto di prelievo / Entnahmepunkt,Conduc. Elettr. Spec.µS/cm,pH,Durezza totale F°,Durezza totale °D,Alcalinità CO3 mg/L,Alcalinità HCO3 mg/L,Ossidabilità O2 mg/L,Ammonio NH4 mg/L,Nitriti NO2 mg/L,Fluoruri mg/L,Cloruri mg/L,Nitrati NO3 mg/L,Solfati mg/L,Sodiomg/L,Boro µg/L,Alluminio µg/L,Cromo µg/L,Selenio µg/L,Vanadio µg/L,Rame mg/L,Nichel µg/L,Zinco µg/L,Arsenico µg/L,Antimonio µg/L,Cadmioµg/L,Piomboµg/L,Uranio µg/L,Ferro µg/L,Manganese µg/L,Mercurio µg/L,Idrocarburi policiclici aromatici µg/L,Benzo(a)pirene µg/L,Benzene µg/L,"1,2-Dicloroetano µg/L",Tricloroetilene (Trielina)µg/L,Tetracloroetileneµg/L,Trialometani µg/L,Cloroformioµg/L,Bromoformioµg/L,Dibromoclorometanoµg/L,Bromodiclorometanoµg/L
18/07/2018,5.0,AVELENGO/HAFLING,T0002,Avelengo orogr. sx / Hafling or. links,E06,Gasthof Brunnerhof / Gasthof Brunnerhof,144,7.3,8,4.48,0,95,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,6,6,< 0.1,4,< 1,< 1,< 1,< 0.1,< 1,120,< 1,< 0.5,< 0.5,< 1,0.8,19,< 2,< 0.2,,,,,,,,,,,
18/12/2018,5.0,AVELENGO/HAFLING,T0002,Avelengo orogr. sx / Hafling or. links,E06,Gasthof Brunnerhof / Gasthof Brunnerhof,149,7.8,7,3.9200000000000004,0,100,,< 0.02,< 0.01,< 0.05,< 1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,5.0,AVELENGO/HAFLING,T0003,"""Widumwald"" / Widumwald",E05,WC comune / WC Gemeinde,153,7.4,7,3.9200000000000004,0,83,,< 0.02,< 0.01,< 0.05,1,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/12/2018,5.0,AVELENGO/HAFLING,T0003,"""Widumwald"" / Widumwald",E05,WC comune / WC Gemeinde,143,7.8,7,3.9200000000000004,0,88,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,10,7,< 0.1,16,< 1,< 1,< 1,< 0.1,< 1,58,< 1,< 0.5,< 0.5,< 1,1.3,20,< 2,< 0.2,,,,,,,,,,,
04/04/2018,6.0,BADIA/ABTEI,T0001,La Villa / La Ila` - Stern,E03,Associazione turistica / Tourismusverein,175,8.1,13,7.280000000000001,0,126,,< 0.02,< 0.01,0.06,< 1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2018,6.0,BADIA/ABTEI,T0001,La Villa / La Ila` - Stern,E03,Associazione turistica / Tourismusverein,210,8.1,13,7.280000000000001,0,144,,< 0.02,< 0.01,< 0.05,< 1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2018,6.0,BADIA/ABTEI,T0002,S. Leonardo - Pedraces / S. Linert - Pedraces,E01,Bar Cavallino / Bar Cavallino,157,8.1,12,6.720000000000001,0,108,,< 0.02,< 0.01,< 0.05,< 1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2018,6.0,BADIA/ABTEI,T0001,La Villa / La Ila` - Stern,E05,Brunnen Aurora,202,7.9,11,6.16,0,135,< 0.5,< 0.02,< 0.01,0.12,< 1,1,7,< 1,< 0.1,5,< 1,< 1,< 1,< 0.1,< 1,6,< 1,< 0.5,< 0.5,< 1,1.3,< 10,< 2,< 0.2,,,,,,,,,,,
11/06/2018,6.0,BADIA/ABTEI,T0002,S. Leonardo - Pedraces / S. Linert - Pedraces,E05,Brunnen Scolina  /  Brunnen Scolina,153,8.1,9,5.040000000000001,0,105,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,4,< 1,< 0.1,16,< 1,< 1,1,< 0.1,< 1,4,< 1,< 0.5,< 0.5,< 1,0.6,< 10,< 2,< 0.2,,,,,,,,,,,
11/09/2018,6.0,BADIA/ABTEI,T0002,S. Leonardo - Pedraces / S. Linert - Pedraces,E05,Brunnen Scolina  /  Brunnen Scolina,155,8.1,8,4.48,0,109,,< 0.02,< 0.01,< 0.05,< 1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
