alias_address,alias_city,georeferencingString,geocode,geometry
PIAZZALE GABRIELE D' ANNUNZIO,UDINE,UDINE PIAZZALE GABRIELE D' ANNUNZIO,,
PIAZZALE GIO BATTA CAVEDALIS,UDINE,UDINE PIAZZALE GIO BATTA CAVEDALIS,"Piazzale Gio Batta Cavedalis, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2252784, 46.0674895]}"
PIAZZALE GIO BATTA CELLA,UDINE,UDINE PIAZZALE GIO BATTA CELLA,"Piazzale Gio Batta Cella, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2295437, 46.0542497]}"
PIAZZALE GIOVANNI BATTISTA CAVALCASELLE,UDINE,UDINE PIAZZALE GIOVANNI BATTISTA CAVALCASELLE,"Piazzale Giovanni Battista Cavalcaselle, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2524265, 46.0530562]}"
PIAZZALE GUGLIELMO OBERDAN,UDINE,UDINE PIAZZALE GUGLIELMO OBERDAN,"Piazzale Guglielmo Oberdan, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2444539, 46.0685794]}"
PIAZZALE LUIGI CADORNA,UDINE,UDINE PIAZZALE LUIGI CADORNA,"Piazzale Unità d'Italia, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2352766, 46.0571038]}"
PIAZZALE OSOPPO,UDINE,UDINE PIAZZALE OSOPPO,"Piazzale Osoppo, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2351321, 46.071151]}"
PIAZZALE PAOLO DIACONO,UDINE,UDINE PIAZZALE PAOLO DIACONO,"Piazzale Paolo Diacono, Borgo di San Lazzaro, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2285841, 46.0704581]}"
PIAZZALE REPUBBLICA ARGENTINA,UDINE,UDINE PIAZZALE REPUBBLICA ARGENTINA,"Piazzale Repubblica Argentina, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2024987, 46.0804503]}"
PIAZZALE REPUBBLICA ARTEGNA,UDINE,UDINE PIAZZALE REPUBBLICA ARTEGNA,,
PIAZZALE S. MARIA MISERICORDIA,UDINE,UDINE PIAZZALE S. MARIA MISERICORDIA,,
PIAZZALE SANTA MARIA DELLA MISERICORDIA,UDINE,UDINE PIAZZALE SANTA MARIA DELLA MISERICORDIA,"Piazzale Santa Maria della Misericordia, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2291285, 46.0764429]}"
PIAZZALE S.M. DELLA MISERICORDIA,UDINE,UDINE PIAZZALE S.M. DELLA MISERICORDIA,,
PIAZZALE UNITA' D' ITALIA,UDINE,UDINE PIAZZALE UNITA' D' ITALIA,"Udine, Viale Europa Unita, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2419377, 46.0559936]}"
