alias_address,alias_city,geocode,geometry,georeferencingString,type
VIA ALESSANDRO VOLTA,Pescantina,"Via Alessandro Volta, Zona industriale di Pescantina, Mirandola Bassa, Pescantina, Verona, Veneto, 37026, Italia","{'type': 'Point', 'coordinates': [10.9102676, 45.4786874]}","VIA ALESSANDRO VOLTA, Pescantina, Verona, Veneto, Italia",POINT
VIA ADIGE,Ronco all’Adige,"Via Adige, Ronco all'Adige, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [11.1927269, 45.3584757]}","VIA ADIGE, Ronco all’Adige, Verona, Veneto, Italia",POINT
VIA AGOSTINI,Roncà,"Via Agostini, Terrossa di Roncà, Roncà, Verona, Veneto, 36053, Italia","{'type': 'Point', 'coordinates': [11.3211006, 45.462379]}","VIA AGOSTINI, Roncà, Verona, Veneto, Italia",POINT
VIA BENI,San Mauro di Saline,"Beni, San Mauro di Saline, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [11.1154193, 45.5512912]}","VIA BENI, San Mauro di Saline, Verona, Veneto, Italia",POINT
VIA ALBARON,San Pietro di Morubio,"Via Albaron, San Pietro di Morubio, Verona, Veneto, 37050, Italia","{'type': 'Point', 'coordinates': [11.1756921, 45.2528514]}","VIA ALBARON, San Pietro di Morubio, Verona, Veneto, Italia",POINT
VIA ALIANA DI FOSSE,Sant’Anna d’Alfaedo,"Via Aliana, FOSSE, Sant'Anna d'Alfaedo, Verona, Veneto, 37020, Italia","{'type': 'Point', 'coordinates': [10.9369857, 45.6510377]}","VIA ALIANA DI FOSSE, Sant’Anna d’Alfaedo, Verona, Veneto, Italia",POINT
VIA ALDEGHERI,Selva di Progno,"Aldegheri, Selva di Progno, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [11.1746352, 45.6078643]}","VIA ALDEGHERI, Selva di Progno, Verona, Veneto, Italia",POINT
VIA 24 MAGGIO,Sona,"Via 24 Maggio, Sona, Verona, Veneto, 37139, Italia","{'type': 'Point', 'coordinates': [10.8913873, 45.4344339]}","VIA 24 MAGGIO, Sona, Verona, Veneto, Italia",POINT
VIA 1 MAGGIO,Veronella,"Via Primo Maggio, Veronella, Verona, Veneto, 37040, Italia","{'type': 'Point', 'coordinates': [11.3214188, 45.3244364]}","VIA 1 MAGGIO, Veronella, Verona, Veneto, Italia",POINT
VIA ALBAROMATTO,Vestenanova,"Via Albaromatto, Sivieri, Vestenanova, Verona, Veneto, 36070, Italia","{'type': 'Point', 'coordinates': [11.237453, 45.5711803]}","VIA ALBAROMATTO, Vestenanova, Verona, Veneto, Italia",POINT
VIA 25 APRILE,Zimella,"Via 25 Aprile, Zimella, Verona, Veneto, 37044, Italia","{'type': 'Point', 'coordinates': [11.3771131, 45.3319482]}","VIA 25 APRILE, Zimella, Verona, Veneto, Italia",POINT
