alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Castiglione Chiavarese,CASTIGLIONE CHIAVARESE,0.04,<1,117,29,0.20,9,200,periodo dal 01/07/2019 al 31/12/2019,10,<0.1,6,2.30,1,<0.01,7.8,0.3,135,6,10
Ceranesi,CERANESI,<0.02,<1,60,7,0.13,7,124,periodo dal 01/07/2019 al 31/12/2019,6,<0.1,10,4.51,2,0.01,8.1,0.3,75,3,4
Chiavari,CHIAVARI,<0.02,<1,178,46,0.10,11,302,periodo dal 01/07/2019 al 31/12/2019,15,<0.1,8,<1,3,<0.01,7.9,0.8,190,8,14
Cicagna,CICAGNA,<0.02,<1,145,40,0.12,10,272,periodo dal 01/07/2019 al 31/12/2019,12,<0.1,4,<1,4,<0.01,7.8,0.8,155,7,14
Cogoleto,COGOLETO,<0.02,<1,66,9,0.11,6,130,periodo dal 01/07/2019 al 31/12/2019,5,<0.1,7,<1,3,<0.01,7.8,0.3,80,3,6
Coreglia Ligure,COREGLIA LIGURE,<0.02,<1,155,44,0.18,10,285,periodo dal 01/07/2019 al 31/12/2019,13,<0.1,4,<1,5,<0.01,7.9,0.8,165,7,13
Crocefieschi,CROCEFIESCHI,<0.02,<1,221,66,0.15,6,321,periodo dal 01/07/2019 al 31/12/2019,18,<0.1,3,<1,2,<0.01,7.9,0.5,210,3,14
Davagna,DAVAGNA,0.03,<1,168,50,0.12,7,260,periodo dal 01/07/2019 al 31/12/2019,14,<0.1,4,3.46,1,<0.01,8.1,0.7,160,4,8
Fascia,FASCIA,<0.02,<1,194,53,0.22,7,317,periodo dal 01/07/2019 al 31/12/2019,17,<0.1,9,<1,2,<0.01,7.7,0.4,188,4,16
Favale Di Malvaro,FAVALE DI MALVARO,<0.02,<1,110,26,0.12,8,203,periodo dal 01/07/2019 al 31/12/2019,9,<0.1,6,3.5,2,<0.01,7.8,0.4,120,5,12
Fontanigorda,FONTANIGORDA,0.12,<1,111,31,0.27,4,189,periodo dal 01/07/2019 al 31/12/2019,9,<0.1,4,<1,1,<0.01,8.0,0.4,113,3,10
Genova,GENOVA,<0.02,<1,159,45,0.10,11,270,periodo dal 01/07/2019 al 31/12/2019,14,<0.1,6,6.62,3,<0.01,8.0,0.8,164,6,13
Gorreto,GORRETO,0.02,<1,192,56,0.25,5,299,periodo dal 01/07/2019 al 31/12/2019,16,<0.1,5,5.03,1,<0.01,7.9,0.4,179,3,12
