alias_address,alias_city,ammonio,arsenico,bicarbonato,calcio,cloro residuo,cloruri,conducibilità,data_report,durezza,fluoruri,magnesio,manganese,nitrati,nitriti,pH,potassio,residuo fisso 180°C,sodio,solfati
via cossa alfonso,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
viale forlanini enrico,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via marignano,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via bonfadini romualdo,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via san bernardo,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via bonfadini romualdo,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via scalarini giuseppe,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via morivione,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via ripamonti giuseppe,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via ripamonti giuseppe,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via manduria,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via selvanesco,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via antonini giacomo,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via bazzi carlo,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
piazzale cantore antonio,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via portaluppi ambrogi,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via sessa giannino,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
alzaia naviglio pavese,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via capo palinuro,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via savona,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
piazza del rosario,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
viale coni zugna,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via lorenteggio,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via lorenteggio,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via mastronardi lucio,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via castrovillari,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via ferreri giulio,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via de vincenti angelo,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
piazza buonarroti michelangelo,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via pompeo,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via san giusto,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via engels federico,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via caldera,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via novara,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
piazza scolari rosa,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via diomede,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via sironi mario,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
largo domodossola,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via comerio luca,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via volta alessandro,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
piazza firenze,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
viale serra renato,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
viale certosa,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via grassi g. battista,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via grassi g. battista,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via val formazza,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via porretta,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via minzoni don giovanni,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via farini carlo,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
