alias_city,alias_address,data_report,georeferencingString,type
BRESSANONE/BRIXEN,Fontana pubbl. Sarns / Öffentl. Brunnen Sarns,16/10/2018,BRESSANONE Fontana pubbl. Sarns,POINT
BRESSANONE/BRIXEN,Fontana pubblica Cornale di Sopra / Öff. Brunnen Oberkarnol,06/11/2018,BRESSANONE  Cornale di Sopra,POINT
BRESSANONE/BRIXEN,"Fontana pubblica Schmiedplatz, Varna / Öffentlicher Brunnen Schmiedplatz, Vahrn",05/08/2018,"BRESSANONE  Schmiedplatz, Varna",POINT
BRESSANONE/BRIXEN,Fontana pubblica Via Prà Millan / Öffentlicher Brunnen Millanderau,05/07/2018,BRESSANONE  Via Prà Millan,POINT
BRESSANONE/BRIXEN,Fontana pubblica Völkl / Öffentlicher Brunnen Völkl,04/12/2018,BRESSANONE  Völkl,POINT
BRESSANONE/BRIXEN,Gabinetto pubblico scuola / Öff. WC Schulgebäude,07/05/2018,BRESSANONE Gabinetto pubblico scuola,POINT
BRESSANONE/BRIXEN,Gabinetto pubblico scuola / Öff. WC Schulgebäude; WH WC,21/11/2018,BRESSANONE Gabinetto pubblico scuola,POINT
BRESSANONE/BRIXEN,"Gasthof Majestic, Lüsnerstr. 29 / Albergo Majestic, Via Luson 29",27/06/2018,"BRESSANONE  Majestic, Lüsnerstr. 29",POINT
BRESSANONE/BRIXEN,"Haka SpA, Competence.Center, Perara 79/A/Haka AG, Competence.Center, Pairdorf 79/A; WH Theke",18/04/2018,"BRESSANONE Haka SpA, Competence.Center, Perara 79",POINT
BRESSANONE/BRIXEN,"Hotel Gasserhof, Via Paese 31 - S. Andrea / Hotel Gasserhof, Dorfstrasse 31 - St. Andrä; WH Bar",28/05/2018,"BRESSANONE Hotel Gasserhof, Via Paese 31 - S. Andrea",POINT
BRESSANONE/BRIXEN,"Hotel Rosalpina, Palmschoss 292  /  Hotel Rosalpina, Palmschoss 292;; WH Bar",10/08/2018,"BRESSANONE Hotel Rosalpina, Palmschoss 292",POINT
BRESSANONE/BRIXEN,"Hotel Schlemmer, Plancios 294 / Berghotel Schlemmer, Palmschoss 294 ; WH Bar",10/08/2018,"BRESSANONE Hotel Schlemmer, Plancios 294",POINT
BRESSANONE/BRIXEN,"Laboratorio riabilitativo ""Kastell"", Via Otto von Guggenberg 44 / Reha- Werkstatt ""Kastell"", Otto von Guggenbergstr. 44 - WH WC",09/05/2018,"BRESSANONE Laboratorio riabilitativo ""Kastell"", Via Otto von Guggenberg 44",POINT
BRESSANONE/BRIXEN,"Laboratorio riabilitativo ""Kastell"", Via Otto von Guggenberg 44 / Reha- Werkstatt ""Kastell"", Otto von Guggenbergstr. 44; WH WC",05/07/2018,"BRESSANONE Laboratorio riabilitativo ""Kastell"", Via Otto von Guggenberg 44",POINT
BRESSANONE/BRIXEN,"Macello Valle Isarco, Via Julius Durst, 90 / Schlachthof Brixen, Durststr. 90",05/08/2018,"BRESSANONE Macello Valle Isarco, Via Julius Durst, 90",POINT
BRESSANONE/BRIXEN,"Macello Valle Isarco, Via Julius Durst, 90 / Schlachthof Brixen, Durststr. 90; WH WC",26/11/2018,"BRESSANONE Macello Valle Isarco, Via Julius Durst, 90",POINT
BRESSANONE/BRIXEN,"Ospedale di Bressanone, Via Dante 53, radiologia / Krankenhaus Brixen, Dantestr. 53, Radiologie",14/03/2018,"BRESSANONE Ospedale di Bressanone, Via Dante 53, radiologia",POINT
BRESSANONE/BRIXEN,"Ospedale di Bressanone, Via Dante 53, radiologia / Krankenhaus Brixen, Dantestr. 53, Radiologie; WH WC",05/08/2018,"BRESSANONE Ospedale di Bressanone, Via Dante 53, radiologia",POINT
BRESSANONE/BRIXEN,Privato/Privat,04/12/2018,BRESSANONE,POINT
BRESSANONE/BRIXEN,"Ristorante Plose-Stodl, via della Funivia, 15/Restaurant Plose-Stodl, Seilbahnstr. 15; WH Bar",23/08/2018,"BRESSANONE Ristorante Plose-Stodl, via della Funivia, 15",POINT
BRESSANONE/BRIXEN,"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A",04/05/2018,"BRESSANONE Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5",POINT
BRESSANONE/BRIXEN,"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A - WH Küche",10/10/2018,"BRESSANONE Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5",POINT
BRESSANONE/BRIXEN,"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A; WH Küche",28/05/2018,"BRESSANONE Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5",POINT
BRESSANONE/BRIXEN,"Scuola dell'infanzia Anna Seidner, Via Kaspar von Kempter 5 / Kindergarten Anna Seidner, Kaspar von Kempterweg 5",09/06/2018,"BRESSANONE Scuola dell'infanzia Anna Seidner, Via Kaspar von Kempter 5",POINT
BRESSANONE/BRIXEN,"Scuola dell'infanzia Anna Seidner, Via Kaspar von Kempter 5 / Kindergarten Anna Seidner, Kaspar von Kempterweg 5; WH Küche",05/08/2018,"BRESSANONE Scuola dell'infanzia Anna Seidner, Via Kaspar von Kempter 5",POINT
BRESSANONE/BRIXEN,"Scuola dell'infanzia Arcobaleno, Via Wolkenstein 201 / Kindergarten Arcobaleno, Wolkensteinstr. 201 - WH Wäscherei",13/03/2018,"BRESSANONE Scuola dell'infanzia Arcobaleno, Via Wolkenstein 201",POINT
BRESSANONE/BRIXEN,"Scuola dell'infanzia Arcobaleno, Via Wolkenstein 201 / Kindergarten Arcobaleno, Wolkensteinstr. 201; WH Wäscherei",26/11/2018,"BRESSANONE Scuola dell'infanzia Arcobaleno, Via Wolkenstein 201",POINT
BRESSANONE/BRIXEN,"Scuola elementare Albes, Albes 1 / Grundschule Albeins, Albeins 1; WH WC",22/03/2018,"BRESSANONE Scuola elementare Albes, Albes 1",POINT
BRESSANONE/BRIXEN,"Scuola elementare Varna, Via Salern 5 / Grundschule Vahrn, Salernstr. 5 - WH WC",14/03/2018,"BRESSANONE Scuola elementare Varna, Via Salern 5",POINT
BRESSANONE/BRIXEN,"Scuola elementare Varna, Via Salern 5 / Grundschule Vahrn, Salernstr. 5; WH WC",26/11/2018,"BRESSANONE Scuola elementare Varna, Via Salern 5",POINT
BRESSANONE/BRIXEN,"Südtiroler Kinderdorf, Via Castelliere 28 / Südtiroler Kinderdorf, Burgfrieden 28; WH Kochnische",05/08/2018,"BRESSANONE Südtiroler Kinderdorf, Via Castelliere 28",POINT
BRESSANONE/BRIXEN,"The Vista Hotel, Plancios 291B / The Vista Hotel, Palmschoss 291B",18/06/2018,"BRESSANONE The Vista Hotel, Plancios 291B",POINT
BRESSANONE/BRIXEN,"Uffici comunali, Piazza Maria Hueber 3 / Gemeindehaus Maria Hueber Platz 3; WH WC",07/04/2018,"BRESSANONE Uffici comunali, Piazza Maria Hueber 3",POINT
BRONZOLO/BRANZOLL,Fontana pubblica piazza Von Ferrari / öff. Brunnen Von Ferrariplatz,26/03/2018,BRONZOLO  piazza Von Ferrari,POINT
BRONZOLO/BRANZOLL,fontana pubblica Via Dogana / Öffentlicher Brunnen Zollamtstrasse,02/07/2018,BRONZOLO fontana pubblica Via Dogana,POINT
BRUNICO/BRUNECK,Bar Agip / Bar Agip,26/03/2018,BRUNICO Bar Agip,POINT
BRUNICO/BRUNECK,Distretto / Sprengel,15/02/2018,BRUNICO Distretto,POINT
BRUNICO/BRUNECK,Fontana / Brunnen,22/05/2018,BRUNICO Fontana,POINT
BRUNICO/BRUNECK,Fontana Schlemmerstube / Brunnen Schlemmerstube,16/05/2018,BRUNICO Fontana Schlemmerstube,POINT
BRUNICO/BRUNECK,Fontana Waldheim / Brunnen Waldheim,16/05/2018,BRUNICO Fontana Waldheim,POINT
BRUNICO/BRUNECK,Fontana chiesa / Brunnen Kirche,22/05/2018,BRUNICO Fontana chiesa,POINT
BRUNICO/BRUNECK,Fontana parrocchia / Brunnen Pfarre,19/07/2018,BRUNICO Fontana parrocchia,POINT
BRUNICO/BRUNECK,Herzlalm / Herzlalm,12/10/2018,BRUNICO Herzlalm,POINT
