alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. - PIEVE S. GIACOMO - P.ZA VOLONT. SANGUE,Pieve S. Giacomo,<0.1,4,294,76,8,506, 15/11/2019,24,<5,0.07,12.6,<5,6,<0.05,7.9,1.02,314,19,<1
F.P. - FERIE - CAMPO SPORTIVO - Via LAGO GERUNDO,Pizzighettone,<0.1,5,290,82,3,503, 15/11/2019,26,12,0.07,14.2,<5,1,<0.05,7.9,1.37,312,8,6
F.P. - P. MERCATO,Pizzighettone,<0.1,6,254,59,1,421, 15/11/2019,21,<5,0.08,15.8,<5,2,<0.05,8.0,1.00,261,14,<1
F.P. - REGONA - P. DONATORI S.,Pizzighettone,<0.1,5,259,58,1,423, 15/11/2019,21,<5,0.06,15.5,<5,2,<0.05,8.1,1.06,262,14,<1
F.P. - ROGGIONE - Via Privata FERRI,Pizzighettone,<0.1,6,257,58,1,423, 15/11/2019,21,<5,0.06,15.5,<5,2,<0.05,8.1,1.02,262,14,<1
F.P. - CASALSIGONE - PIAZZA MONS. P.ROTA,Pozzaglio,<0.1,8,283,76,5,474, 15/11/2019,23,273,0.07,11.3,<5,3,<0.05,8.0,1.08,294,14,<1
F.P. - CASTELNUOVO GHERARDI - VIA VERDI,Pozzaglio,<0.1,5,290,74,5,464, 15/11/2019,23,<5,0.05,11.9,<5,4,<0.05,7.6,0.85,288,16,<1
F.P. - EUROPA,Pozzaglio,<0.1,4,293,74,6,469, 15/11/2019,23,5,0.05,12.0,<5,4,<0.05,7.6,0.84,291,16,<1
F.P. - QUINTANO - P.ZZA GIOVANNI PAOLO II,Quintano,<0.1,1,253,66,2,457, 15/11/2019,24,<5,0.06,19.2,<5,1,<0.05,7.8,2.30,283,4,31
F.P. - BOTTAIANO - DON GUERCILENA,Ricengo,<0.1,1,227,69,18,481, 15/11/2019,24,34,<0.05,18.0,8,10,<0.05,7.8,0.9,298,5,24
F.P. - GHISETTI GIAVARINA,Ricengo,<0.1,1,209,77,21,491, 15/11/2019,26,11,<0.05,17.8,<5,11,<0.05,7.9,0.88,304,5,26
F.P. - CHIESA - VIA S.FRANCESCO D'ASSISI,Ripalta Arpina,<0.1,5,277,67,1,461, 15/11/2019,24,<5,0.06,17.3,<5,1,<0.05,8.1,1.09,285,10,5
F.P. - BOLZONE - Via della LIBERTA',Ripalta Cremasca,<0.1,3,259,62,2,445, 15/11/2019,23,19,0.06,19.6,<5,1,<0.05,8,1.33,276,7,14
F.P. - ROMA incr. V. 24 MAGGIO,Ripalta Cremasca,<0.1,3,262,63,2,449, 15/11/2019,23,<5,0.05,19.8,<5,1,<0.05,7.9,1.37,278,7,15
F.P. - S. MICHELE - FONTANONI,Ripalta Cremasca,<0.1,4,262,63,2,453, 15/11/2019,24,<5,0.05,19.8,<5,2,<0.05,8.0,1.37,281,7,15
