alias_city,alias_address,georeferencingString,type
Motta Baluffi,F.P. - SOLAROLO MONASTEROLO - Via Riglio,"SOLAROLO MONASTEROLO - Via Riglio, Motta Baluffi, Lombardia",POINT
Offanengo,F.P. - CIRCONVALL. SUD,"CIRCONVALL. SUD, Offanengo, Lombardia",POINT
Offanengo,F.P. - F.LLI CERVI,"F.LLI CERVI, Offanengo, Lombardia",POINT
Ostiano,F.P. - P.ZA PARI,"P.ZA PARI, Ostiano, Lombardia",POINT
Paderno Ponchielli,F.P. - OSSOLARO - LAZZARI,"OSSOLARO - LAZZARI, Paderno Ponchielli, Lombardia",POINT
Palazzo Pignano,F.P. - CASCINE GANDINI - P.ZZA CHIESA,"CASCINE GANDINI - P.ZZA CHIESA, Palazzo Pignano, Lombardia",POINT
Palazzo Pignano,F.P. - P. MARCONI,"P. MARCONI, Palazzo Pignano, Lombardia",POINT
Palazzo Pignano,F.P. - SCANNABUE - MARCHESANI,"SCANNABUE - MARCHESANI, Palazzo Pignano, Lombardia",POINT
Pandino,F.P._FRAZ. NOSADELLO VIA MOLINO,"F.P._FRAZ. NOSADELLO VIA MOLINO, Pandino, Lombardia",POINT
Persico  Dosimo,F.P. - BETTENESCO - DALLA CHIESA,"BETTENESCO - DALLA CHIESA, Persico  Dosimo, Lombardia",POINT
Persico  Dosimo,F.P. - DOSIMO - MUNICIPIO - P.zza ROMA,"DOSIMO - MUNICIPIO - P.zza ROMA, Persico  Dosimo, Lombardia",POINT
Persico  Dosimo,F.P. - PERSICHELLO - GIARDINI di Via LARGO OSTIANO,"PERSICHELLO - GIARDINI di Via LARGO OSTIANO, Persico  Dosimo, Lombardia",POINT
Persico  Dosimo,F.P. - PERSICO - CHIESA - P.zza Mons. AVOSANI,"PERSICO - CHIESA - P.zza Mons. AVOSANI, Persico  Dosimo, Lombardia",POINT
Pescarolo,F.P. - PESCAROLO - P.zza GARIBALDI,"PESCAROLO - P.zza GARIBALDI, Pescarolo, Lombardia",POINT
Pescarolo,F.P. - PIEVE TERZAGNI - P.ZA MARTIRI,"PIEVE TERZAGNI - P.ZA MARTIRI, Pescarolo, Lombardia",POINT
Pessina Cremonese,F.P. - MONTICELLI R/O - BAROLI,"MONTICELLI R/O - BAROLI, Pessina Cremonese, Lombardia",POINT
Pessina Cremonese,F.P. - PESSINA CR. - SCUOLE - Via MAGNINI,"PESSINA CR. - SCUOLE - Via MAGNINI, Pessina Cremonese, Lombardia",POINT
Pessina Cremonese,F.P. - STILO DE' MARIANI - IV NOVEMBRE,"STILO DE' MARIANI - IV NOVEMBRE, Pessina Cremonese, Lombardia",POINT
Piadena,F.P. - GIARDINI -V.DOSSO angolo V.CAVALLOTTI,"GIARDINI -V.DOSSO angolo V.CAVALLOTTI, Piadena, Lombardia",POINT
Piadena,F.P. - PENSILE,"PENSILE, Piadena, Lombardia",POINT
Piadena,F.P. - S. PAOLO R/O,"S. PAOLO R/O, Piadena, Lombardia",POINT
Pianengo,F.P.- P.ZZA DELLA PESA,"F.P.- P.ZZA DELLA PESA, Pianengo, Lombardia",POINT
Pieranica,F.P. - PIERANICA - MARCONI,"PIERANICA - MARCONI, Pieranica, Lombardia",POINT
Pieve d'Olmi,F.P. - PIEVE D'OLMI - QUAINI,"PIEVE D'OLMI - QUAINI, Pieve d'Olmi, Lombardia",POINT
Pieve S. Giacomo,F.P. - PIEVE S. GIACOMO - P.ZA VOLONT. SANGUE,"PIEVE S. GIACOMO - P.ZA VOLONT. SANGUE, Pieve S. Giacomo, Lombardia",POINT
Pizzighettone,F.P. - FERIE - CAMPO SPORTIVO - Via LAGO GERUNDO,"FERIE - CAMPO SPORTIVO - Via LAGO GERUNDO, Pizzighettone, Lombardia",POINT
Pizzighettone,F.P. - P. MERCATO,"P. MERCATO, Pizzighettone, Lombardia",POINT
Pizzighettone,F.P. - REGONA - P. DONATORI S.,"REGONA - P. DONATORI S., Pizzighettone, Lombardia",POINT
Pizzighettone,F.P. - ROGGIONE - Via Privata FERRI,"ROGGIONE - Via Privata FERRI, Pizzighettone, Lombardia",POINT
Pozzaglio,F.P. - CASALSIGONE - PIAZZA MONS. P.ROTA,"CASALSIGONE - PIAZZA MONS. P.ROTA, Pozzaglio, Lombardia",POINT
Pozzaglio,F.P. - CASTELNUOVO GHERARDI - VIA VERDI,"CASTELNUOVO GHERARDI - VIA VERDI, Pozzaglio, Lombardia",POINT
Pozzaglio,F.P. - EUROPA,"EUROPA, Pozzaglio, Lombardia",POINT
Quintano,F.P. - QUINTANO - P.ZZA GIOVANNI PAOLO II,"QUINTANO - P.ZZA GIOVANNI PAOLO II, Quintano, Lombardia",POINT
Ricengo,F.P. - BOTTAIANO - DON GUERCILENA,"BOTTAIANO - DON GUERCILENA, Ricengo, Lombardia",POINT
Ricengo,F.P. - GHISETTI GIAVARINA,"GHISETTI GIAVARINA, Ricengo, Lombardia",POINT
Ripalta Arpina,F.P. - CHIESA - VIA S.FRANCESCO D'ASSISI,"CHIESA - VIA S.FRANCESCO D'ASSISI, Ripalta Arpina, Lombardia",POINT
Ripalta Cremasca,F.P. - BOLZONE - Via della LIBERTA',"BOLZONE - Via della LIBERTA', Ripalta Cremasca, Lombardia",POINT
Ripalta Cremasca,F.P. - ROMA incr. V. 24 MAGGIO,"ROMA incr. V. 24 MAGGIO, Ripalta Cremasca, Lombardia",POINT
Ripalta Cremasca,F.P. - S. MICHELE - FONTANONI,"S. MICHELE - FONTANONI, Ripalta Cremasca, Lombardia",POINT
Ripalta Guerina,F.P. - CENTRO SPORTIVO - Via CREMONESI,"CENTRO SPORTIVO - Via CREMONESI, Ripalta Guerina, Lombardia",POINT
Rivarolo del Re,F.P. - RIVAROLO DEL RE - BRUGNOLO,"RIVAROLO DEL RE - BRUGNOLO, Rivarolo del Re, Lombardia",POINT
Rivarolo del Re,F.P. - RIVAROLO DEL RE - V. APORTI,"RIVAROLO DEL RE - V. APORTI, Rivarolo del Re, Lombardia",POINT
Rivarolo del Re,F.P. -fraz. Villanova - VIA MARCONI,"F.P. -fraz. Villanova - VIA MARCONI, Rivarolo del Re, Lombardia",POINT
Rivolta d'Adda,F.P. - P.ZZA V. EMANUELE,"P.ZZA V. EMANUELE, Rivolta d'Adda, Lombardia",POINT
Rivolta d'Adda,F.P. - PONTE VECCHIO,"PONTE VECCHIO, Rivolta d'Adda, Lombardia",POINT
Robecco d'Oglio,F.P. - MONASTEROLO - CHIESA -V.CAIROLI,"MONASTEROLO - CHIESA -V.CAIROLI, Robecco d'Oglio, Lombardia",POINT
Robecco d'Oglio,F.P. - VIA MARTIRI DELLA LIBERTA',"VIA MARTIRI DELLA LIBERTA', Robecco d'Oglio, Lombardia",POINT
Romanengo,F.P. - ALBERA,"ALBERA, Romanengo, Lombardia",POINT
Romanengo,F.P. - XXV APRILE,"XXV APRILE, Romanengo, Lombardia",POINT
S.Latino di Castelleone,F.P. - S. LATINO - TERNI,"S. LATINO - TERNI, S.Latino di Castelleone, Lombardia",POINT
Salvirola,F.P. - SALVIROLA - V.VITTORIA,"SALVIROLA - V.VITTORIA, Salvirola, Lombardia",POINT
San Bassano,F.P. - P.ZA EUROPA,"P.ZA EUROPA, San Bassano, Lombardia",POINT
San Daniele Po,F.P. - FAVERZANI,"FAVERZANI, San Daniele Po, Lombardia",POINT
San Giovanni in Croce,F.P. - S.GIOVANNI - VIA MATTEOTTI,"S.GIOVANNI - VIA MATTEOTTI, San Giovanni in Croce, Lombardia",POINT
San Giovanni in Croce,F.P. - ZONA INDUSTRIALE - V. CASTELLETTI,"ZONA INDUSTRIALE - V. CASTELLETTI, San Giovanni in Croce, Lombardia",POINT
San Martino del Lago,F.P. - CASTELPONZONE - V.FORNACE,"CASTELPONZONE - V.FORNACE, San Martino del Lago, Lombardia",POINT
San Martino del Lago,F.P. - S. MARTINO DEL LAGO - P.ZA ITALIA,"S. MARTINO DEL LAGO - P.ZA ITALIA, San Martino del Lago, Lombardia",POINT
Scandolara Ravara,F.P. - Piazzale ITALIA,"Piazzale ITALIA, Scandolara Ravara, Lombardia",POINT
Scandolara Ripa d'Oglio,F.P. - SCANDOLARA R.O. - VIA UMBERTO I,"SCANDOLARA R.O. - VIA UMBERTO I, Scandolara Ripa d'Oglio, Lombardia",POINT
Sergnano,F.P. - BINENGO,"BINENGO, Sergnano, Lombardia",POINT
Sesto Cremonese,F.P. - CASANOVA M. - V. MIGLIOLI,"CASANOVA M. - V. MIGLIOLI, Sesto Cremonese, Lombardia",POINT
Sesto Cremonese,F.P. - CORTETANO - V. TRIPOLI,"CORTETANO - V. TRIPOLI, Sesto Cremonese, Lombardia",POINT
Sesto Cremonese,F.P. - LUIGNANO - VIA CIBOLDI,"LUIGNANO - VIA CIBOLDI, Sesto Cremonese, Lombardia",POINT
Sesto Cremonese,F.P. - SESTO - P.ZA GARIBALDI,"SESTO - P.ZA GARIBALDI, Sesto Cremonese, Lombardia",POINT
Solarolo Rainerio,F.P. - RIPARI - GIUSEPPINA,"RIPARI - GIUSEPPINA, Solarolo Rainerio, Lombardia",POINT
Solarolo Rainerio,F.P. - S. LORENZO AROLDO - P.ZZA CAMILLA,"S. LORENZO AROLDO - P.ZZA CAMILLA, Solarolo Rainerio, Lombardia",POINT
Soncino,F.P - ISENGO - VIA NUOVA,"F.P - ISENGO - VIA NUOVA, Soncino, Lombardia",POINT
Soncino,F.P. - BASTIONI ANTICA ROCCA,"BASTIONI ANTICA ROCCA, Soncino, Lombardia",POINT
Soncino,F.P. - GALLIGNANO - VIA AMBROGIO BENZONI,"GALLIGNANO - VIA AMBROGIO BENZONI, Soncino, Lombardia",POINT
Soncino,F.P. - VIA I MAGGIO - ZONA INDUSTRIALE,"VIA I MAGGIO - ZONA INDUSTRIALE, Soncino, Lombardia",POINT
Soncino,F.P. - VILLACAMPAGNA - VIA MAGGIORE,"VILLACAMPAGNA - VIA MAGGIORE, Soncino, Lombardia",POINT
Soresina,F.P - GIARDINI,"F.P - GIARDINI, Soresina, Lombardia",POINT
Soresina,F.P - MOSCONA,"F.P - MOSCONA, Soresina, Lombardia",POINT
Soresina,F.P - OLZANO,"F.P - OLZANO, Soresina, Lombardia",POINT
Sospiro,F.P. - LONGARDORE - V. EMANUELE,"LONGARDORE - V. EMANUELE, Sospiro, Lombardia",POINT
Sospiro,F.P. - S. SALVATORE - ROMA,"S. SALVATORE - ROMA, Sospiro, Lombardia",POINT
Spinadesco,F.P. - SPINADESCO - V. XXV APRILE,"SPINADESCO - V. XXV APRILE, Spinadesco, Lombardia",POINT
Spineda,F.P. - SPINEDA - P.ZZA FELLINI,"SPINEDA - P.ZZA FELLINI, Spineda, Lombardia",POINT
Spino d'Adda,F.P. - ARTIGIANI,"ARTIGIANI, Spino d'Adda, Lombardia",POINT
Spino d'Adda,F.P. - DELLE INDUSTRIE,"DELLE INDUSTRIE, Spino d'Adda, Lombardia",POINT
