alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Acquedotto Carro capoluogo Municipio,CARRO,<0.05,<0.05,131.8,32.2,0.24,7.1,211,29/05/19,10.8,<0.05,6.8,<5,0.4,<0.05,7.4,0.3,190.2,6.9,4.7
Acquedotto Carro capoluogo via Paganini,CARRO,<0.05,<0.05,112.9,21.9,0.11,6.4,180,29/05/19,9.2,<0.05,9,<5,0.2,<0.05,7.7,0.3,161.7,6.8,4.2
Acquedotto Castello,CARRO,<0.05,<0.05,115,27.6,0.16,8.6,193,05/12/19,10.5,<0.05,8.7,<5,0.4,<0.05,7.6,0.3,170.2,6.2,3.7
Acquedotto Cerreta,CARRO,<0.05,,39,7.2,0.04,8.2,72,05/12/19,12.3,<0.05,1.1,<5,0,<0.05,6.5,0.8,67.4,7.1,3.9
Acquedotto Debbio,CARRO,<0.05,<0.05,224.5,69.3,0.1,8.2,386,07/01/19,20.7,<0.05,8.4,<5,0.2,<0.05,7.8,1,359.5,9.3,38.6
Acquedotto Pavareto,CARRO,<0.05,,125.7,23.9,0.34,8,200,05/12/19,10.4,<0.05,10.9,<5,0.6,<0.05,7.4,0.3,180.09,6.8,3.9
Acquedotto Pavareto Rocche di Maggio,CARRO,<0.05,,57,11.6,0.11,5.7,101,05/12/19,4.5,<0.05,4,<5,1,<0.05,7.6,0.3,89.9,6.3,4.3
Acquedotto Pera,CARRO,<0.05,<0.05,22,5.3,0.06,7.3,58,29/05/19,1.7,<0.05,0.8,<5,0.2,<0.05,6.6,0.5,45.6,5.7,3.8
Acquedotto Ponte S. Margherita,CARRO,<0.05,,61,15,0.1,5.7,101,05/12/19,94.51,<0.05,1.4,<5,0.6,<0.05,7.5,0.8,4.3,6.8,3.2
Acquedotto Verdigliolo,CARRO,<0.05,<0.05,60.4,12.5,0.11,8.1,115,29/05/19,3.9,<0.05,2,<5,0.3,<0.05,6.9,0.9,98.7,10.1,4.4
