alias_city,alias_address,data_report,georeferencingString,type
ROCCHETTA VARA,Acquedotto Garbugliaga,22/01/19,"Garbugliaga, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Manzile,22/01/19,"Manzile, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Molino Rotato,22/01/19,"Molino Rotato, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Rocchetta capoluogo,22/01/19,"Rocchetta capoluogo, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Stadomelli,22/01/19,"Stadomelli, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Suvero Perfagliaga,22/01/19,"Suvero Perfagliaga, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Suvero Vicchieda,22/01/19,"Suvero Vicchieda, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Veppo,22/01/19,"Veppo, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Veppo Volpara,22/01/19,"Veppo Volpara, ROCCHETTA VARA, SP, Liguria",POINT
SANTO STEFANO MAGRA,Acquedotto Ponzano,23/01/19,"Ponzano, SANTO STEFANO MAGRA, SP, Liguria",POINT
SANTO STEFANO MAGRA,Acquedotto Santo Stefano capoluogo,23/01/19,"Santo Stefano capoluogo, SANTO STEFANO MAGRA, SP, Liguria",POINT
SARZANA,Acquedotto Marinella,20/02/19,"Marinella, SARZANA, SP, Liguria",POINT
SARZANA,Acquedotto Sarzana capoluogo,20/02/19,"Sarzana capoluogo, SARZANA, SP, Liguria",POINT
SESTA GODANO,Acquedotto Airola,29/01/19,"Airola, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Airola inferiore,13/06/19,"Airola inferiore, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Airola superiore,29/01/19,"Airola superiore, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Antessio,05/02/19,"Antessio, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Antessio,17/06/19,"Antessio, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Bergassana,30/01/19,"Bergassana, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Bergassana,17/06/19,"Bergassana, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Ca'di Vara,30/01/19,"Ca'di Vara, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Ca'di Vara,13/06/19,"Ca'di Vara, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Calabria,30/01/19,"Calabria, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Calabria,13/06/19,"Calabria, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Chiusola,04/02/19,"Chiusola, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Chiusola,17/06/19,"Chiusola, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Codarmo,30/01/19,"Codarmo, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Codarmo,17/06/19,"Codarmo, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Cornice,30/01/19,"Cornice, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Cornice,13/06/19,"Cornice, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Godano,30/01/19,"Godano, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Godano,13/06/19,"Godano, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Groppo,30/01/19,"Groppo, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Groppo,17/06/19,"Groppo, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Mangia,30/01/19,"Mangia, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Mangia,13/06/19,"Mangia, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Merzò,30/01/19,"Merzò, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Merzò,13/06/19,"Merzò, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Oradoro,30/01/19,"Oradoro, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Orneto,04/02/19,"Orneto, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Orneto,17/06/19,"Orneto, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Pignona,05/02/19,"Pignona, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Pignona,13/06/19,"Pignona, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Rio,17/06/19,"Rio, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Rio Case sparse,30/01/19,"Rio Case sparse, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Roggiano,30/01/19,"Roggiano, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Roggiano,13/06/19,"Roggiano, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto S.Maria,30/01/19,"S.Maria, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Sanata Maria,13/06/19,"Sanata Maria, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Scogna,30/01/19,"Scogna, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Scogna,13/06/19,"Scogna, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Serò,07/01/19,"Serò, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Sesta Godano capoluogo,30/01/19,"Sesta Godano capoluogo, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Sesta Godano capoluogo,08/04/19,"Sesta Godano capoluogo, SESTA GODANO, SP, Liguria",POINT
SESTA GODANO,Acquedotto Sesta Godano capoluogo,17/06/19,"Sesta Godano capoluogo, SESTA GODANO, SP, Liguria",POINT
VERNAZZA,Acquedotto Corniglia,26/02/19,"Corniglia, VERNAZZA, SP, Liguria",POINT
VERNAZZA,Acquedotto San Bernardino,26/02/19,"San Bernardino, VERNAZZA, SP, Liguria",POINT
VERNAZZA,Acquedotto San Bernardino,17/06/19,"San Bernardino, VERNAZZA, SP, Liguria",POINT
VERNAZZA,Acquedotto Vernazza capoluogo,26/02/19,"Vernazza capoluogo, VERNAZZA, SP, Liguria",POINT
VEZZANO LIGURE,Acquedotto Valeriano,23/01/19,"Valeriano, VEZZANO LIGURE, SP, Liguria",POINT
