alias_address,alias_city,data_report,geocode,geometry,georeferencingString,type
Acquedotto Verdigliolo,CARRO,29/05/19,"Carro, SP","{'type': 'Point', 'coordinates': [9.605120000000056, 44.272830000000056]}","Verdigliolo, CARRO, SP, Liguria",POINT
Acquedotto Verdigliolo (Serbatoio Serracciana),CARRO,29/05/19,"Carro, SP","{'type': 'Point', 'coordinates': [9.605120000000056, 44.272830000000056]}","Verdigliolo (Serbatoio Serracciana), CARRO, SP, Liguria",POINT
Acquedotto Ziona,CARRO,05/06/19,"Ziona, Carro, SP","{'type': 'Point', 'coordinates': [9.619330000000048, 44.26287000000008]}","Ziona, CARRO, SP, Liguria",POINT
Acquedotto Ziona (Pianesola),CARRO,05/06/19,"Ziona, Carro, SP","{'type': 'Point', 'coordinates': [9.619330000000048, 44.26287000000008]}","Ziona (Pianesola), CARRO, SP, Liguria",POINT
Acquedotto Ziona Massucasco,CARRO,05/12/19,"Ziona, Carro, SP","{'type': 'Point', 'coordinates': [9.619330000000048, 44.26287000000008]}","Ziona Massucasco, CARRO, SP, Liguria",POINT
Acquedotto Ziona Muettola,CARRO,05/12/19,"Ziona, Carro, SP","{'type': 'Point', 'coordinates': [9.619330000000048, 44.26287000000008]}","Ziona Muettola, CARRO, SP, Liguria",POINT
Carro Ponte S. Margherita,CARRO,29/05/19,"Strada Provinciale di Carro, 19012, Carro, SP","{'type': 'Point', 'coordinates': [9.614716472479031, 44.27057699999999]}","Carro Ponte S. Margherita, CARRO, SP, Liguria",POINT
Acquedotto Caprignano,CASTELNUOVO MAGRA,06/02/19,"Via Caprignano, 19033, Castelnuovo Magra, SP","{'type': 'Point', 'coordinates': [10.015881634963588, 44.11246998158166]}","Caprignano, CASTELNUOVO MAGRA, SP, Liguria",POINT
Acquedotto Castelnuovo capoluogo,CASTELNUOVO MAGRA,06/02/19,"Castelnuovo Magra, SP","{'type': 'Point', 'coordinates': [10.017220000000066, 44.10131000000007]}","Castelnuovo capoluogo, CASTELNUOVO MAGRA, SP, Liguria",POINT
Acquedotto Molino del Piano,CASTELNUOVO MAGRA,06/02/19,"Via Molino del Piano, 19033, Castelnuovo Magra, SP","{'type': 'Point', 'coordinates': [10.01534017467133, 44.095426350803415]}","Molino del Piano, CASTELNUOVO MAGRA, SP, Liguria",POINT
Acquedotto  Pian di Follo,FOLLO,26/03/19,"Pian di Follo, Follo, SP","{'type': 'Point', 'coordinates': [9.862250000000074, 44.163680000000056]}","Pian di Follo, FOLLO, SP, Liguria",POINT
Acquedotto Bottagna,FOLLO,23/01/19,"Bottagna, Vezzano Ligure, SP","{'type': 'Point', 'coordinates': [9.87549000000007, 44.158060000000035]}","Bottagna, FOLLO, SP, Liguria",POINT
Acquedotto Pian di Follo,FOLLO,20/06/19,"Pian di Follo, Follo, SP","{'type': 'Point', 'coordinates': [9.862250000000074, 44.163680000000056]}","Pian di Follo, FOLLO, SP, Liguria",POINT
Acquedotto Piana Battolla,FOLLO,04/12/19,"Piana Battolla, Follo, SP","{'type': 'Point', 'coordinates': [9.851780000000076, 44.196150000000046]}","Piana Battolla, FOLLO, SP, Liguria",POINT
Acquedotto Sorbolo,FOLLO,20/06/19,"Sorbolo, Follo, SP","{'type': 'Point', 'coordinates': [9.831840000000057, 44.16237000000007]}","Sorbolo, FOLLO, SP, Liguria",POINT
Acquedotto Tivegna,FOLLO,26/03/19,"Tivegna, Follo, SP","{'type': 'Point', 'coordinates': [9.834290000000067, 44.180180000000064]}","Tivegna, FOLLO, SP, Liguria",POINT
Acquedotto Tivegna Canale del monte,FOLLO,20/06/19,"Tivegna, Follo, SP","{'type': 'Point', 'coordinates': [9.834290000000067, 44.180180000000064]}","Tivegna Canale del monte, FOLLO, SP, Liguria",POINT
Acquedotto Anzo,FRAMURA,25/07/19,"Anzo, Framura, SP","{'type': 'Point', 'coordinates': [9.556290000000047, 44.203160000000025]}","Anzo, FRAMURA, SP, Liguria",POINT
