alias_city,alias_address,georeferencingString,type,data_report
RICCO' DEL GOLFO,Acquedotto  Riccò capoluogo,"Riccò capoluogo, RICCO' DEL GOLFO, SP, Liguria",POINT,09/01/19
RICCO' DEL GOLFO,Acquedotto Bovecchio,"Bovecchio, RICCO' DEL GOLFO, SP, Liguria",POINT,09/01/19
RICCO' DEL GOLFO,Acquedotto Carpena,"Carpena, RICCO' DEL GOLFO, SP, Liguria",POINT,21/10/19
RICCO' DEL GOLFO,Acquedotto Falabiana,"Falabiana, RICCO' DEL GOLFO, SP, Liguria",POINT,09/01/19
RICCO' DEL GOLFO,Acquedotto Piandibarca,"Piandibarca, RICCO' DEL GOLFO, SP, Liguria",POINT,09/01/19
RICCO' DEL GOLFO,Acquedotto Polverara,"Polverara, RICCO' DEL GOLFO, SP, Liguria",POINT,08/11/19
RICCO' DEL GOLFO,Acquedotto Ponzò,"Ponzò, RICCO' DEL GOLFO, SP, Liguria",POINT,01/04/19
RICCO' DEL GOLFO,Acquedotto Quaratica,"Quaratica, RICCO' DEL GOLFO, SP, Liguria",POINT,09/01/19
RICCO' DEL GOLFO,Acquedotto Riccò del Golfo capoluogo,"Riccò del Golfo capoluogo, RICCO' DEL GOLFO, SP, Liguria",POINT,21/10/19
RICCO' DEL GOLFO,Acquedotto S. Benedetto,"S. Benedetto, RICCO' DEL GOLFO, SP, Liguria",POINT,09/01/19
RICCO' DEL GOLFO,Acquedotto Valdipino,"Valdipino, RICCO' DEL GOLFO, SP, Liguria",POINT,21/10/19
RICCO' DEL GOLFO,Acquedotto Valgraveglia,"Valgraveglia, RICCO' DEL GOLFO, SP, Liguria",POINT,21/10/19
RIOMAGGIORE,Acquedotto Groppo,"Groppo, RIOMAGGIORE, SP, Liguria",POINT,28/11/19
RIOMAGGIORE,Acquedotto Manarola,"Manarola, RIOMAGGIORE, SP, Liguria",POINT,23/07/19
RIOMAGGIORE,Acquedotto Riomaggiore capoluogo,"Riomaggiore capoluogo, RIOMAGGIORE, SP, Liguria",POINT,28/11/19
RIOMAGGIORE,Acquedotto Volastra,"Volastra, RIOMAGGIORE, SP, Liguria",POINT,28/11/19
ROCCHETTA VARA,Acquedotto Beverone,"Beverone, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Casoni,"Casoni, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Foce,"Foce, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Garbugliaga,"Garbugliaga, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Manzile,"Manzile, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Molino Rotato,"Molino Rotato, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Rocchetta capoluogo,"Rocchetta capoluogo, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Stadomelli,"Stadomelli, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Suvero Perfagliaga,"Suvero Perfagliaga, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Suvero Vicchieda,"Suvero Vicchieda, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Veppo,"Veppo, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
ROCCHETTA VARA,Acquedotto Veppo Volpara,"Veppo Volpara, ROCCHETTA VARA, SP, Liguria",POINT,22/01/19
SANTO STEFANO MAGRA,Acquedotto Ponzano,"Ponzano, SANTO STEFANO MAGRA, SP, Liguria",POINT,22/11/19
SANTO STEFANO MAGRA,Acquedotto S. Stefano capoluogo,"S. Stefano capoluogo, SANTO STEFANO MAGRA, SP, Liguria",POINT,18/09/19
SANTO STEFANO MAGRA,Acquedotto Santo Stefano capoluogo,"Santo Stefano capoluogo, SANTO STEFANO MAGRA, SP, Liguria",POINT,23/01/19
SARZANA,Acquedotto Marinella,"Marinella, SARZANA, SP, Liguria",POINT,31/07/19
SARZANA,Acquedotto Sarzana capoluogo,"Sarzana capoluogo, SARZANA, SP, Liguria",POINT,12/09/19
SESTA GODANO,Acquedotto Airola,"Airola, SESTA GODANO, SP, Liguria",POINT,29/01/19
SESTA GODANO,Acquedotto Airola inferiore,"Airola inferiore, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Airola superiore,"Airola superiore, SESTA GODANO, SP, Liguria",POINT,29/01/19
SESTA GODANO,Acquedotto Antessio,"Antessio, SESTA GODANO, SP, Liguria",POINT,17/06/19
SESTA GODANO,Acquedotto Bergassana,"Bergassana, SESTA GODANO, SP, Liguria",POINT,17/06/19
SESTA GODANO,Acquedotto Ca'di Vara,"Ca'di Vara, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Calabria,"Calabria, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Chiusola,"Chiusola, SESTA GODANO, SP, Liguria",POINT,17/06/19
SESTA GODANO,Acquedotto Codarmo,"Codarmo, SESTA GODANO, SP, Liguria",POINT,17/06/19
SESTA GODANO,Acquedotto Cornice,"Cornice, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Godano,"Godano, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Groppo,"Groppo, SESTA GODANO, SP, Liguria",POINT,17/06/19
SESTA GODANO,Acquedotto Mangia,"Mangia, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Merzò,"Merzò, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Oradoro,"Oradoro, SESTA GODANO, SP, Liguria",POINT,30/01/19
SESTA GODANO,Acquedotto Orneto,"Orneto, SESTA GODANO, SP, Liguria",POINT,17/06/19
SESTA GODANO,Acquedotto Pignona,"Pignona, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Rio,"Rio, SESTA GODANO, SP, Liguria",POINT,17/06/19
SESTA GODANO,Acquedotto Rio Case sparse,"Rio Case sparse, SESTA GODANO, SP, Liguria",POINT,30/01/19
SESTA GODANO,Acquedotto Roggiano,"Roggiano, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto S.Maria,"S.Maria, SESTA GODANO, SP, Liguria",POINT,30/01/19
SESTA GODANO,Acquedotto Sanata Maria,"Sanata Maria, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Scogna,"Scogna, SESTA GODANO, SP, Liguria",POINT,13/06/19
SESTA GODANO,Acquedotto Serò,"Serò, SESTA GODANO, SP, Liguria",POINT,07/01/19
SESTA GODANO,Acquedotto Sesta Godano capoluogo,"Sesta Godano capoluogo, SESTA GODANO, SP, Liguria",POINT,17/06/19
VERNAZZA,Acquedotto Corniglia,"Corniglia, VERNAZZA, SP, Liguria",POINT,31/07/19
VERNAZZA,Acquedotto San Bernardino,"San Bernardino, VERNAZZA, SP, Liguria",POINT,17/06/19
VERNAZZA,Acquedotto Vernazza capoluogo,"Vernazza capoluogo, VERNAZZA, SP, Liguria",POINT,26/02/19
VEZZANO LIGURE,Acquedotto Prati,"Prati, VEZZANO LIGURE, SP, Liguria",POINT,25/11/19
VEZZANO LIGURE,Acquedotto Valeriano,"Valeriano, VEZZANO LIGURE, SP, Liguria",POINT,23/01/19
VEZZANO LIGURE,Acquedotto Vezzano basso,"Vezzano basso, VEZZANO LIGURE, SP, Liguria",POINT,23/01/19
ZIGNAGO,Acquedotto Debbio,"Debbio, ZIGNAGO, SP, Liguria",POINT,11/12/19
ZIGNAGO,Acquedotto Pieve,"Pieve, ZIGNAGO, SP, Liguria",POINT,02/10/19
ZIGNAGO,Acquedotto Sasseta,"Sasseta, ZIGNAGO, SP, Liguria",POINT,11/12/19
ZIGNAGO,Acquedotto Serò,"Serò, ZIGNAGO, SP, Liguria",POINT,11/12/19
ZIGNAGO,Acquedotto Torpiana Via Canale,"Torpiana Via Canale, ZIGNAGO, SP, Liguria",POINT,11/12/19
ZIGNAGO,Acquedotto Torpiana zona Cimitero,"Torpiana zona Cimitero, ZIGNAGO, SP, Liguria",POINT,07/01/19
ZIGNAGO,Acquedotto Torpiana zona Via Canale,"Torpiana zona Via Canale, ZIGNAGO, SP, Liguria",POINT,07/01/19
ZIGNAGO,Acquedotto Torpiana zona cimitero,"Torpiana zona cimitero, ZIGNAGO, SP, Liguria",POINT,11/12/19
ZIGNAGO,Acquedotto Vezzola,"Vezzola, ZIGNAGO, SP, Liguria",POINT,11/12/19
