alias_address,alias_city,ammoniaca,cloro_residuo,cloruro,conducibilita,data_report,ferro,fluoruri,nitrato,nitrito,ph,solfato
CapoluogoServizi igienici del supermercato,Acquedotto di Strona,<0.05,0.13,12,82,23/01/2020,16,<0.10,13,<0.05,6.8,7.6
CapoluogoFontana presso il Teatro,Acquedotto di Strona,<0.05,<0.05,8.6,75,05/02/2020,160,0.10,8.4,<0.05,6.6,5.5
Frazione QuarioPozzetto,Acquedotto di Strona,<0.05,0.25,8.0,76,06/04/2020,13,<0.10,10,<0.05,6.7,5.9
Fraz. CAPPIORubinetto pensile,Acquedotto di Strona,<0.05,0.48,9.61,275,16/10/2012,80.26,0.14,30.85,<0.05,6.73,18.73
Fraz. FoglioPozzetto,Acquedotto di Strona,<0.05,<0.05,13,117,05/02/2020,8.0,0.12,14,<0.05,6.5,8.6
Fraz. Piana BoeroPozzetto.,Acquedotto di Strona,<0.05,<0.05,7.5,141,27/03/2018,191,<0.1,12,<0.05,6.8,8.9
Fraz. CaligarisPozzetto,Acquedotto di Strona,<0.05,<0.05,8.5,91,03/09/2019,36,<0.1,5.2,<0.05,7.5,6.6
Frazione FoglioRubinetto esterno.,Acquedotto di Strona,<0.05,0.08,15,124,13/09/2017,12,0.12,13,<0.05,6.5,10
Frazione Gronda.Rubinetto pozzetto.,Acquedotto di Strona,<0.05,<0.05,16,127,10/07/2019,26,<0.10,12,<0.05,,10
Frazione Prina.Fontana lavatoio.,Acquedotto di Strona,<0.05,<0.05,1.0,79,10/07/2019,,<0.10,6.7,0.17,6.5,7.8
Capoluogofontana Municipio,Acquedotto di Ternengo,<0.05,0.29,1.1,41,08/05/2019,13,<0.10,2.8,<0.05,6.6,1.3
Fraz. Villafontana pubblica,Acquedotto di Ternengo,<0.05,0.27,1.2,41,17/07/2019,6.8,<0.1,2.6,0.02,6.6,0.97
Fraz Valserafontana pubblica,Acquedotto di Ternengo,<0.05,<0.05,18,172,17/07/2019,155,<0.1,27,<0.05,6.7,12
CapoluogoServizi igienici del Municipio,Acquedotto di Tollegno,<0.05,0.18,1.0,44,08/01/2020,30,<0.10,2.3,<0.05,7.1,2.8
Capoluogo.Fontana Municipio.,Acquedotto di Tollegno,<0.05,0.30,0.85,27,12/02/2020,16,<0.1,1.4,<0.05,7.0,2.1
Capoluogo.Fontana del campo sportivo.,Acquedotto di Tollegno,<0.05,0.25,1.9,36,21/08/2019,72,<0.1,1.3,<0.05,7.3,2.0
CapoluogoFontana di via Martiri della Libertà,Acquedotto di Torrazzo,<0.05,0.13,1.6,141,16/01/2020,18,<0.1,10,<0.05,7.5,4.0
CapoluogoServizi igienici del Municipio,Acquedotto di Valdengo,<0.05,0.30,8.1,141,04/02/2020,10,0.15,8.4,<0.05,7.6,19
CapoluogoFontana Cimitero,Acquedotto di Valdengo,<0.05,0.11,8.3,256,11/11/2019,188,<0.10,9.3,0.17,7.6,24
