alias_address,alias_city,urlReport
CapoluogoFontana palestra di roccia,Acquedotto di Quittengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13812
CapoluogoFontana presso il Municipio,Acquedotto di Ronco Biellese,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14275
CapoluogoServizi igienici delle Scuole elementari,Acquedotto di Ronco Biellese,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14286
Capoluogo.Servizi igienici del municipio.,Acquedotto di Ronco Biellese,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12286
CapoluogoFontana di Via Q. Sella,Acquedotto di Rosazza,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14407
Capoluogofontana piazza F. Rosazza,Acquedotto di Rosazza,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14468
Frazione MortigliengoFontana pubblica,Acquedotto di S.Paolo Cervo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14402
Frazione PianaFontana pubblica,Acquedotto di S.Paolo Cervo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14457
Frazione RiabellaFontana pubblica,Acquedotto di S.Paolo Cervo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13734
Fraz. Orettofontana,Acquedotto di S.Paolo Cervo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14403
Capoluogo.Servizi igienici del Municipio,Acquedotto di Sala Biellese,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14191
Frazione BornascoFontana pubblica,Acquedotto di Sala Biellese,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14418
capoluogofontana parco giochi,Acquedotto di Sala Biellese,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13732
Bornascofontana di Bornasco,Acquedotto di Sala Biellese,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=11535
CapoluogoServizi igienici del Municipio,Acquedotto di Selve Marcone,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=8066
Frazione BaltigatiEsercizio pubblico .,Acquedotto di Soprana,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14280
Frazione CereieFontana pubblica,Acquedotto di Soprana,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13991
Frazione CerrutiServizi igienici delle Scuole,Acquedotto di Soprana,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14291
Frazione LanvarioFontana pubblica,Acquedotto di Soprana,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14392
Frazione VioglioFontana pubblica,Acquedotto di Soprana,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13828
Frazione BaltigatiFontana del Parco giochi,Acquedotto di Soprana,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=9013
Fraz. MolinengoFontana pubblica,Acquedotto di Soprana,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13990
Frazione Lanvario.Servizi Municipio.,Acquedotto di Soprana,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=11376
CapoluogoFontana di piazza del Municipio,Acquedotto di Sordevolo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14244
Frazione S. GratoFontana di piazza S. Grato,Acquedotto di Sordevolo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=4781
CapoluogoServizi igienici del supermercato,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14281
CapoluogoFontana presso il Teatro,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14290
Frazione QuarioPozzetto,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14431
Fraz. CAPPIORubinetto pensile,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=5874
Fraz. FoglioPozzetto,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14294
Fraz. Piana BoeroPozzetto.,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12517
Fraz. CaligarisPozzetto,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13989
Frazione FoglioRubinetto esterno.,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12107
Frazione Gronda.Rubinetto pozzetto.,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13826
