alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. Via Donatori di sangue,CAPRIOLO,<0.05,<1,275,96,nan,14,508,1° semestre 2019,29.4,<0.20,12.8,<5,23,<0.05,7.3,0.9,375,4.9,32
F.P. Via Molinara,CAPRIOLO,<0.05,<1,275,96,nan,14,508,1° semestre 2019,29.4,<0.20,12.8,<5,23,<0.05,7.3,0.9,375,4.9,32
P.R. Via 8 Marzo,CARPENEDOLO,<0.05,<1,255,65,nan,6,441.5,1° semestre 2019,26,<0.20,23.55,<5,18,<0.05,7.4,0.9,207,2.3,17
P.R. Via Papa Giovanni XXIII,CARPENEDOLO,<0.05,<1,255,65,nan,6,441.5,1° semestre 2019,26,<0.20,23.55,<5,18,<0.05,7.4,0.9,207,2.3,17
F.P. Chiesa via Trebeschi/via S.Martino,CASTEGNATO,<0.05,<1,308,101,<0.05,18,571,1° semestre 2019,31,<0.20,14.5,<5,39,<0.05,7.3,1.3,373,9.2,19
F.P. Via del lavoro,CASTEGNATO,<0.05,<1,308,101,<0.05,18,571,1° semestre 2019,31,<0.20,14.5,<5,39,<0.05,7.3,1.3,373,9.2,19
F.P. Via Europa (parco),CASTEGNATO,<0.05,<1,308,101,<0.05,18,571,1° semestre 2019,31,<0.20,14.5,<5,39,<0.05,7.3,1.3,373,9.2,19
F.P. Via Franchi,CASTEGNATO,<0.05,<1,308,101,<0.05,18,571,1° semestre 2019,31,<0.20,14.5,<5,39,<0.05,7.3,1.3,373,9.2,19
F.P. Via Bevilacqua,CASTEL MELLA,<0.05,<1,317,105,<0.05,15,552,1° semestre 2019,31.1,<0.20,11.5,<5,32,<0.05,7.2,0.9,344,4.6,21
F.P. Parco Giochi Via Fiume Po',CASTELCOVATI,<0.05,<1,204,69,<0.05,7,388,1° semestre 2019,21.7,<0.20,10.3,<5,21,<0.05,7.5,1.2,280,4.1,39
Cimitero,CASTREZZATO,<0.05,<1,279,92,<0.05,9,547,1° semestre 2019,30.8,<0.20,14.4,<5,34,<0.05,7.4,1.1,360,4.1,38
F.P. Calino,CAZZAGO SAN MARTINO,<0.05,<1,305,98,<0.05,13,556,1° semestre 2019,30.8,<0.20,15,<5,33,<0.05,7.3,1.2,404,5.4,29
