alias_city,alias_address,georeferencingString,type
LENO,P.R. Via Tiepolo,"Via Tiepolo, LENO, Brescia,  Lombardia, Italia",POINT
LENO,P.R. Via Viganovo,"Via Viganovo, LENO, Brescia,  Lombardia, Italia",POINT
LOGRATO,F.P. Via Calini,"Via Calini, LOGRATO, Brescia,  Lombardia, Italia",POINT
LOZIO,F.P. Località Camerata,"Localitàlità Camerata, LOZIO, Brescia,  Lombardia, Italia",POINT
LOZIO,F.P. Piazza S.Marco (Laveno),"Piazza S.Marco (Laveno), LOZIO, Brescia,  Lombardia, Italia",POINT
LOZIO,F.P. San Giovanni,"San Giovanni, LOZIO, Brescia,  Lombardia, Italia",POINT
LOZIO,F.P. Via Armando Diaz,"Via Armando Diaz, LOZIO, Brescia,  Lombardia, Italia",POINT
MAGASA,P.R. Località Magasa - Via XXIV Maggio,"Localitàlità Magasa - Via XXIV Maggio, MAGASA, Brescia,  Lombardia, Italia",POINT
MALONNO,F.P. Centro-Landò,"Centro-Landò, MALONNO, Brescia,  Lombardia, Italia",POINT
MALONNO,F.P. Centro-Miravalle,"Centro-Miravalle, MALONNO, Brescia,  Lombardia, Italia",POINT
MALONNO,F.P. Moscio,"Moscio, MALONNO, Brescia,  Lombardia, Italia",POINT
MALONNO,F.P. Nazio,"Nazio, MALONNO, Brescia,  Lombardia, Italia",POINT
MALONNO,F.P. Odecla,"Odecla, MALONNO, Brescia,  Lombardia, Italia",POINT
MALONNO,F.P. Piazzale Chiesa-Zazza,"Piazzale Chiesa-Zazza, MALONNO, Brescia,  Lombardia, Italia",POINT
MALONNO,F.P. Via Gallena,"Via Gallena, MALONNO, Brescia,  Lombardia, Italia",POINT
MALONNO,F.P. Via Miravalle,"Via Miravalle, MALONNO, Brescia,  Lombardia, Italia",POINT
MANERBA DEL GARDA,P.R. Via Europa (cimitero),"Via Europa (cimitero), MANERBA DEL GARDA, Brescia,  Lombardia, Italia",POINT
MANERBA DEL GARDA,P.R. Via San Rocco (Pieve),"Via San Rocco (Pieve), MANERBA DEL GARDA, Brescia,  Lombardia, Italia",POINT
MONIGA DEL GARDA,P.R. Piazza San Martino,"Piazza San Martino, MONIGA DEL GARDA, Brescia,  Lombardia, Italia",POINT
MONIGA DEL GARDA,P.R. Via Rossera,"Via Rossera, MONIGA DEL GARDA, Brescia,  Lombardia, Italia",POINT
MONTE ISOLA,F.P. Carzano,"Carzano, MONTE ISOLA, Brescia,  Lombardia, Italia",POINT
MONTE ISOLA,F.P. Cure,"Cure, MONTE ISOLA, Brescia,  Lombardia, Italia",POINT
MONTE ISOLA,F.P. Masse,"Masse, MONTE ISOLA, Brescia,  Lombardia, Italia",POINT
MONTE ISOLA,F.P. Senzano,"Senzano, MONTE ISOLA, Brescia,  Lombardia, Italia",POINT
MONTICELLI BRUSATI,F.P. Via Foina,"Via Foina, MONTICELLI BRUSATI, Brescia,  Lombardia, Italia",POINT
MONTICELLI BRUSATI,F.P. Cimitero,"Cimitero, MONTICELLI BRUSATI, Brescia,  Lombardia, Italia",POINT
MONTICELLI BRUSATI,F.P. Gaina,"Gaina, MONTICELLI BRUSATI, Brescia,  Lombardia, Italia",POINT
MONTICELLI BRUSATI,F.P. Via Europa,"Via Europa, MONTICELLI BRUSATI, Brescia,  Lombardia, Italia",POINT
MONTICELLI BRUSATI,F.P. Via Fontana (parco giochi),"Via Fontana (parco giochi), MONTICELLI BRUSATI, Brescia,  Lombardia, Italia",POINT
MUSCOLINE,P.R. Via degli Alpini (Muscoline),"Via degli Alpini (Muscoline), MUSCOLINE, Brescia,  Lombardia, Italia",POINT
