alias_city,alias_address,urlReport,page,data_report
PROVAGLIO D’ISEO,F.P. Via C. Alberto,https://www.acquebresciane.it/public/dam/jcr:76cc8a7b-6fc6-43e3-951b-1d8c38d538e7/Analisi_Acqua_ProvaglioDIseo_1_sem_2019.pdf,1,1° semestre 2019
PROVAGLIO D’ISEO,F.P. Via Cave,https://www.acquebresciane.it/public/dam/jcr:76cc8a7b-6fc6-43e3-951b-1d8c38d538e7/Analisi_Acqua_ProvaglioDIseo_1_sem_2019.pdf,2,1° semestre 2019
PUEGNAGO SUL GARDA,P.R. Via Nazionale,https://www.acquebresciane.it/public/dam/jcr:ca245f38-25ce-414b-a016-c5c015e144e8/Analisi_Acqua_PuegnagoSulGarda_1_sem_2019.pdf,0,1° semestre 2019
PUEGNAGO SUL GARDA,P.R. Via Palazzi,https://www.acquebresciane.it/public/dam/jcr:ca245f38-25ce-414b-a016-c5c015e144e8/Analisi_Acqua_PuegnagoSulGarda_1_sem_2019.pdf,1,1° semestre 2019
PUEGNAGO SUL GARDA,P.R. Via Provinciale,https://www.acquebresciane.it/public/dam/jcr:ca245f38-25ce-414b-a016-c5c015e144e8/Analisi_Acqua_PuegnagoSulGarda_1_sem_2019.pdf,2,1° semestre 2019
QUINZANO D’OGLIO,F.P. Via Buozzi,https://www.acquebresciane.it/public/dam/jcr:efbd5419-04fa-455c-8b7e-07fd5cbd63ad/Analisi_Acqua_QuinzanoDOglio_1_sem_2019.pdf,0,1° semestre 2019
QUINZANO D’OGLIO,F.P. Via Gandini,https://www.acquebresciane.it/public/dam/jcr:efbd5419-04fa-455c-8b7e-07fd5cbd63ad/Analisi_Acqua_QuinzanoDOglio_1_sem_2019.pdf,1,1° semestre 2019
QUINZANO D’OGLIO,F.P. Via Giotto,https://www.acquebresciane.it/public/dam/jcr:efbd5419-04fa-455c-8b7e-07fd5cbd63ad/Analisi_Acqua_QuinzanoDOglio_1_sem_2019.pdf,2,1° semestre 2019
REMEDELLO,P.R. Piazza Feltrinelli,https://www.acquebresciane.it/public/dam/jcr:1c2a5b69-6c31-4f3e-a6c8-5b2d6b39b00f/Analisi_Acqua_Remedello_1_sem_2019.pdf,0,1° semestre 2019
REMEDELLO,P.R. Via Garibaldi,https://www.acquebresciane.it/public/dam/jcr:1c2a5b69-6c31-4f3e-a6c8-5b2d6b39b00f/Analisi_Acqua_Remedello_1_sem_2019.pdf,1,1° semestre 2019
REMEDELLO,P.R. Piazza Feltrinelli,https://www.acquebresciane.it/public/dam/jcr:1c2a5b69-6c31-4f3e-a6c8-5b2d6b39b00f/Analisi_Acqua_Remedello_1_sem_2019.pdf,2,1° semestre 2019
REZZATO,P.R. Via Almici,https://www.acquebresciane.it/public/dam/jcr:cf3d798e-f567-4075-84eb-d592340d867c/Analisi_Acqua_Rezzato_1_sem_2019.pdf,0,1° semestre 2019
REZZATO,P.R. Via Giovanni XXIII,https://www.acquebresciane.it/public/dam/jcr:cf3d798e-f567-4075-84eb-d592340d867c/Analisi_Acqua_Rezzato_1_sem_2019.pdf,1,1° semestre 2019
REZZATO,P.R. Via Monte Grappa,https://www.acquebresciane.it/public/dam/jcr:cf3d798e-f567-4075-84eb-d592340d867c/Analisi_Acqua_Rezzato_1_sem_2019.pdf,2,1° semestre 2019
ROVATO,F.P. Oratorio S. Giuseppe,https://www.acquebresciane.it/public/dam/jcr:31b74772-d4f3-4020-a32f-6c33a62c3e9b/Analisi_Acqua_Rovato_1_sem_2019.pdf,0,1° semestre 2019
ROVATO,F.P. Via Gigli,https://www.acquebresciane.it/public/dam/jcr:31b74772-d4f3-4020-a32f-6c33a62c3e9b/Analisi_Acqua_Rovato_1_sem_2019.pdf,1,1° semestre 2019
ROVATO,F.P. Via Milano (Lodetto),https://www.acquebresciane.it/public/dam/jcr:31b74772-d4f3-4020-a32f-6c33a62c3e9b/Analisi_Acqua_Rovato_1_sem_2019.pdf,2,1° semestre 2019
ROVATO,F.P. Via S. Anna,https://www.acquebresciane.it/public/dam/jcr:31b74772-d4f3-4020-a32f-6c33a62c3e9b/Analisi_Acqua_Rovato_1_sem_2019.pdf,3,1° semestre 2019
